Code	Presentation	Form	Dosage	Amount	Route 	Agent	Manufacturer	Country
5859	100ml	Oral solution sans sucre	30mg/5ml	100	Oral	Pharmamedic S.A.R.L.	Chaoul Pharmaceuticals (Cha-Pha) SAL	Lebanon
5860	Coffret de 3 flacons	Oral/ Sublingual	10-100-100 IR ou IC/ml	30	Sublingual	Omnipharma	Stallergènes	France
5861	Coffret de 2 flacons	Oral/ Sublingual	10-300 IR ou IC/ml	20	Sublingual	Omnipharma	Stallergènes	France
5863	30	Tablet, film coated	40mg	30	Oral	Sadco	Dar Al Dawa	Jordan
5866	1Vial		80mg/8ml	8	Infusion	Khalil Fattal & Fils S.A.L.	Ebewe Pharma GesmbH.NFG.KG	Austria
5867	1Vial		20mg/2ml	2	Infusion	Khalil Fattal & Fils S.A.L.	Ebewe Pharma GesmbH.NFG.KG	Austria
5877	14	Capsule, extended release	75mg	14	Oral	Medapharm Healthcare SAL	Mediphar Laboratories	Lebanon
5878	60	Capsule	200.000mg 	60	Oral	Pharmamedic S.A.R.L.	Faes Farma SA	Spain
5879	12Tab + 4Caps	Tablet/ Capsule		16	Oral	Pharmamedic S.A.R.L.	Urgo	France
5880	30	Tablet		30	Oral	Khalil Fattal & Fils S.A.L.	Servier (Ireland) Industrie Ltd	Ireland
5881	30	Tablet		30	Oral	Khalil Fattal & Fils S.A.L.	Servier (Ireland) Industrie Ltd	Ireland
5882	30	Tablet		30	Oral	Khalil Fattal & Fils S.A.L.	Servier (Ireland) Industrie Ltd	Ireland
5883	30	Tablet		30	Oral	Khalil Fattal & Fils S.A.L.	Servier (Ireland) Industrie Ltd	Ireland
5886	5ml	Ophtalmic suspension (sterile)		5	Ophtalmic	Spephal S.A.L.	Bausch and Lomb Incorporated	USA
5888		Solution IV	150mg/15ml	15	Infusion 	Nobel Pharm Plus SARL	Genepharm SARL	Greece
5889	28	Tablet, film coated	50mg	28	Oral	Nobel Pharm Plus SARL	Genepharm SARL	Greece
5891	30	Capsule hard inhalation powder	150mcg	30	Respiratory	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland
5894	1Vial	Infusion IV	 4mg/5ml		Infusion	Abela Frères S.A.L.	Hikma Pharmaceuticals	Jordan
5896	30	Capsule	300mg	30	Oral	Benta Trading Co s.a.l.	Benta SAL	Lebanon
5897	30	Tablet	5mg	30	Oral	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland
5900	1Vial	Concentrate for solution for infusion 	80mg/4ml		Infusion	Omnipharma	Chugai Pharma Manufacturing Co Ltd 	Japan
5901	1 Vial	Concentrate for solution for infusion 	200mg/10ml		Infusion	Omnipharma	Chugai Pharma Manufacturing Co Ltd 	Japan
5902	1Vial	Concentrate for solution for infusion 	400mg/20ml		Infusion	Omnipharma	Chugai Pharma Manufacturing Co Ltd 	Japan
5904	10	Injectable powder for solution/IV	1.2g		Infusion/IV	Pharmacie Minapharm Halabi	Panpharma	France
5905	50bags x 100ml	Solution for infusion	10mg/ml	5000	Infusion	Droguerie Phenicia	Normon SA	Spain
5906	1 Vial	Injectable powder for solution for infusion	1g		Infusion	Food & Drug Corporation FDC	Hospira UK Ltd	UK
5907	1 Vial	Injectable powder for solution for infusion	200mg		Infusion	Food & Drug Corporation FDC	Hospira UK Ltd	UK
5910	30	Tablet, enteric coated	40mg	30	Oral	Mersaco	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia
5911	15	Tablet, enteric coated	40mg	15	Oral	Mersaco	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia
5912	10	Tablet effervescent	600mg	10	Oral	BiofinPharma Middle East S.A.L.	Zambon Switzerland Ltd	Switzerland
5913	150ml	Syrup	2%	150	Oral	BiofinPharma Middle East S.A.L.	Zambon SpA	Italy
5914	12	Tablet film coated	400mg	12	Oral	BiofinPharma Middle East S.A.L.	Zambon SpA	Italy
5915	10ml	Nasal spray solution		200	Nasal	BiofinPharma Middle East S.A.L.	Zambon SpA	Italy
5916	1 Sachet	Granules	3g		Oral	BiofinPharma Middle East S.A.L.	Zambon Switzerland Ltd	Switzerland
5924	120 metered doses		80mcg/actuation	120	Respiratory	Droguerie de l'Union	Cipla Ltd	India
5925	120 metered doses		160mcg/actuation	120	Respiratory	Droguerie de l'Union	Cipla Ltd	India
5927	30	Caplet	2mg	30	Oral	The Lebanese Pharmacists SAL	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan
5929	30	Caplet	3mg	30	Oral	The Lebanese Pharmacists SAL	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan
5930	30	Caplet	4mg	30	Oral	The Lebanese Pharmacists SAL	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan
5931	Vial 100ml	Infusion 	200mg/100ml	100	Infusion 	Droguerie de l'Union	Hikma Farmaceutica	Portugal
5938	10 poches	Solution pour perfusion	400mg/200ml (2mg/ml)		Infusion 	Pharmacie Minapharm Halabi	Biomendi SA	Spain
5942	30	Tablet	100mg	30	Oral	Abela Frères S.A.L.	Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon
5944	10	Tablet, film coated	500mg	10	Oral	Abela Frères S.A.L.	Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon
5948	30	Tablet, film coated	850mg	30	Oral	New Allpharma	Medochemie Ltd	Cyprus
5949	20 x 2.5ml	Respule	2.5mg/2.5ml	50	Respiratory	Droguerie de l'Union	Cipla Ltd	India
5950	1x2ml single dose tube			2	Oral	Droguerie de l'Union	Merck Sharp & Dohme Corp, West Point	USA
5951	100	Tablet	5mg	100	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
5954	500ml		10%		Topical	Mersaco	Mundipharma Pharmaceuticals Ltd	Cyprus
5956	1Vial	Injectable concentrated powder for solution for infusion	1mg		Infusion	Mersaco	Baxter Oncology GmbH	Germany
5957	30	Tablet, film coated	2.5mg	30	Oral	The Lebanese Pharmacists SAL	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan
5958	20	Caplet, film coated	1mg	20	Oral	The Lebanese Pharmacists SAL	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan
5959	30	Tablet	15mg	30	Oral	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan 	Jordan
5962	10 ampoules x5ml	Injectable solution (IV or peridurale) 	250mcg/5ml	50	Infusion/IV/Epidural	Pharmacie Minapharm Halabi	Renaudin 	France
5963	10 ampoules x2ml	Injectable solution (IV or peridurale) 	10mcg/2ml	20	Infusion/IV/Epidural	Pharmacie Minapharm Halabi	Renaudin 	France
5966	10Vials	Injectable powder for solution  IM/IV	750mg		IV/IM	Pharmacie Minapharm Halabi	Panpharma	France
5967	60ml	Suspension	125mg/5ml	60	Oral	Sadco	Dar Al Dawa	Jordan
5968	30	Tablet	50mg	30	Oral	Pharmapro	Mediphar Laboratories	Lebanon
5969	30	Tablet, scored	24mg	30	Oral	Spephal S.A.L.	Mediphar Laboratories	Lebanon
5970	30	Tablet	5mg	30	Oral	Pharmapro	Mediphar Laboratories	Lebanon
5971	30	Tablet	4mg	30	Oral	Pharmapro	Mediphar Laboratories	Lebanon
5974	28	Tablet	50mg	28	Oral	Omnipharma	Corden Pharma GmbH	Germany
5976	4	Tablet, film coated	20mg	4	Oral	Droguerie de l'Union	Lilly SA	Spain
5979	28	Capsule, modified release	30mg	28	Oral	Abela Frères S.A.L.	Apogepha Arzneimittel GmbH	Germany
5980	120 doses	Nasal spray suspension	27.5mcg/dose	120	Nasal	Abela Frères S.A.L.	Glaxo Operations UK Ltd	UK
5981	6	Tablet	250mg	6	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
5982	30	Tablet	75mg	30	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
5983	100	Tablet	10mg	100	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
5984	60doses	Turbuhaler, Inhalation powder		60	Respiratory	Omnipharma	AstraZeneca AB	Sweden
5986	80g	Gel pour application locale	1%	80	Topical	Droguerie Columbus	Besins Manufacturing Belgium SA	Belgium
5987	7	Capsule	50mg	7	Oral	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan
5988	15	Tablet, coated	180mg	15	Oral	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan
5989	30	Tablet, coated	40mg	30	Oral	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan
5990	1+1	Injectable powder for solution+diluent	250IU/2.5ml	2.5	IV	Codipha	LFB Biomedicaments	France
5992	1+1	Injectable powder for solution+diluent	500IU/5ml	5	IV	Codipha	LFB Biomedicaments	France
5996	28	Tablet, film coated	25mg	28	Oral	Khalil Fattal & Fils S.A.L.	Les Laboratoires Servier Industrie	France
5998	15	Tablet, enteric coated	20mg	15	Oral	Mersaco	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia
5999	200ml	Oral suspension	5mg/5ml	200	Oral	Pharmamedic S.A.R.L.	Chaoul Pharmaceuticals (Cha-Pha) SAL	Lebanon
6001	30	Tablet	20mg	30	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
6002	1prefilled syringe +1needle (1dose 0.5ml)	Injectable suspension		0.5	IM	Abela Frères S.A.L.	GlaxoSmithKline Biologicals SA	Belgium
6003	30	Tablet	20mg	30	Oral	UPO S.A.L.	Pharmascience Inc	Canada
6007	56	Capsule, hard	150mg	56	Oral	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Deutschland GmbH 	Germany
6008	14	Capsule, hard	75mg	14	Oral	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Deutschland GmbH 	Germany
6012	50ml	Suspension 	250mg/5ml	50	Oral	Abela Frères S.A.L.	Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon
6013	10	Tablet, film coated	10mg	10	Oral	Mersaco	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia
6014	15g	Cream			Topical	Mersaco	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia
6017	28	Tablet		28	Oral	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan 	Jordan
6018	28	Tablet		28	Oral	Abela Frères S.A.L.	The Arab Pharmaceutical Manufacturing PSC (APM) under license from Takeda Pharmaceutical company Ltd Japan 	Jordan
6024	25	Injectable powder for solution for adults/IV	1.2g		Infusion/IV	Pharmacie Minapharm Halabi	Panpharma	France
6025	14	Capsule, delayed release	40mg	14	Oral	Pharmapro	Mediphar Laboratories	Lebanon
6026	12 sachets	Powder for oral suspension	20mg		Oral	Pharmapro	Mediphar Laboratories	Lebanon
6027	30g	Cream	0.1%		Topical	Medapharm Healthcare SAL	Mediphar Laboratories	Lebanon
6028	100ml	Syrup	15mg/5ml	100	Oral	Pharmapro	Mediphar Laboratories	Lebanon
6029	30	Capsule, modified release	0.4mg	30	Oral	Medicapharm S.A.L.	Mediphar Laboratories	Lebanon
6030	1	Tablet	150mg	1	Oral	Benta Trading Co s.a.l.	Benta SAL	Lebanon
6031	30	Tablet, film coated, extended release	750mg	30	Oral	Benta Trading Co s.a.l.	Benta SAL	Lebanon
6047	100ml	Suspension	250mg/5ml	100	Oral	Sadco	Dar Al Dawa	Jordan
6048	30 Ampoules	Solution for Inhalation	2.5mg/2.5ml		Respiratory	Omnipharma	Genentech Inc	USA
6054	20	Tablet	60mg	20	Oral	Food & Drug Corporation FDC	SAJA Pharmaceuticals (Saudi Arabia Japanese Pharmaceutical Company Limited) under licence from Daiichi Sankyo Co Ltd Japan	Saudi Arabia
6055	21	Capsule, hard	5mg	21	Oral	Droguerie de l'Union	Celgene International SARL	Switzerland
6056	21	Capsule, hard	10mg	21	Oral	Droguerie de l'Union	Celgene International SARL	Switzerland
6057	21	Capsule, hard	15mg	21	Oral	Droguerie de l'Union	Celgene International SARL	Switzerland
6058	21	Capsule, hard	25mg	21	Oral	Droguerie de l'Union	Celgene International SARL	Switzerland
6059	7	Tablet, film coated	500mg	7	Oral	Sadco	Dar Al Dawa	Jordan
6060	5	Injectable solution	20mg		Infusion/IV/IM	Pharmamedic S.A.R.L.	Biocodex	France
6064	28	Tablet, film coated	60mg	28	Oral	Droguerie de l'Union	Frosst Iberica S.A.	Spain
6065	28	Tablet, film coated	90mg	28	Oral	Droguerie de l'Union	Frosst Iberica S.A.	Spain
6066	7	Tablet, film coated	120mg	7	Oral	Droguerie de l'Union	Frosst Iberica S.A.	Spain
6072	28	Tablet, film coated	75mg	28	Oral	Mersaco	Benta SAL under license from SanofiClir SNC France	Lebanon
6073	120 actuations	Solution for inhalation		120	Respiratory	Sadco	Chiesi Farmaceutici SpA	Italy
6077	10	Tablet, film coated	120mg	10	Oral	Droguerie de l'Union	Cipla Ltd	India
6078	10	Tablet, film coated	180mg	10	Oral	Droguerie de l'Union	Cipla Ltd	India
6080	200 metered dose	Inhaler	50mcg/dose	200	Respiratory	Droguerie de l'Union	Cipla Ltd	India
6088	30	Tablet	5mg	30	Oral	Pharmapro	Mediphar Laboratories	Lebanon
6089	30	Tablet	10mg	30	Oral	Pharmapro	Mediphar Laboratories	Lebanon
6092	30	Tablet	10mg	30	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
6093	30	Tablet	20mg	30	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
6094	30	Tablet	40mg	30	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
6095	30	Tablet	50mg	30	Oral	Promopharm S.A.R.L.	Apotex Inc	Canada
6096	3 flaconsx60ml	Solution pour application cutanée	5%		Topical, Scalp	Pharmamedic S.A.R.L.	Delpharm Huningue SAS 	France
6097	20x2.5ml	Respules		50	Respiratory	Droguerie de l'Union	Cipla Ltd	India
6099	100	Tablet	25mg	100	Oral	UPO S.A.L.	ANI Pharmaceuticals Canada, Inc	Canada
6100	28	Tablet, film coated	2mg	28	Oral	Droguerie de l'Union	Algorithm S.A.L. under license from KOWA Pharmaceutical Europe Co Ltd UK	Lebanon
6101	28	Tablet, film coated	4mg	28	Oral	Droguerie de l'Union	Algorithm S.A.L. under license from KOWA Pharmaceutical Europe Co Ltd UK	Lebanon
6103	20	Tablet	2mg	20	Oral	Abela Frères S.A.L.	Hikma Pharmaceuticals	Jordan
6104	20	Tablet	1mg	20	Oral	Abela Frères S.A.L.	Hikma Pharmaceuticals	Jordan
6105	20	Tablet	4mg	20	Oral	Abela Frères S.A.L.	Hikma Pharmaceuticals	Jordan
6109	1Vial x 4ml	Solution for injection	100mg	4	Infusion 	Omnipharma	Roche Diagnostics  GmbH 	Germany
6110	1Vial x 16ml	Solution for injection	400mg	16	Infusion 	Omnipharma	Roche Diagnostics  GmbH 	Germany
6113	16	Capsule		16	Oral	Pharmamedic S.A.R.L.	Urgo	France
6118	50g	Gel		50	Topical	Pharmamedic S.A.R.L.	Mobilat produktions GmbH	Germany
6119	50g	Cream		50	Topical	Pharmamedic S.A.R.L.	Mobilat produktions GmbH	Germany
6120	20x2ml	Respule	20mcg/2ml	40	Respiratory	Droguerie de l'Union	Cipla Ltd	India
6121	4	Tablet	20mg	4	Oral	Droguerie de l'Union	Cipla Ltd	India
6122	60ml	Oral Suspension	100mg/5ml	60	Oral	Mersaco	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia
6123	30	Rotacaps		30	Respiratory	Droguerie de l'Union	Cipla Ltd	India
6124	30	Rotacaps		30	Respiratory	Droguerie de l'Union	Cipla Ltd	India
6125	30	Rotacaps		30	Respiratory	Droguerie de l'Union	Cipla Ltd	India
6126	30Doses	Multihaler		30	Respiratory	Droguerie de l'Union	Cipla Ltd	India
6127	30Doses	Multihaler		30	Respiratory	Droguerie de l'Union	Cipla Ltd	India
6130	30	Tablet, film coated	10mg	30	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
6131	30	Tablet, film coated	20mg	30	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
6132	30	Tablet, film coated	40mg	30	Oral	Khalil Fattal & Fils S.A.L.	Spimaco 	Saudi Arabia
6133	30	Tablets, modified release scored	60mg	30	Oral	Khalil Fattal & Fils S.A.L.	Les Laboratoires Servier Industrie	France
6138	1vial	Injectable powder for solution			Infusion	Medi drug International SAL (MDI)	Laboratorio Reig Jofre SA	Spain
6143	5	Tablet, film coated	750mg	5	Oral	Sadco	Dar Al Dawa	Jordan
6144	50ml	Solution	5%		Topical, Scalp	Sadco	Dar Al Dawa	Jordan
6149	15	Tablet, enteric coated	20mg	15	Oral	Food & Drug Corporation FDC	Saudi Arabian Japanese Pharmaceuticals Co (SAJA Pharmaceuticals) 	Saudi Arabia
6150	30	Tablet, enteric coated	20mg	30	Oral	Food & Drug Corporation FDC	Saudi Arabian Japanese Pharmaceuticals Co (SAJA Pharmaceuticals) 	Saudi Arabia
6151	15	Tablet, enteric coated	40mg	15	Oral	Food & Drug Corporation FDC	Saudi Arabian Japanese Pharmaceuticals Co (SAJA Pharmaceuticals) 	Saudi Arabia
6152	30	Tablet, enteric coated	40mg	30	Oral	Food & Drug Corporation FDC	Saudi Arabian Japanese Pharmaceuticals Co (SAJA Pharmaceuticals) 	Saudi Arabia
6157	120 Metered doses	Inhaler		120	Respiratory	Droguerie de l'Union	Cipla Ltd	India
6158	200 Metered doses	Inhaler (CFC free)	200mcg/actuation	200	Respiratory	Droguerie de l'Union	Cipla Ltd	India
6161	1Vial	Concentrate for solution for infusion	250mg/10ml	10	Infusion	Mersaco	Pierre Fabre Medicament Production	France
6162	1Vial	Concentrate for solution for infusion	50mg/2ml	2	Infusion	Mersaco	Pierre Fabre Medicament Production	France
6163	28	Tablet, film coated	5mg	28	Oral	Droguerie de l'Union	Lilly SA	Spain
6164	30	Capsule	25mg	30	Oral	Droguerie Phenicia	Roemmers S.A.I.C.F.	Argentine
6169	12	Capsule, vaginal			Vaginal	Raymond Georges Abou Adal & Co	Innothera Chouzy	France
6180	1vialx2ml	Injectable solution	500mg/2ml	2	Infusion	Medi drug International SAL (MDI)	Anfarm Hellas SA	Greece
6181	28 Sachets	Granules, gastroresistant, for oral suspension	10mg		Oral	Omnipharma	AstraZeneca AB	Sweden
6182	6	Vaginal Tablet	10mg		Vaginal	Elite Pharma SARL	Rottendorf Pharma GmbH	Germany
6187	3ml	Eye drops solution	0.1mg/ml	3	Ophtalmic	Mersaco	Allergan Pharmaceuticals (Ireland)	Ireland
6188	30	Tablet, coated	40mg	30	Oral	Droguerie Phenicia	Dr Lazar y.Cia. S.A.Q.eI	Argentine
6192	100	Tablet		100	Oral	Benta Trading Co s.a.l.	Labesfal Laboratorios Almiro SA	Portugal
6193	60	Comprimé pelliculé 		60	Oral	Pharmamedic S.A.R.L.	Galenique Vernin	France
6197	5x4ml	Injectable solution	1,000mg/4ml	20	Infusion/IV/IM	Spephal S.A.L.	Ferrer Internacional SA	Spain
6201	1vial+1Syringe	Injectable lyophylized powder for IV infusion	250mg		Infusion	Pacific pharma	Bristol-Myers Squibb Company	USA
6204	30	Tablet, film coated	10mg	30	Oral	Mersaco	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia
6206	1vialx50ml	Injection	500mg	50	Parenteral	Khalil Fattal & Fils S.A.L.	Ebewe Pharma GesmbH.NFG.KG	Austria
6207	112	Capsule	150mg	112	Oral	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland
6211	25Amp + 25solvent 2ml	Freeze dried flask ampoule injectable	4,000IU	50	IV/SC	Droguerie Phenicia	BioSidus SA	Argentine
6212	14	Capsule	20mg	14	Oral	C. Catafago & Co	European Egyptian Pharmaceutical Industries	Egypt
6213	20 flaconsx5ml	oral suspension			Oral	Mersaco	Sanofi SpA	Italy
6215	300ml	IV Injection	2mg/ml	300	Infusion	Droguerie de l'Union	Cipla Ltd	India
6216	100ml	IV Injection	2mg/ml	100	Infusion	Droguerie de l'Union	Cipla Ltd	India
6217	20	Respules	1mg		Respiratory	Droguerie de l'Union	Cipla Ltd	India
6218	10	Tablet	75mg	10	Oral	Mediterranean Pharmaceutical Company	Ranbaxy Laboratories Ltd	India
6219	30	Tablet, prolonged release	500mg	30	Oral	Food & Drug Corporation FDC	Pharmaline Licensed by Merck Santé SAS, France	Lebanon
6220	30	Tablet, enteric coated	5mg	30	Oral	Macromed S.A.R.L.	Hayat Pharmaceuticals Industries Co PLC	Jordan
6222	30	Tablet, film coated	150mg	30	Oral	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
6223	30	Tablet, film coated	300mg	30	Oral	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
6224	30	Tablet, film coated		30	Oral	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
6225	30	Tablet, film coated		30	Oral	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
6231	1Vial with 80mg degarelix (powdre) + 1 prefilled Syringe with 4.2ml solvent +1plunger rod +1vial adaptor +1injection needle	Powder and solvent for solution for injection	80mg		SC	Sadco	Ferring GmbH	Germany
6232	2Vial with 120mg degarelix (powdre) + 2 prefilled Syringe with 3ml solvent +2plunger rod +2vial adaptor +2injection needle	Powder and solvent for solution for injection	120mg		SC	Sadco	Ferring GmbH	Germany
6233	28	Capsule, hard	20mg	28	Oral	The City Pharmacy	Industria Quimica Farmaceutica Vir SA	Spain
6236	30	Tablet, fim coated	2.5mg	30	Oral	Nobel Pharm Plus SARL	Genepharm SARL	Greece
6237	30	Tablet, film coated	5mg	30	Oral	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
6238	30	Tablet, fim coated	250mg	30	Oral	Omnipharma	NIPRO Pharma Corporation, Kagamiishi Plant	Japan
6239	1 vial x 10ml	Injectable solution for infusion	500mg/10ml	10	Infusion/IV	Abela Frères S.A.L.	IDT Biologika GmbH	Germany
6240	45g	Gel	1%		Topical	Macromed S.A.R.L.	Hayat Pharmaceuticals Industries Co PLC	Jordan
6241	50	Capsule	400mg	50	Oral	Picomed SARL	Pharma International Co	Jordan
6242	50	Capsule	300mg	50	Oral	Picomed SARL	Pharma International Co	Jordan
6243	30	Tablet, film coated	10mg	30	Oral	Picomed SARL	Pharma International Co	Jordan
6248	20	Comprimés sécables à libération prolongée	100mg	20	Oral	Mersaco	Sanofi Winthrop Industrie	France
6249	30	Capsule	12mcg	30	Respiratory	Droguerie de l'Union	Cipla Ltd	India
6251	100ml	Powder for suspension	642.9mg/5ml	100	Oral	Abela Frères S.A.L.	GlaxoWellcome Production	France
6252	10	Tablet, scored	150mg	20	Oral	Mersaco	Sanofi Winthrop Industrie	France
6253	7x100ml	Enema	1g	700	Rectal	Sadco	Ferring - Leciva, AS	Czech Republic
6254	10 Vials	Injectable powder for solution for infusion			Infusion 	PharmaLab SARL	ACS Dobfar S.P.A.	Italy
6255	30	Capsule	120mg	30	Oral	Benta Trading Co s.a.l.	Benta SAL	Lebanon
6258	30	Caplet	10mg	30	Oral	The Lebanese Pharmacists SAL	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan
6260	30	Capsule	0.5mcg	30	Oral	UPO S.A.L.	Leo Pharma A/S	Denmark
6262	30	Tablet, film coated		30	Oral	Khalil Fattal & Fils S.A.L.	Servier (Ireland) Industrie Ltd	Ireland
6264	28	Capsule, delayed release	40mg	28	Oral	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
6265	28	Capsule, delayed release	20mg	28	Oral	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
6267	30	Tablet, film coated	75mg	30	Oral	Sadco	Dar Al Dawa	Jordan
6269	60 Sachets x3g		3g	180	Oral	Droguerie Phenicia	Laboratorios Casasco S.A.I.C.	Argentine
6270	60	Tablet, film coated	1,000mg	60	Oral	Sadco	Berlin Chemie AG	Germany
6271	60	Tablet, film coated	50mg	60	Oral	Benta Trading Co s.a.l.	Benta SAL	Lebanon
6272	60	Tablet, film coated	100mg	60	Oral	Benta Trading Co s.a.l.	Benta SAL	Lebanon
6283	1Vial	Injection	1,000mg		IV	Abela Frères S.A.L.	Hikma Farmaceutica	Portugal
6284	28	Tablet, film coated			Oral	Droguerie R. Pharaon & Fils S.A.L.	Bayer Weimar GmbH & Co KG	Germany
6285	10	Capsule	120mg	10	Oral	Pharmapro	Mediphar Laboratories	Lebanon
6286	30	Capsule	60mg	30	Oral	Pharmapro	Mediphar Laboratories	Lebanon
6288	1 Vial	Injection			Infusion	Khalil Fattal & Fils S.A.L.	Sandoz GmbH	Austria
6290	10 Sachets	Effervescent  Granules			Oral	Droguerie de l'Union	Cipla Ltd	India
6293	30	Tablet, film coated	10mg	30	Oral	Sadco	Dar Al Dawa	Jordan
6294	28	Tablets, orodispersibles	10mg	28	Oral	Droguerie de l'Union	Lilly SA	Spain
6295	28	Tablets, orodispersibles	5mg	28	Oral	Droguerie de l'Union	Lilly SA	Spain
6299	50ml	IV or SC Solution for infusion	10%	50	Infusion/SC	Alfamed S.A.L.	Grifols Therapeutics LLC	USA
6300	3x2	Ampoules		2 - 1	IM	Food & Drug Corporation FDC	Pharmaline Licensed by P&G Health Germany GmbH, Germany	Lebanon
6301	30	Tablet, film coated	40mg	30	Oral	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
6302	30	Tablet, film coated	10mg	30	Oral	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
6303	30	Tablet, film coated	20mg	30	Oral	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
6304	5 Prefilled syringes	Injectable solution for infusion	48MU/0.5ml	2.5	Infusion	Khalil Fattal & Fils S.A.L.	IDT Biologika GmbH	Germany
6305	5 Prefilled syringes	Injectable solution for infusion	30MU/0.5ml	2.5	Infusion	Khalil Fattal & Fils S.A.L.	IDT Biologika GmbH	Germany
6306	28	Capsule hard	0.5mg	28	Oral	Khalil Fattal & Fils S.A.L.	Novartis Pharma Stein AG	Switzerland
6307	10	Tablet, film coated	500mg	10	Oral	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan
6308	30	Tablet, coated	5mg	30	Oral	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan
6309	30	Tablet, coated	10mg	30	Oral	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan
6310	20	Capsule, soft gelatin	400mg	20	Oral	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan
6311	48	Capsule	300mg	48	Oral	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan
6312	48	Capsule	400mg	48	Oral	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan
6313	10	Tablet	7.5mg	10	Oral	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan
6314	10	Tablet	15mg	10	Oral	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan
6318	1	One month depot pack of  1 implant	3.6mg		SC	Khalil Fattal & Fils S.A.L.	Ever Pharma Jena GmbH 	Germany
6319	1	Three months depot pack of  1 implant	5mg		SC	Khalil Fattal & Fils S.A.L.	Ever Pharma Jena GmbH 	Germany
6320	2x10	Tablet	50mg	20	Oral	Droguerie Columbus	Remedica Ltd 	Cyprus
6322	1 Vial		500mg		Infusion 	Abela Frères S.A.L.	Hikma Italia SpA	Italy
6323	1 Vial		1,000mg		Infusion 	Abela Frères S.A.L.	Hikma Italia SpA	Italy
6324	50	Capsule	300mg	50	Oral	UPO S.A.L.	Pharmascience Inc	Canada
6325	1Vial	Injectable lyophilised powder	50mg		Infusion 	New Europharm	Bioprofarma S.A.	Argentine
