Code	Form	Scored	Parent	Route	IsParenteral
4215	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4217	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4219	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4221	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4223	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4224	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4225	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4227	Water for injection, irrigation		Irrigation	Irrigation	
4229	Water for injection, irrigation		Irrigation	Irrigation	
4231	Water for injection, irrigation		Irrigation	Irrigation	
4235	Water for injection, irrigation		Irrigation	Irrigation	
4236	Injectable, solution		Parentaral	IV-IM-SC-Intravenous-Intramuscular-Subcutanous	Parentaral
4237	Water for injection, irrigation		Irrigation	Irrigation	
4238	Water for injection, irrigation		Irrigation	Irrigation	
4239	Tablet		O-Oral	O-Oral	
4240	Suppository		R-Rectal	R-Rectal	
4241	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
4242	Tablet, coated		O-Oral	O-Oral	
4243	Tablet, coated		O-Oral	O-Oral	
4245	Drops, solution		Ot-Otic	Ot-Otic	
4246	Tablet, film coated		O-Oral	O-Oral	
4249	Tablet		O-Oral	O-Oral	
4250	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
4251	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
4252	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
4253	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
4254	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
4258	Tablet, film coated		O-Oral	O-Oral	
4259	Granules, for suspension		O-Oral	O-Oral	
4260	Tablet		O-Oral	O-Oral	
4261	Granules, for suspension		O-Oral	O-Oral	
4262	Capsule		O-Oral	O-Oral	
4263	Capsule		O-Oral	O-Oral	
4264	Capsule		O-Oral	O-Oral	
4265	Capsule		O-Oral	O-Oral	
4266	Capsule		O-Oral	O-Oral	
4267	Tablet		O-Oral	O-Oral	
4268	Tablet		O-Oral	O-Oral	
4269	Tablet		O-Oral	O-Oral	
4270	Syrup		O-Oral	O-Oral	
4271	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
4272	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
4275	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4276	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4277	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4278	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4284	Tablet		O-Oral	O-Oral	
4285	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4286	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4287	Cream		T-Topical	T-Topical	
4288	Syrup		O-Oral	O-Oral	
4289	Tablet, film coated		O-Oral	O-Oral	
4290	Tablet		O-Oral	O-Oral	
4291	Elixir		O-Oral	O-Oral	
4292	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4293	Syrup		O-Oral	O-Oral	
4294	Syrup		O-Oral	O-Oral	
4295	Syrup		O-Oral	O-Oral	
4296	Syrup		O-Oral	O-Oral	
4297	Drops, solution		Ot-Otic	Ot-Otic	
4300	Tablet, film coated		O-Oral	O-Oral	
4301	Tablet, film coated		O-Oral	O-Oral	
4302	Tablet, film coated CHOOSE scored	YES	O-Oral	O-Oral	
4303	Tablet, film coated CHOOSE scored	YES	O-Oral	O-Oral	
4304	Tablet, coated		O-Oral	O-Oral	
4305	Capsule		O-Oral	O-Oral	
4306	Suppository		R-Rectal	R-Rectal	
4309	Tablet, film coated CHOOSE scored	YES	O-Oral	O-Oral	
4310	Tablet, film coated CHOOSE scored	YES	O-Oral	O-Oral	
4311	Tablet, film coated CHOOSE scored	YES	O-Oral	O-Oral	
4312	Tablet, film coated CHOOSE scored	YES	O-Oral	O-Oral	
4313	Cream		T-Topical	T-Topical	
4314	Tablet, coated		O-Oral	O-Oral	
4315	Cream		V-Vaginal	V-Vaginal	
4316	Ovule		V-Vaginal	V-Vaginal	
4317	Ovule		V-Vaginal	V-Vaginal	
4318	Spray		T-Topical	T-Topical	
4319	Ovule		V-Vaginal	V-Vaginal	
4320	Tablet, chewable		O-Oral	O-Oral	
4321	Tablet		O-Oral	O-Oral	
4322	Tablet		O-Oral	O-Oral	
4324	Tablet		O-Oral	O-Oral	
4325	Tablet		O-Oral	O-Oral	
4326	Granules, for suspension		O-Oral	O-Oral	
4327	Tablet, film coated CHOOSE scored	YES	O-Oral	O-Oral	
4331	Tablet		O-Oral	O-Oral	
4332	Tablet		O-Oral	O-Oral	
4333	Elixir		O-Oral	O-Oral	
4336	Drops, solution		O-Oral	O-Oral	
4337	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4338	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4339	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4340	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4341	Capsule		O-Oral	O-Oral	
4345	Syrup		O-Oral	O-Oral	
4350	Suppository		R-Rectal	R-Rectal	
4351	Suppository		R-Rectal	R-Rectal	
4354	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4355	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4357	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4361	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4362	Cream		T-Topical	T-Topical	
4364	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4367	Solution		T-Topical	T-Topical	
4368	Solution		T-Topical	T-Topical	
4369	Solution		T-Topical	T-Topical	
4370	Syrup		O-Oral	O-Oral	
4371	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4372	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4373	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4374	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4376	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4377	Lotion		T-Topical	T-Topical	
4378	Tablet, sugar coated		O-Oral	O-Oral	
4379	Elixir		O-Oral	O-Oral	
4380	Elixir		O-Oral	O-Oral	
4387	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4388	Syrup		O-Oral	O-Oral	
4389	Capsule		O-Oral	O-Oral	
4390	Tablet, film coated		O-Oral	O-Oral	
4392	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4393	Suspension		O-Oral	O-Oral	
4395	Capsule		O-Oral	O-Oral	
4396	Syrup		O-Oral	O-Oral	
4397	Cream		T-Topical	T-Topical	
4398	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4399	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4400	Cream		T-Topical	T-Topical	
4401	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4402	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
4404	Capsule		O-Oral	O-Oral	
4405	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4406	Capsule		O-Oral	O-Oral	
4411	Cream		T-Topical	T-Topical	
4413	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4414	Solution		T-Topical	T-Topical	
4415	Capsule		O-Oral	O-Oral	
4416	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4417	Cream		T-Topical	T-Topical	
4418	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4419	Capsule		O-Oral	O-Oral	
4420	Capsule		O-Oral	O-Oral	
4421	Capsule		O-Oral	O-Oral	
4422	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4423	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4424	Tablet		O-Oral	O-Oral	
4425	Tablet		O-Oral	O-Oral	
4427	Tablet		O-Oral	O-Oral	
4428	Tablet		O-Oral	O-Oral	
4429	Syrup		O-Oral	O-Oral	
4431	Cream		T-Topical	T-Topical	
4433	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4434	Tablet		O-Oral	O-Oral	
4435	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4436	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4438	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4439	Solution		T-Topical	T-Topical	
4440	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4442	Suspension		O-Oral	O-Oral	
4446	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4447	Tablet		O-Oral	O-Oral	
4448	Tablet, coated		O-Oral	O-Oral	
4450	Tablet, film coated CHOOSE scored	YES	O-Oral	O-Oral	
4451	Drops, solution		Ot-Otic	Ot-Otic	
4452	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
4453	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4454	Shampoo		T-Topical	T-Topical	
4455	Syrup		O-Oral	O-Oral	
4456	Suspension		O-Oral	O-Oral	
4457	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4458	Capsule		O-Oral	O-Oral	
4459	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4460	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4461	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4462	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4463	Syrup		O-Oral	O-Oral	
4464	Capsule		O-Oral	O-Oral	
4466	Capsule		O-Oral	O-Oral	
4467	Gel		T-Topical	T-Topical	
4468	Tablet		O-Oral	O-Oral	
4469	Capsule		O-Oral	O-Oral	
4481	Lotion		T-Topical	T-Topical	
4488	Solution		T-Topical	T-Topical	
4490	Solution		T-Topical	T-Topical	
4492	Solution		T-Topical	T-Topical	
4494	Solution		T-Topical	T-Topical	
4495	Granules		O-Oral	O-Oral	
4497	Tablet		O-Oral	O-Oral	
4499	Solution		T-Topical	T-Topical	
4501	Syrup		O-Oral	O-Oral	
4502	Solution		O-Oral	O-Oral	
4503	Solution		O-Oral	O-Oral	
4504	Solution		O-Oral	O-Oral	
4505	Cream		T-Topical	T-Topical	
4507	Powder, for suspension		O-Oral	O-Oral	
4508	Tablet		O-Oral	O-Oral	
4509	Capsule		O-Oral	O-Oral	
4513	Drops, solution		Ot-Otic	Ot-Otic	
4516	Tablet, sugar coated		O-Oral	O-Oral	
4517	Tablet, sugar coated		O-Oral	O-Oral	
4518	Powder, for suspension		O-Oral	O-Oral	
4519	Tablet, sugar coated		O-Oral	O-Oral	
4523	Ointment		T-Topical	T-Topical	
4524	Ointment		Oph-Ophtalmic	Oph-Ophtalmic	
4525	Capsule		O-Oral	O-Oral	
4532	Solution		T-Topical	T-Topical	
4535	Tablet		O-Oral	O-Oral	
4536	Elixir		O-Oral	O-Oral	
4537	Tablet		O-Oral	O-Oral	
4540	Syrup		O-Oral	O-Oral	
4541	Syrup		O-Oral	O-Oral	
4543	Tablet		O-Oral	O-Oral	
4545	Suppository		R-Rectal	R-Rectal	
4547	Lotion		T-Topical	T-Topical	
4548	Suppository		R-Rectal	R-Rectal	
4549	Suppository		R-Rectal	R-Rectal	
4551	Suppository		R-Rectal	R-Rectal	
4552	Capsule		O-Oral	O-Oral	
4554	Tablet		O-Oral	O-Oral	
4559	Solution		T-Topical	T-Topical	
4560	Capsule		O-Oral	O-Oral	
4561	Capsule		O-Oral	O-Oral	
4562	Capsule		O-Oral	O-Oral	
4563	Elixir		O-Oral	O-Oral	
4564	Capsule		O-Oral	O-Oral	
4565	Tablet, sugar coated		O-Oral	O-Oral	
4566	Tablet, sugar coated		O-Oral	O-Oral	
4567	Ointment		T-Topical	T-Topical	
4568	Ointment		T-Topical	T-Topical	
4569	Syrup		O-Oral	O-Oral	
4572	Suppository		R-Rectal	R-Rectal	
4573	Capsule		O-Oral	O-Oral	
4574	Powder, for suspension		O-Oral	O-Oral	
4575	Powder, for suspension		O-Oral	O-Oral	
4576	Syrup		O-Oral	O-Oral	
4577	Tablet		O-Oral	O-Oral	
4578	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4579	Capsule		O-Oral	O-Oral	
4580	Suspension		O-Oral	O-Oral	
4581	Tablet		O-Oral	O-Oral	
4582	Capsule		O-Oral	O-Oral	
4583	Suppository		R-Rectal	R-Rectal	
4584	Tablet		O-Oral	O-Oral	
4585	Tablet		O-Oral	O-Oral	
4586	Syrup		O-Oral	O-Oral	
4587	Syrup		O-Oral	O-Oral	
4588	Syrup		O-Oral	O-Oral	
4589	Tablet, sugar coated		O-Oral	O-Oral	
4590	Solution		T-Topical	T-Topical	
4591	Solution		T-Topical	T-Topical	
4592	Solution		T-Topical	T-Topical	
4593	Suppository		R-Rectal	R-Rectal	
4594	Solution		T-Topical	T-Topical	
4595	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
4596	Tablet		O-Oral	O-Oral	
4597	Elixir		O-Oral	O-Oral	
4598	Shampoo		T-Topical	T-Topical	
4599	Lotion		T-Topical	T-Topical	
4600	Ointment		T-Topical	T-Topical	
4602	Capsule		O-Oral	O-Oral	
4603	Suppository		R-Rectal	R-Rectal	
4604	Powder, for suspension		O-Oral	O-Oral	
4605	Tablet		O-Oral	O-Oral	
4607	Spray		N-Nasal	N-Nasal	
4608	Tablet, coated		O-Oral	O-Oral	
4610	Ointment		T-Topical	T-Topical	
4611	Tablet		O-Oral	O-Oral	
4612	Drops, suspension		Oph-Ot-Ophtalmic and Otic	Oph-Ot-Ophtalmic and Otic	
4613	Ointment		T-Topical	T-Topical	
4614	Suspension		O-Oral	O-Oral	
4615	Capsule		O-Oral	O-Oral	
4616	Elixir		O-Oral	O-Oral	
4617	Tablet		O-Oral	O-Oral	
4618	Ointment		T-Topical	T-Topical	
4619	Suspension		O-Oral	O-Oral	
4620	Elixir		O-Oral	O-Oral	
4621	Ointment		T-Topical	T-Topical	
4622	Tablet		O-Oral	O-Oral	
4623	Tablet		O-Oral	O-Oral	
4624	Suppository		R-Rectal	R-Rectal	
4626	Powder, for suspension		O-Oral	O-Oral	
4628	Syrup		O-Oral	O-Oral	
4629	Suppository		R-Rectal	R-Rectal	
4630	Suppository		R-Rectal	R-Rectal	
4631	Drops, solution		Oph-Ot-Ophtalmic and Otic	Oph-Ot-Ophtalmic and Otic	
4632	Powder		T-Topical	T-Topical	
4633	Tablet		O-Oral	O-Oral	
4634	Ointment		T-Topical	T-Topical	
4635	Ointment		Oph-Ophtalmic	Oph-Ophtalmic	
4636	Elixir		O-Oral	O-Oral	
4637	Powder, for suspension		O-Oral	O-Oral	
4638	Tablet		O-Oral	O-Oral	
4639	Tablet		O-Oral	O-Oral	
4640	Tablet		O-Oral	O-Oral	
4641	Ointment		T-Topical	T-Topical	
4642	Tablet		O-Oral	O-Oral	
4643	Powder, for suspension		O-Oral	O-Oral	
4644	Capsule		O-Oral	O-Oral	
4645	Tablet		O-Oral	O-Oral	
4646	Gel		T-Topical	T-Topical	
4648	Gel		O-Oral	O-Oral	
4649	Syrup		O-Oral	O-Oral	
4650	Syrup		O-Oral	O-Oral	
4651	Syrup		O-Oral	O-Oral	
4652	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4653	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4658	Tablet		O-Oral	O-Oral	
4660	Syrup		O-Oral	O-Oral	
4661	Gel		T-Topical	T-Topical	
4662	Capsule		O-Oral	O-Oral	
4664	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4666	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4667	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4668	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4673	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
4674	Tablet		O-Oral	O-Oral	
4675	Tablet		O-Oral	O-Oral	
4676	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4677	Tablet, film coated		O-Oral	O-Oral	
4680	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
4682	Capsule		O-Oral	O-Oral	
4684	Cream		T-Topical	T-Topical	
4688	Cream		T-Topical	T-Topical	
4693	Tablet, film coated		O-Oral	O-Oral	
4694	Tablet, film coated		O-Oral	O-Oral	
4695	Tablet, film coated		O-Oral	O-Oral	
4696	Tablet, film coated		O-Oral	O-Oral	
4697	Tablet, film coated		O-Oral	O-Oral	
4698	Tablet, film coated		O-Oral	O-Oral	
4699	Tablet, film coated		O-Oral	O-Oral	
4700	Tablet, film coated		O-Oral	O-Oral	
4701	Tablet, film coated		O-Oral	O-Oral	
4702	Tablet, film coated		O-Oral	O-Oral	
4703	Tablet, coated		O-Oral	O-Oral	
4704	Injectable, solution		Parentaral	IM-Intramuscular	Parentaral
4710	Tablet		O-Oral	O-Oral	
4714	Cream		T-Topical	T-Topical	
4715	Tablet		O-Oral	O-Oral	
4718	Tablet, film coated		O-Oral	O-Oral	
4719	Tablet, film coated		O-Oral	O-Oral	
4720	Tablet, film coated		O-Oral	O-Oral	
4721	Tablet		O-Oral	O-Oral	
4722	Tablet		O-Oral	O-Oral	
4725	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4728	Tablet		O-Oral	O-Oral	
4729	Tablet		O-Oral	O-Oral	
4730	Tablet		O-Oral	O-Oral	
4731	Tablet		O-Oral	O-Oral	
4735	Capsule		O-Oral	O-Oral	
4736	Capsule		O-Oral	O-Oral	
4737	Powder, for suspension		O-Oral	O-Oral	
4738	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
4745	Tablet		O-Oral	O-Oral	
4747	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4748	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4749	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4750	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4751	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4752	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4753	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4754	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4755	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4756	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4764	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4765	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4766	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4767	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4769	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4770	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4772	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4773	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4774	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4775	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4776	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4777	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4778	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4779	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4780	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4781	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4782	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4783	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4784	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4785	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4786	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4787	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4788	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4789	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4790	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4792	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4793	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4794	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4795	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4796	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4800	Injectable, solution		HD-Haemodialysis	HD-Haemodialysis	
4801	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4802	Injectable, solution		HD-Haemodialysis	HD-Haemodialysis	
4803	Injectable, solution		HD-Haemodialysis	HD-Haemodialysis	
4804	Injectable, solution		HD-Haemodialysis	HD-Haemodialysis	
4805	Injectable, solution		HD-Haemodialysis	HD-Haemodialysis	
4806	Injectable, solution		HD-Haemodialysis	HD-Haemodialysis	
4808	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4809	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4810	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4811	Gargle / Mouthwash		OG-Oral gingival	OG-Oral gingival	
4830	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
4831	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
4857	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
4858	Injectable, solution		HD-Haemodialysis	HD-Haemodialysis	
4859	Injectable, solution		HD-Haemodialysis	HD-Haemodialysis	
4860	Injectable, solution		HD-Haemodialysis	HD-Haemodialysis	
4864	Injectable, solution		Parentaral	IV-IM-SC-Intravenous-Intramuscular-Subcutanous	Parentaral
4874	Tablet		O-Oral	O-Oral	
4875	Tablet		O-Oral	O-Oral	
4898	Cream		T-Topical	T-Topical	
4903	Solution		T-Topical	T-Topical	
4904	Solution		T-Topical	T-Topical	
5021	Syrup		O-Oral	O-Oral	
5027	Cream		T-Topical	T-Topical	
5036	Tablet		O-Oral	O-Oral	
5037	Suspension		O-Oral	O-Oral	
5039	Tablet, film coated		O-Oral	O-Oral	
5040	Caplet, film coated		O-Oral	O-Oral	
5041	Tablet, film coated		O-Oral	O-Oral	
5042	Caplet, film coated		O-Oral	O-Oral	
5043	Injectable, solution		Parentaral	IV-IM-SC-Intravenous-Intamuscular-Subcutanous	Parentaral
5044	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
5045	Drops, solution		Ot-Otic	Ot-Otic	
5046	Syrup		O-Oral	O-Oral	
5047	Injectable, solution		Parentaral	IV-IM-SC-Intravenous-Intamuscular-Subcutanous	Parentaral
5048	Injectable, solution		Parentaral	Inf-IV-Epid-Infusion-Intravenous-Epidural	Parentaral
5049	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
5056	Tablet, film coated		O-Oral	O-Oral	
5057	Injectable, suspension		Parentaral	SC-Subcutanous	Parentaral
5060	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
5061	Injectable, suspension		Parentaral	SC-Subcutanous	Parentaral
5065	Tablet		O-Oral	O-Oral	
5066	Injectable, powder, for solution CHOOSE with diluent		Parentaral	Inf-Infusion	Parentaral
5071	Suppository		V-Vaginal	V-Vaginal	
5074	Tablet		O-Oral	O-Oral	
5075	Tablet, film coated		O-Oral	O-Oral	
5076	Tablet, film coated		O-Oral	O-Oral	
5077	Tablet		O-Oral	O-Oral	
5078	Tablet		O-Oral	O-Oral	
5079	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
5080	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
5081	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
5082	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
5083	Tablet, film coated		O-Oral	O-Oral	
5084	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
5085	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
5086	Tablet, film coated		O-Oral	O-Oral	
5087	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
5088	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
5089	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
5090	Tablet, film coated		O-Oral	O-Oral	
5091	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-Infusion	Parentaral
5092	Injectable, lyophilised / freeze-dried /  dry powder, for solution 		Parentaral	Inf-Infusion	Parentaral
5094	Powder, for suspension		O-Oral	O-Oral	
5095	Gel		T-Topical	T-Topical	
5096	Tablet		O-Oral	O-Oral	
5097	Tablet		O-Oral	O-Oral	
5098	Tablet		O-Oral	O-Oral	
5099	Tablet		O-Oral	O-Oral	
5103	Drops, solution		Oph-Ophtalmic	Oph-Ophtalmic	
5113	Capsule		O-Oral	O-Oral	
5114	Capsule, soft / liquid gel / liquid filled / soft gelatin		O-Oral	O-Oral	
5115	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
5116	Tablet		O-Oral	O-Oral	
5117	Tablet		O-Oral	O-Oral	
5120	Capsule		O-Oral	O-Oral	
5121	Suspension, inhalation		Res-Respiratory	Res-Respiratory	
5122	Tablet		O-Oral	O-Oral	
5123	Tablet		O-Oral	O-Oral	
5124	Tablet		O-Oral	O-Oral	
5125	Tablet		O-Oral	O-Oral	
5126	Tablet		O-Oral	O-Oral	
5134	Drops, suspension		O-Oral	O-Oral	
5135	Ovule		V-Vaginal	V-Vaginal	
5136	Tablet		O-Oral	O-Oral	
5137	Tablet		O-Oral	O-Oral	
5143	Tablet, effervescent		O-Oral	O-Oral	
5144	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
5146	Capsule		O-Oral	O-Oral	
5150	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
5152	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
5153	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
5155	Tablet, film coated		O-Oral	O-Oral	
5157	Tablet, film coated		O-Oral	O-Oral	
5158	Tablet, film coated		O-Oral	O-Oral	
5159	Tablet		O-Oral	O-Oral	
5161	Tablet		O-Oral	O-Oral	
5163	Tablet		O-Oral	O-Oral	
5164	Tablet, film coated		O-Oral	O-Oral	
5171	Tablet		O-Oral	O-Oral	
5172	Tablet		O-Oral	O-Oral	
5173	Tablet		O-Oral	O-Oral	
5174	Tablet		O-Oral	O-Oral	
5175	Tablet CHOOSE scored	YES	O-Oral	O-Oral	
5177	Tablet, film coated		O-Oral	O-Oral	
5179	Tablet, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
5180	Tablet, film coated		O-Oral	O-Oral	
5181	Tablet, film coated		O-Oral	O-Oral	
5182	Syrup		O-Oral	O-Oral	
5184	Tablet, film coated		O-Oral	O-Oral	
5185	Injectable, solution		Parentaral	SC-Subcutanous	Parentaral
5186	Injectable, solution		PTon-Peritoneal Dialysis	PTon-Peritoneal Dialysis	
5187	Injectable, solution		PTon-Peritoneal Dialysis	PTon-Peritoneal Dialysis	
5188	Injectable, solution		PTon-Peritoneal Dialysis	PTon-Peritoneal Dialysis	
5189	Injectable, solution		PTon-Peritoneal Dialysis	PTon-Peritoneal Dialysis	
5190	Injectable, solution		PTon-Peritoneal Dialysis	PTon-Peritoneal Dialysis	
5191	Injectable, solution		PTon-Peritoneal Dialysis	PTon-Peritoneal Dialysis	
5192	Tablet, film coated		O-Oral	O-Oral	
5193	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
5194	Injectable, lyophilised / freeze-dried /  dry powder, for solution CHOOSE with diluent		Parentaral	SC-Subcutanous	Parentaral
