MophCode	RegistrationNumber	DrugName	Dosage	Presentation	Form	Agent	Manufacturer	Country
1884	18427	BRUFEN	200mg	100	Tablet	Mersaco	The Boots Company Ltd PLC	UK
1885	24766/79	BRUFEN	400mg	25	Tablet	Mersaco	The Boots Company Ltd PLC	UK
1886	24767/79	BRUFEN	400mg	100	Tablet	Mersaco	The Boots Company Ltd PLC	UK
1896	26265	BRUFEN	200mg	500	Tablet	Mersaco	The Boots Company Ltd PLC	UK
1897	26265	BRUFEN	400mg	250	Tablet	Mersaco	The Boots Company Ltd PLC	UK
1898	26263	BRUFEN	600mg	30	Tablet	Mersaco	The Boots Company Ltd PLC	UK
1899	26264	BRUFEN	600mg	100	Tablet	Mersaco	The Boots Company Ltd PLC	UK
7215	221721/08	BRUMIXOL	1%	30g	Crème dermique	Soins et Santé	Bruschettini SRL	Italy
9512	63815/1	BUCAINE 0.5%	0.5%	1 Vial	Injection	Abela Frères S.A.L.	Hikma Farmaceutica	Portugal
3428	2243/72	BUCCALINE		7	Tablet	Medicapharm S.A.L.	Laboratorio Farmaceutico (SIT) Specialita Igienico Terapeutiche S.r.l.	Italy
8375	146614/1	BUDESONIDE ARROW	0.5mg/2ml	Récipient unidose x20	Suspension pour inhalation par nébuliseur	Darapharma S.A.L.	Qualiti (Burnley) Limited	UK
239	236855	BUPIVACAINE HCI B.P	0.25%	10amp	Injection	Pharmamed	Antigen Pharmaceuticals	Ireland
240	236856	BUPIVACAINE HCI B.P	0.5%	10amp	Injection	Pharmamed	Antigen Pharmaceuticals	Ireland
3691	21949	BURINEX	0.5mg/ml	10x2ml	Ampoule	UPO S.A.L.	Leo Pharmaceutical Products	Denmark
3673	23641	BURINEX K LEO	0.5 + 573mg	100	Tablet	UPO S.A.L.	Leo Pharmaceutical Products	Denmark
2231	300/72	BUSCOPAN		6	Ampoule	Mersaco	Boehringer Ingelheim Pharma GmbH & Co KG	Germany
2232	301/72	BUSCOPAN		20	Tablet, sugar coated	Mersaco	Boehringer Ingelheim Pharma GmbH & Co KG	Germany
9082	40217/1	BUSCOPAN		50	Tablet, sugar coated	Mersaco	Boehringer Ingelheim Pharma GmbH & Co KG	Germany
2233	302/72	BUSCOPAN ADULTE		6	Suppository	Mersaco	Boehringer Ingelheim Pharma KG for Boehringer Ingelheim International GmbH	Germany
2234	303/72	BUSCOPAN ENFANT		6	Suppository	Mersaco	Boehringer Ingelheim Pharma KG for Boehringer Ingelheim International GmbH	Germany
2215	208297	BUSCOPAN PLUS		5	Suppository	Mersaco	Boehringer Ingelheim Pharma GmbH & Co KG	Germany
2235	208296	BUSCOPAN PLUS		20	Tablet, film coated	Mersaco	Boehringer Ingelheim Pharma GmbH & Co KG	Germany
933	38916	BUSPAR	5mg	30	Tablet	Pacific pharma	Bristol-Myers Squibb US Pharmaceutical Group	USA
934	38917	BUSPAR	10mg	30	Tablet	Pacific pharma	Bristol-Myers Squibb US Pharmaceutical Group	USA
902	208813/03	BUSPAR DIVIDOSE	30mg	60	Tablet	Pacific pharma	Bristol-Myers Squibb US Pharmaceutical Group	USA
3845	19875	BUTADILAT		30g	Cream	New Allpharma	Medinova Ltd	Switzerland
1238	27108	BUTOVENT		200	Spray	Sadco	Chiesi Farmaceutici SpA	Italy
8108	30715/1	BUTRANS	5mcg/hr	4	Transdermal Patches	Mersaco	Bard Pharmaceuticals Ltd	UK
8109	30815/1	BUTRANS	10mcg/hr	4	Transdermal Patches	Mersaco	Bard Pharmaceuticals Ltd	UK
8110	30915/1	BUTRANS	20mcg/hr	4	Transdermal Patches	Mersaco	Bard Pharmaceuticals Ltd	UK
8574	14016/1	BYDUREON	2mg/pen	4 Prefilled pen	Powder and solvent for prolonged release suspension for injection for subcutaneous use	Omnipharma	Amylin Ohio LLC	USA
8327	89615/1	BYETTA	5mcg	1 prefilled pen	Injectable solution	Omnipharma	Enestia Belgium	Belgium
8328	89515/1	BYETTA	10mcg	1 prefilled pen	Injectable solution	Omnipharma	Enestia Belgium	Germany
7672	96602/12	BYPRO	50mg	30	Tablet	Macromed S.A.R.L.	Fresenius Kabi Oncology Limited	India
2004	1689/72	CA-C 1000 SANDOZ		10	Tablet, effervescent	Sadco	Famar Orleans	France
5908	218755/09	CADUET	5/10mg	30	Tablet	Mectapharm S.A.L.	Goedecke GmbH	Germany
5909	218756/09	CADUET	10/10mg	30	Tablet	Mectapharm S.A.L.	Goedecke GmbH	Germany
6032	167155/10	CADUET	5/20mg	30	Tablet	Mectapharm S.A.L.	Goedecke GmbH	Germany
6033	167158/10	CADUET	5/40mg	30	Tablet	Mectapharm S.A.L.	Goedecke GmbH	Germany
6034	167156/10	CADUET	10/20mg	30	Tablet	Mectapharm S.A.L.	Goedecke GmbH	Germany
6035	167157/10	CADUET	10/40mg	30	Tablet	Mectapharm S.A.L.	Goedecke GmbH	Germany
2240	236853/99	CAELYX	2mg/ml	1Vial x 10ml	concentrate for infusion	Mersaco	Schering-Plough Labo NV Co subsidiary of Schering-Plough Corporation, USA	Belgium
822	 1679/72	CAFERGOT		20	Dragee	Khalil Fattal & Fils S.A.L.	Novartis Pharmaceuticals UK Ltd, Horsham	UK
823	 1680/72	CAFERGOT PB.		6	Suppositoire	Khalil Fattal & Fils S.A.L.	Novartis Pharma AG	Switzerland
871	 1611/72	CAL DE CE EFFERVESCENT		10	Comprime	Khalil Fattal & Fils S.A.L.	Novartis Pharma AG	Switzerland
824	 1684/72	CALCIBRONAT		10	Tablet, effervescent	Khalil Fattal & Fils S.A.L.	Novartis Pharma AG	Switzerland
2972	26021	CALCIPARINE	5,000IU	2 x 0.2ml	Ampoule / Seringue	Mersaco	Sanofi Winthrop Industrie	France
1076	00841/72	CALCIPEN	1 Million IU	12	Tablet	UPO S.A.L.	Leo Pharmaceutical Products	Denmark
826	 1691/72	CALCIUM + VIT. C.	500mg	5x10ml	Ampoule	Khalil Fattal & Fils S.A.L.	Novartis Pharma AG	Switzerland
828	 15535	CALCIUM + VIT. C. CITRON		10	Tablet, effervescent	Khalil Fattal & Fils S.A.L.	Novartis Pharma AG	Switzerland
827	 1689/72	CALCIUM + VIT. C. ORANGE		10	Tablet, effervescent	Khalil Fattal & Fils S.A.L.	Novartis Pharma AG	Switzerland
1656	28570	CALCIUM 600		60	Tablet	Pharmacie Minapharm Halabi	American Vitamin Products	USA
1657	28571	CALCIUM 600 + VITAMINE D		60	Tablet	Pharmacie Minapharm Halabi	American Vitamin Products	USA
2242	27430	CALCIUM FOLINATE EBEWE	100mg	5 x 10ml	Ampoule	Codipha	Ebewe Pharma GesmbH.NFG.KG	Austria
2243	27431	CALCIUM FOLINATE EBEWE	30mg	5 x 3ml	Ampoule	Codipha	Ebewe Pharma GesmbH.NFG.KG	Austria
2244	27432	CALCIUM FOLINATE EBEWE	3mg	10 x 1ml	Ampoule	Codipha	Ebewe Pharma GesmbH.NFG.KG	Austria
825	15176	CALCIUM FORTE	500mg	20 	Tablet, effervescent	Khalil Fattal & Fils S.A.L.	Novartis Pharma AG	Switzerland
2245	G0744/92	CALCIUM GLUCONATE INJ.	10%	100 x 10ml	Ampoule	Pharmacie Minapharm Halabi	Renaudin 	France
3827	78883	CALCIUM MAGNESIUM ZINC CALMAZIN		100	Tablet	Droguerie Salud	Natural Wealth	USA
8293	90615/1	CALCIUM SANDOZ FORTE	500mg	10	Tablet, effervescent	Sadco	Famar Orleans	France
3826	78707	CALCIUM-667		60	Tablet	Droguerie Salud	Natural Wealth	USA
2246	974020/02	CALCO	50IU	5	Ampoule	Droguerie Pentamed	Laboratorio Italiano Biochimico Farmaceutico Lisapharma SpA	Italy
2247	974021/02	CALCO	100IU	5	Ampoule	Droguerie Pentamed	Laboratorio Italiano Biochimico Farmaceutico Lisapharma SpA	Italy
706	78708/97	CALGEL		10g	Teething gel	Sadco	GlaxoWellcome Production	UK
3913	25329	CALINATE -FA		100	Tablet	Comptoir Pharmaceutique du Nord	Reid Provident Laboratories Inc 	USA
696	25555	CALPOL		100ml	Suspension	Sadco	GlaxoWellcome Production	UK
698	135368/97	CALPOL INFANT		140ml	Suspension	Sadco	GlaxoWellcome Production	UK
697	26344	CALPOL SIX PLUS		100ml	Suspension	Sadco	GlaxoWellcome Production	UK
6981	222435/08	CALTOCIN 200		3.7ml (30MD)	Nasal Spray	Droguerie de l'Union	Cipla Ltd	India
2840	24290/79	CAMCOLIT	400mg	100	Tablet	Unipharm S.A.L.	Norgine Ltd	UK
2842	24287/79	CAMCOLIT	250	1000	Tablet	Unipharm S.A.L.	Norgine Ltd	UK
2856	24288/79	CAMCOLIT	250	100	Tablet	Unipharm S.A.L.	Norgine Ltd	UK
2857	24289/79	CAMCOLIT	400	500	Tablet	Unipharm S.A.L.	Norgine Ltd	UK
4344	16116	CAMPHO-PNEUMINE AMINOPHYLLINE ADULTES		90ml	Syrup	Cesar Chalhoub et Fils	Chalhoub Pharmaceuticals S.A.L. (Chapha)	Lebanon
4343	16115	CAMPHO-PNEUMINE AMINOPHYLLINE ENFANTS		90ml	Syrup	Cesar Chalhoub et Fils	Chalhoub Pharmaceuticals S.A.L. (Chapha)	Lebanon
4352	16114	CAMPHO-PNEUMINE BEBES		90ml	Syrup	Cesar Chalhoub et Fils	Chalhoub Pharmaceuticals S.A.L. (Chapha)	Lebanon
908	27641	CAPOTEN	25mg	30	Tablet	Abela Frères S.A.L.	Bristol-Myers Squibb	France
909	27642	CAPOTEN	50mg	28	Tablet	Abela Frères S.A.L.	E. R. Squibb & Sons Ltd	UK
6418	166540/11	CAPOTEN	25mg	30	Tablet	Abela Frères S.A.L.	Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon
6612	166618/11	CAPOTEN	50mg	30	Tablet	Abela Frères S.A.L.	Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon
910	27014	CAPOZIDE		28	Tablet	Abela Frères S.A.L.	Bristol-Myers Squibb	France
6751	166539/11	CAPOZIDE		30	Tablet	Abela Frères S.A.L.	Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon
4968	2526/94	CARBAMAZEPINE	200mg	50	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4969	2526/94	CARBAMAZEPINE	200mg	1000	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4970	27571/94	CARBAZIN	200mg	50	Tablet	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4878	973905/02	CARDATEN	50mg	30	Tablet	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
8020	185911/13	CARDEX PLUS	10/25mg	30	Tablet, film coated	Mectapharm S.A.L.	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia
8021	185909/13	CARDEX PLUS	5/12.5mg	30	Tablet, film coated	Mectapharm S.A.L.	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia
6011	24699/07	CARDILOL	6.25mg	30	Tablet	Hikma-Liban S.A.R.L.	Hikma Pharmaceuticals	Jordan
6015	24697/07	CARDILOL	12.5mg	30	Tablet	Hikma-Liban S.A.R.L.	Hikma Pharmaceuticals	Jordan
6016	24698/07	CARDILOL	25mg	30	Tablet	Hikma-Liban S.A.R.L.	Hikma Pharmaceuticals	Jordan
2253	236333	CARDIOXANE LYOPHILISAT POUR USAGE PARENTERAL	500mg	1	Flacon	Khalil Fattal & Fils S.A.L.	Thissen	Belgium
7247	96662/12	CARDOX	4mg	30	Tablet	Hikma-Liban S.A.R.L.	Hikma Pharmaceuticals	Jordan
7248	96661/12	CARDOX	1mg	30	Tablet	Hikma-Liban S.A.R.L.	Hikma Pharmaceuticals	Jordan
2131	78733/97	CARDULAR	1mg	20	Tablet	Mectapharm S.A.L.	Heinrich Mack Nachf- Pfizer	Germany
5755	23633/06	CARTEOL LP	2%	30 Single dose	Eye drops prolonged release	Pharmamedic S.A.R.L.	Chauvin	France
7549	185934/13	CASENLAX	4g	20 Sachets	Powder for oral solution	Bellapharma S.A.R.L.	Casen Recordati SL	Spain
2150	195009/04	CASODEX	50mg	28	Tablet	Omnipharma	AstraZeneca GmbH	Germany
2151	195008/04	CASODEX	150mg	28	Tablet, film coated	Omnipharma	AstraZeneca GmbH	Germany
4843	2887/94	CASTOR OIL	30g/100ml	100ml	Emulsion	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
2256	24214/79	CATARSTAT		10ml	Collyre	Spephal S.A.L.	Chauvin	France
7874	130514/1	CAVERJECT	20mcg	Powder for injection+diluent in a disposable syringe	Injectable	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Belgium NV 	Belgium
4854	78744/97	C-CA-VIT		20	Tablet, effervescent	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4855	974218/01	C-CA-VIT Sugar free		10	Tablet, effervescent	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
2257	22881/74	CEBEDEX		10ml	Collyre	Spephal S.A.L.	Chauvin	France
2258	22756/74	CEBEMYXINE		10ml	Collyre	Spephal S.A.L.	Chauvin	France
2259	22757/74	CEBEMYXINE		5g	Pommade ophtalmique	Spephal S.A.L.	Chauvin	France
500	428	CEBION	1g	10	Tablet, effervescent	Food & Drug Corporation FDC	E. Merck Darmstadt	Germany
1313	430	CEBION	100mg	30ml	Goutte	Food & Drug Corporation FDC	Merck KGaA	Germany
499	15800	CEBION CALCIUM		10	Tablet, effervescent	Food & Drug Corporation FDC	E. Merck Darmstadt	Germany
4279	236222/98	CECLOR	250mg/5ml	60ml	Powder for suspension	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
4280	78951/98	CECLOR	125mg/5ml	60ml	Powder for suspension	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
4281	236220/98	CECLOR MR	375mg 	10	Tablet, film coated, modified release	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
4282	78952/98	CECLOR MR	500mg	10	Tablet, film coated, modified release	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
4283	236221/98	CECLOR MR	750mg 	10	Tablet, film coated, modified release	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
7325	185840/13	CEDAX	180mg/5ml	60ml	Powder for oral suspension	Abela Frères S.A.L.	Merck Sharp & Dohme Corp	USA
7757	222940/14	CEDAX	400mg	10	Capsule	Abela Frères S.A.L.	Merck Sharp & Dohme Corp	USA
7758	222941/14	CEDAX	200mg	10	Capsule	Abela Frères S.A.L.	Merck Sharp & Dohme Corp	USA
4381	261339/97	CEDROXYL	500mg	12	Capsule	Pharmamedic S.A.R.L.	Mediphar Laboratories	Lebanon
4382	261323/97	CEDROXYL	250mg/5ml 	60ml	Powder for suspension	Pharmamedic S.A.R.L.	Mediphar Laboratories	Lebanon
2601	261349/97	CEFACET	250mg	12Sachets	Granules	Unipharm S.A.L.	Macors Distributeur: Norgine Pharma 	France
2635	236894/99	CEFACET	1g	6	Comprimé pelliculé sécable	Unipharm S.A.L.	Macors Distributeur: Norgine Pharma 	France
2636	236893/99	CEFACET	500mg	10	Comprimé pelliculé sécable	Unipharm S.A.L.	Macors Distributeur: Norgine Pharma 	France
4928	28554/93	CEFALIN	125mg/5ml	60ml	Suspension	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4929	28553/93	CEFALIN	250mg/5ml	60ml	Suspension	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
2261	C0341/91	CEFALOTINE INJ.	1g	25	Vial	Pharmacie Minapharm Halabi	Panpharma	France
2262	236441/98	CEFAMANDOLE POUDRE POUR USAGE PARENTERAL	750mg	1	Vial	Pharmacie Minapharm Halabi	Panpharma	France
5767	219491/10	CEFAZOLINE INJ.	1g	50 vial	Injection	Pharmacie Minapharm Halabi	Panpharma	France
4384	208841/03	CEF-DEX	100mg	10	Tablet	Pharmapro	Mediphar Laboratories	Lebanon
2838	26786	CEFIRAN INJ.	0.5g	1+1Amp Solv	Flacon	Mersaco	Pierrel	Italy
2839	26787	CEFIRAN INJ.	1g	1+1Amp Solv	Flacon	Mersaco	Pierrel	Italy
1125	26997	CEFIZOX	0.5g/IM	1 + 1Vial	Injectable	UPO S.A.L.	Al-Hikma Pharmaceuticals	Jordan
1126	26998	CEFIZOX	1g/IM	1 + 1Vial	Injectable	UPO S.A.L.	Al-Hikma Pharmaceuticals	Jordan
1127	27422	CEFIZOX	0.5g/IV	1Vial	Injectable	UPO S.A.L.	Al-Hikma Pharmaceuticals	Jordan
1128	27423	CEFIZOX	1g/IV	1Vial	Injectable	UPO S.A.L.	Hikma Pharmaceuticals under license of Astellas Pharma Inc Japan	Jordan
5749	221694/08	CEFORA	250mg	10	Tablet	Pharmadex	Pharmadex licensed by Orbucell pharma  Canada	Lebanon
5937	218561/10	CEFOTAXIME PANPHARMA	1g	50Vials	Poudre pour solution injectable IM/IV	Pharmacie Minapharm Halabi	Panpharma	France
2269	C0980/92	CEFRADINE INJ.	500mg	100	Vial	Pharmacie Minapharm Halabi	Panpharma	France
2270	D0980/92	CEFRADINE INJ.	1g	100	Vial	Pharmacie Minapharm Halabi	Panpharma	France
3467		CEFROM POWDER FOR IV IN	1g	5	Flacon	Codipha	Roussel	UK
5960	168025/10	CEFTAZIDIME NORMON	1g	1Vial + 1 ampoule	Injectable powder for solution + diluent	Droguerie Phenicia	Normon SA	Spain
492	405989/00	CEFTRIAXONE NORMON	1g	1	Injection	Droguerie Phenicia	Normon SA	Spain
493	405990/00	CEFTRIAXONE NORMON	2g	1	Injection	Droguerie Phenicia	Normon SA	Spain
3461	973447/01	CEFUTIL	250mg	10	Tablet	Picomed SARL	Pharma International Co	Jordan
3463	973449/01	CEFUTIL	500mg	10	Tablet	Picomed SARL	Pharma International Co	Jordan
1396	973889/02	CEFUZIME	250mg	10	Tablet	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates
925	208325/97	CEFZIL	250mg/5ml	50ml	O/S	Abela Frères S.A.L.	Bristol-Myers Barceloneta Inc	USA
926	208326/97	CEFZIL	125mg/5ml	50ml	O/S	Abela Frères S.A.L.	Bristol-Myers Barceloneta Inc	USA
927	208327/97	CEFZIL	250mg	10	Tablet	Abela Frères S.A.L.	Bristol-Myers Barceloneta Inc	USA
928	208328/97	CEFZIL	500mg	10	Tablet	Abela Frères S.A.L.	Bristol-Myers Barceloneta Inc	USA
6274	167607/10	CEFZIL	250mg	10	Tablet, coated	Abela Frères S.A.L.	Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon
6275	167610/10	CEFZIL	125mg/5ml	50ml	Oral suspension	Abela Frères S.A.L.	Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon
6276	167606/10	CEFZIL	500mg	10	Tablet, coated	Abela Frères S.A.L.	Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon
6277	167609/10	CEFZIL	250mg/5ml	50ml	Oral suspension	Abela Frères S.A.L.	Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon
1276		CEGROVIT		10	Tablet, effervescent	Pharmaceutica S.A.R.L.	Dr Grossmann	Switzerland
781	405508/00	CELEBREX	100mg	100	Capsule	Food & Drug Corporation FDC	Searle & Co - Distributor: Pfizer	USA
782	405507/00	CELEBREX	200mg	100	Capsule	Food & Drug Corporation FDC	Searle & Co - Distributor: Pfizer	USA
1297	148250/03	CELEBREX	100mg	20	Capsule	Food & Drug Corporation FDC	Pfizer Pharmaceutical LLC Puerto Rico	USA
1298	148249/03	CELEBREX	200mg	10	Capsule	Food & Drug Corporation FDC	Pfizer Pharmaceutical LLC Puerto Rico	USA
7200	187331/13	CELEBREX	200mg	30	Capsule	Food & Drug Corporation FDC	Pfizer Pharmaceutical LLC Puerto Rico	USA
2274	24221/79	CELESTONE	0.5mg	30	Tablet	Abela Frères S.A.L.	Schering-Plough Labo NV Co subsidiary of Schering-Plough Corporation, USA	Belgium
2275	24220/79	CELESTONE CHRONODOSE	6mg	1 x 1ml	Injectable	Abela Frères S.A.L.	Schering-Plough Labo NV Co subsidiary of Schering-Plough Corporation, USA	Belgium
8564	114915/1	CELESTONE CHRONODOSE	6mg	1 x 1ml	Injectable	Abela Frères S.A.L.	Schering Plough Labo NV	Belgium
3403	405987/00	CELLCEPT	500mg	150	Tablet	Omnipharma	F. Hoffmann La Roche Ltd	Switzerland
6973	24106/06	CELLGRAF 500	500mg	10	Tablet	Droguerie de l'Union	Cipla Ltd	India
1397	27600	CENTRUM		30	Tablet	Droguerie Mercury S.A.L.	Lederle Laboratories Division American Cyanamid Company	USA
1398	27601	CENTRUM		100	Tablet	Droguerie Mercury S.A.L.	Lederle Laboratories Division American Cyanamid Company	USA
1719	973328/01	CENTRUM MATERNA		30	Tablet	Droguerie Mercury S.A.L.	Wyeth Canada	Canada
1816	28584	CEPHADAR	250mg	20	Capsule	Sadco	Dar Al Dawa	Jordan
1817	28590	CEPHADAR  FORTE	500 mg	20	Capsule	Sadco	Dar Al Dawa	Jordan
4385	2162/94	CEPHALEXIN	250mg/5ml 	60ml	Granules for suspension	Droguerie Cedarspharm S.A.R.L.	Mediphar Laboratories	Lebanon
4386	2163/94	CEPHALEXIN	500mg	12	Capsule	Droguerie Cedarspharm S.A.R.L.	Mediphar Laboratories	Lebanon
5352	194945/05	CEPODEM	100mg/5ml	60ml	Suspension	Mediterranean Pharmaceutical Company	Ranbaxy Laboratories Ltd	India
2981	148196/03	CEPODEM 100 MG	100mg	6	Tablet	Mediterranean Pharmaceutical Company	Ranbaxy Laboratories Ltd	India
4096	194344/05	CEREBROLYSIN		10ampx1ml	solution for injection	Codipha	Ever Neuro Pharma GmbH 	Austria
1399	24010/79	CEREPAR		50	Tablet	Pharmamedic S.A.R.L.	Mepha Ltd	Switzerland
3973	194108/05	CEREZYME	200IU/Vial		Injection	Raymond Georges Abou Adal & Co	Genzyme Corporation	USA
6168	167500/10	CEREZYME	400Units/Vial	1Vial	Injection	Raymond Georges Abou Adal & Co	Genzyme Ltd	UK
1782	26642	CERUBIDINE	20mg	1Amp + 1Solv	Flacon	Mersaco	Bellon	France
8476	56815/1	CETRAFLUX	3mg/ml	20 single dose container	Eye drops solution	Spephal S.A.L.	Laboratorios SALVAT, SA	Spain
523	405529	CETROTIDE	3mg	1Vial	Vial pouder /Prefilled syringe solvent	Food & Drug Corporation FDC	Baxter Oncology GmbH	Germany
9986	17419/1	CHAMPIX	1mg	28	Tablet, film coated	Droguerie Fattal  S.A.L.	R-Pharm Germany GmbH	Germany
1661	28575	CHILDREN CHEWABLE MULTIPLE VITAMINE		60	Tablet	Pharmacie Minapharm Halabi	I.V.C American Vitamin Products F.O.N (Fields of Nature)	USA
1006	236250/98	CHILDREN'S CHEWABLE MULTIVITAMINS WITH IRON		100	Tablet	Droguerie Salud	Natural Wealth	USA
1964	405999/00	CHILDREN'S TYLENOL CHERRY FLAVOR		120ml	Suspension Liquid	Droguerie Columbus	Mcneil Consumer & Speciality Pharmaceuticals Division of Mcneil PPC Inc	USA
1965	406000/00	CHILDREN'S TYLENOL GRAPE FLAVOR		120ml	Suspension Liquid	Droguerie Columbus	Mcneil Consumer & Speciality Pharmaceuticals Division of Mcneil PPC Inc	USA
4483	74/95	CHLORAMPHENICOL	250mg	1000	Capsule	Mephico S.A.L.	Mephico SAL	Lebanon
6792	97838/11	CHLORHYDRATE DE METHADONE	60mg/15ml	Récipient unidose	Syrup	Codipha	Bouchara Recordati	France
6793	97837/11	CHLORHYDRATE DE METHADONE	40mg/15ml	Récipient unidose	Syrup	Codipha	Bouchara Recordati	France
6794	97836/11	CHLORHYDRATE DE METHADONE	20mg/15ml	Récipient unidose	Syrup	Codipha	Bouchara Recordati	France
6795	97835/11	CHLORHYDRATE DE METHADONE	10mg/7.5ml	Récipient unidose	Syrup	Codipha	Bouchara Recordati	France
6796	97834/11	CHLORHYDRATE DE METHADONE	5mg/3.75ml	Récipient unidose	Syrup	Codipha	Bouchara Recordati	France
5687	218189/09	CHLORHYDRATE DE PAPAVERINE RENAUDIN	40mg	10Ampoules x1ml	Sol inj	Pharmacie Minapharm Halabi	Renaudin 	France
4484	14065	CHLOROCYCLINE		16	Capsule	Mephico S.A.L.	Mephico SAL	Lebanon
286	MPB 2272/94	CHLORURE DE POTASSIUM PROAMP	0.0746g/ml	20 ampoules x  20ml	Solution a diluer pour perfusion	Droguerie Solupharm SAL	Aguettant	France
287	MPC 2272/94	CHLORURE DE POTASSIUM PROAMP	0.1g/ml	50 ampoules x 10ml	Solution a diluer pour perfusion	Droguerie Solupharm SAL	Aguettant	France
288	MPD 2272/94	CHLORURE DE POTASSIUM PROAMP	0.1g/ml	20 ampoules x 20ml		Droguerie Solupharm SAL	Aguettant	France
5645	218781/09	CHLORURE DE SODIUM	0.9%	50x20ml	Ampoule injectable	Pharmacie Minapharm Halabi	Renaudin 	France
2286	236216/98	CHLORURE DE SODIUM 20 pour cent (2g/10ml) Renaudin	20 pour cent (2g/10ml)	10Ampoule  x 10ml	Sol inj	Pharmacie Minapharm Halabi	Renaudin 	France
296	MPC 0276/95	CHLORURE DE SODIUM INJ.	0.9%	250ml	Flacon Verre	Droguerie Solupharm SAL	Aguettant	France
297	MPB 0276/95	CHLORURE DE SODIUM INJ.	0.9%	500ml	Flacon verre	Droguerie Solupharm SAL	Aguettant	France
298	MPA 0276/95	CHLORURE DE SODIUM INJ.	0.9%	1000ml	Flacon verre	Droguerie Solupharm SAL	Aguettant	France
290	MPA 2893/94	CHLORURE DE SODIUM PROAMP	0.9%	50 ampoules x 5ml	Solution injectable	Droguerie Solupharm SAL	Aguettant	France
293	MPD 2893/94	CHLORURE DE SODIUM PROAMP	0.1g/ml (10%)	50 ampoules x 10ml	Solution a diluer pour perfusion	Droguerie Solupharm SAL	Aguettant	France
294	MPE 2893/94	CHLORURE DE SODIUM PROAMP	0.1g/ml (10%)	20 ampoules x 20ml	Solution a diluer pour perfusion	Droguerie Solupharm SAL	Aguettant	France
295	MPE 2893/94	CHLORURE DE SODIUM PROAMP 	0.2g/ml (20%)	20 ampoules x 20ml	Solution a diluer pour perfusion	Droguerie Solupharm SAL	Aguettant	France
769	261094/97	CHORIOMON	5,000IU	3x3	Injection	Alisar Pharma Corp	IBSA	Switzerland
2502	19384	CHORULON	500UI	5x5ml	Injection	No Agent	Intervet International BV	The Netherlands
2505	19386	CHORULON	1.500UI	5x5ml	Injection	No Agent	Intervet International BV	The Netherlands
2506	19387	CHORULON	5.000UI	5x5ml	Injection	No Agent	Intervet International BV	The Netherlands
709	14227	CICATRIN		15g	Cream	Abela Frères S.A.L.	The Wellcome Foundation Ltd	UK
710	14228	CICATRIN		15g	Powder	Abela Frères S.A.L.	The Wellcome Foundation Ltd	UK
3644	23744/78	CIDOMYCINE ADULTE	40mg/ml	25 x 2ml	Vial inj	Mersaco	Roussel	UK
3656	26204	CIDOMYCINE EYE/EAR		8ml	Drops	Mersaco	Roussel	UK
3647	23745/78	CIDOMYCINE PAEDIATRIC		5x2ml	Vial inj	Mersaco	Roussel	UK
1910	405689/00	CILEST		21	Tablet	Mersaco	Cilag AG	Switzerland
1915	01445/72	CILOPRINE CUM ANESTHETICO		12g	Gouttes	Mersaco	Cilag AG	Switzerland
4825	27511/93	CIMEDIN	200mg	32	Tablet	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4826	27512/93	CIMEDIN	400mg	24	Tablet	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4821	2518/94	CIMETIDINE	200mg	30	Tablet, coated	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4822	2518/94	CIMETIDINE	200mg	1000	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
4823	2515/94	CIMETIDINE	400mg	20	Tablet, scored	Pharmaline S.A.L.	Pharmaline SAL	Lebanon
