MoPHCode	Form	Scored
10306	Injectable, powder, for solution CHOOSE with diluent	
10307	Injectable, powder, for solution CHOOSE with diluent	
10308	Injectable, powder, for solution CHOOSE with diluent	
10309	Injectable, powder, for solution CHOOSE with diluent	
8315	Injectable, powder, for solution CHOOSE with diluent	
8983	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
8984	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
8985	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
5539	Injectable, powder, for solution CHOOSE with diluent	
5540	Injectable, powder, for solution CHOOSE with diluent	
5541	Injectable, powder, for solution CHOOSE with diluent	
9762	Injectable, powder, for solution CHOOSE with diluent	
10083	Injectable, powder, for solution CHOOSE with diluent	
1263	Injectable, solution	
3603	Tablet	
9808	Capsule	
7521	Injectable, powder, for solution	
8789	Tablet, film coated	
8790	Tablet, film coated	
9902	Injectable, solution	
9903	Injectable, solution	
9904	Injectable, solution	
9905	Injectable, solution	
3831	Tablet	
5342	Suspension	
9481	Tablet, film coated	
5295	Drops, solution	
7777	Capsule	
6867	Syrup	
7882	Capsule	
10620	Syrup	
10621	Syrup	
6724	Drops, solution	
5046	Syrup	
1121	Injectable, solution	
5210	Injectable, solution	
6239	Injectable, solution	
7023	Injectable, solution	
7974	Injectable, solution	
8728	Injectable, solution	
8729	Injectable, solution	
10178	Injectable, solution	
10224	Injectable, solution	
5113	Capsule	
8656	Tablet, film coated	
9154	Tablet, chewable	
1870	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
6657	Tablet, film coated	
7752	Capsule	
9155	Syrup	
9156	Drops, solution	
9106	Tablet, film coated	
3712	Syrup	
1864	Tablet, coated	
10440	Injectable, solution	
10624	Injectable, solution	
10941	Injectable, solution	
6824	Injectable, solution	
9536	Injectable, emulsion	
4440	Tablet CHOOSE scored	YES
6658	Tablet	
8141	Tablet	
8278	Tablet	
1095	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
1096	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
1433	Injectable, solution	
1434	Injectable, solution	
6211	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
6368	Injectable, solution	
6370	Injectable, solution	
6372	Injectable, solution	
6442	Injectable, solution	
6791	Injectable, solution	
9830	Injectable, solution	
10470	Injectable, solution	
10471	Injectable, solution	
10472	Injectable, solution	
10473	Injectable, solution	
10774	Injectable, solution	
10775	Injectable, solution	
10934	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
10935	Injectable, lyophilised / freeze-dried / dry powder, for solution CHOOSE with diluent	
7373	Injectable, solution	
7374	Injectable, solution	
7375	Injectable, solution	
7376	Injectable, solution	
7377	Injectable, solution	
7378	Injectable, solution	
7379	Injectable, solution	
7381	Injectable, solution	
7383	Injectable, solution	
7211	Injectable, solution	
7212	Injectable, solution	
9378	Injectable, solution	
3267	Injectable, solution	
3487	Injectable, solution	
3488	Injectable, solution	
3489	Injectable, solution	
3604	Injectable, solution	
4048	Injectable, solution	
5567	Injectable, solution	
8428	Injectable, solution	
8989	Injectable, solution	
9604	Injectable, solution	
9780	Injectable, solution	
2662	Injectable, solution	
2610	Injectable, emulsion	
3413	Injectable, emulsion	
2473	Injectable, solution	
6831	Injectable, solution	
8409	Injectable, solution	
1192	Injectable, emulsion	
1193	Injectable, emulsion	
6830	Injectable, emulsion	
6833	Injectable, emulsion	
9275	Injectable, emulsion	
3351	Injectable, emulsion	
3353	Injectable, emulsion	
7125	Injectable, emulsion	
7126	Injectable, emulsion	
7127	Injectable, emulsion	
7129	Injectable, emulsion	
7130	Injectable, emulsion	
7131	Injectable, emulsion	
7132	Injectable, emulsion	
8075	Injectable, emulsion	
8076	Injectable, emulsion	
4166	Injectable, solution	
4167	Injectable, solution	
4169	Injectable, solution	
4181	Injectable, solution	
4182	Injectable, solution	
4184	Injectable, solution	
4774	Injectable, solution	
4775	Injectable, solution	
4776	Injectable, solution	
4784	Injectable, solution	
4785	Injectable, solution	
4786	Injectable, solution	
9198	Injectable, solution	
9376	Injectable, solution	
9377	Injectable, solution	
9584	Injectable, solution	
9585	Injectable, solution	
9588	Injectable, solution	
9714	Injectable, solution	
9715	Injectable, solution	
9784	Injectable, solution	
9897	Injectable, solution	
9997	Injectable, solution	
10129	Injectable, solution	
10130	Injectable, solution	
4133	Injectable, solution	
4134	Injectable, solution	
4136	Injectable, solution	
4138	Injectable, solution	
4142	Injectable, solution	
4144	Injectable, solution	
4147	Injectable, solution	
4149	Injectable, solution	
4151	Injectable, solution	
4153	Injectable, solution	
4155	Injectable, solution	
4157	Injectable, solution	
4159	Injectable, solution	
4163	Injectable, solution	
4165	Injectable, solution	
4174	Injectable, solution	
4754	Injectable, solution	
4755	Injectable, solution	
4756	Injectable, solution	
4764	Injectable, solution	
4765	Injectable, solution	
4766	Injectable, solution	
4767	Injectable, solution	
4769	Injectable, solution	
4770	Injectable, solution	
4772	Injectable, solution	
4773	Injectable, solution	
4777	Injectable, solution	
4778	Injectable, solution	
9370	Injectable, solution	
9371	Injectable, solution	
9372	Injectable, solution	
9373	Injectable, solution	
9483	Injectable, solution	
9484	Injectable, solution	
9562	Injectable, solution	
9563	Injectable, solution	
9710	Injectable, solution	
9711	Injectable, solution	
9712	Injectable, solution	
9713	Injectable, solution	
10076	Injectable, solution	
10077	Injectable, solution	
10078	Injectable, solution	
10131	Injectable, solution	
10611	Injectable, solution	
10612	Injectable, solution	
10613	Injectable, solution	
4177	Injectable, solution	
4179	Injectable, solution	
4187	Injectable, solution	
4189	Injectable, solution	
4780	Injectable, solution	
4781	Injectable, solution	
4782	Injectable, solution	
4783	Injectable, solution	
9555	Injectable, solution	
9587	Injectable, solution	
9785	Injectable, solution	
9883	Injectable, solution	
10936	Injectable, solution	
2595	Injectable, solution	
2596	Injectable, solution	
4110	Injectable, solution	
4111	Injectable, solution	
4112	Injectable, solution	
4113	Injectable, solution	
4114	Injectable, solution	
4115	Injectable, solution	
4117	Injectable, solution	
4119	Injectable, solution	
4122	Injectable, solution	
4124	Injectable, solution	
4126	Injectable, solution	
4128	Injectable, solution	
4130	Injectable, solution	
4747	Injectable, solution	
4748	Injectable, solution	
4749	Injectable, solution	
4750	Injectable, solution	
4751	Injectable, solution	
4752	Injectable, solution	
4753	Injectable, solution	
4779	Injectable, solution	
4790	Injectable, solution	
4801	Injectable, solution	
4808	Injectable, solution	
4809	Injectable, solution	
4810	Injectable, solution	
5198	Injectable, solution	
9379	Injectable, solution	
9558	Injectable, solution	
9559	Injectable, solution	
9586	Injectable, solution	
9708	Injectable, solution	
9772	Injectable, solution	
9773	Injectable, solution	
9790	Injectable, solution	
9791	Injectable, solution	
9792	Injectable, solution	
9793	Injectable, solution	
9954	Injectable, solution	
9955	Injectable, solution	
9956	Injectable, solution	
9957	Injectable, solution	
9958	Injectable, solution	
9959	Injectable, solution	
9998	Injectable, solution	
9999	Injectable, solution	
10566	Injectable, solution	
10567	Injectable, solution	
10568	Injectable, solution	
10569	Injectable, solution	
10614	Injectable, solution	
10615	Injectable, solution	
10616	Injectable, solution	
4191	Injectable, solution	
4192	Injectable, solution	
5186	Injectable, solution	
5187	Injectable, solution	
5188	Injectable, solution	
5189	Injectable, solution	
5190	Injectable, solution	
5191	Injectable, solution	
3599	Injectable, solution	
3600	Injectable, solution	
2417	Injectable, solution	
2418	Injectable, solution	
2419	Injectable, solution	
2420	Injectable, solution	
2421	Injectable, solution	
2423	Injectable, solution	
2426	Injectable, solution	
3597	Injectable, solution	
3598	Injectable, solution	
7122	Injectable, solution	
9861	Injectable, solution	
9862	Injectable, solution	
9863	Injectable, solution	
9864	Injectable, solution	
9865	Injectable, solution	
9866	Injectable, solution	
9867	Injectable, solution	
9868	Injectable, solution	
9869	Injectable, solution	
6695	Injectable, concentrate, for solution	
285	Injectable, concentrate, for solution	
2282	Injectable, solution	
2283	Injectable, solution	
2284	Injectable, solution	
4196	Injectable, solution	
4197	Injectable, solution	
4198	Injectable, solution	
4199	Injectable, solution	
4200	Injectable, solution	
2219	Injectable, concentrate, for solution	
2220	Injectable, concentrate, for solution	
4201	Injectable, solution	
4202	Injectable, solution	
4203	Injectable, solution	
291	Injectable, solution	
292	Injectable, solution	
2285	Injectable, solution	
2287	Injectable, solution	
4204	Injectable, solution	
4205	Injectable, solution	
4206	Injectable, solution	
4207	Injectable, solution	
4208	Injectable, solution	
4209	Injectable, solution	
4211	Injectable, solution	
4212	Injectable, solution	
4215	Injectable, solution	
4217	Injectable, solution	
4219	Injectable, solution	
4221	Injectable, solution	
4223	Injectable, solution	
4224	Injectable, solution	
4225	Injectable, solution	
4787	Injectable, solution	
4788	Injectable, solution	
4789	Injectable, solution	
4792	Injectable, solution	
4793	Injectable, solution	
4794	Injectable, solution	
4795	Injectable, solution	
4796	Injectable, solution	
4857	Injectable, solution	
9189	Injectable, solution	
9190	Injectable, solution	
9374	Injectable, solution	
9375	Injectable, solution	
9380	Injectable, solution	
9556	Injectable, solution	
9557	Injectable, solution	
9560	Injectable, solution	
9561	Injectable, solution	
9564	Injectable, solution	
9565	Injectable, solution	
9709	Injectable, solution	
9774	Injectable, solution	
9775	Injectable, solution	
9786	Injectable, solution	
9787	Injectable, solution	
9788	Injectable, solution	
9789	Injectable, solution	
9881	Injectable, solution	
9882	Injectable, solution	
9892	Injectable, solution	
9893	Injectable, solution	
9894	Injectable, solution	
9895	Injectable, solution	
9896	Injectable, solution	
10570	Injectable, solution	
10571	Injectable, solution	
10572	Injectable, solution	
10573	Injectable, solution	
10574	Injectable, solution	
10575	Injectable, solution	
2771	Injectable, solution	
3504	Injectable, solution	
4175	Injectable, solution	
4176	Injectable, solution	
8758	Injectable, solution	
4103	Injectable, solution	
8230	Injectable, solution	
8826	Injectable, solution	
10707	Injectable, concentrate, for solution	
3922	Injectable, concentrate, for solution	
4105	Injectable, solution	
4106	Injectable, solution	
4107	Injectable, solution	
4108	Injectable, solution	
4109	Injectable, solution	
4800	Injectable, solution	
4802	Injectable, solution	
4803	Injectable, solution	
4804	Injectable, solution	
4805	Injectable, solution	
4806	Injectable, solution	
4858	Injectable, solution	
4859	Injectable, solution	
4860	Injectable, solution	
10626	Injectable, solution	
10344	Injectable, concentrate, for solution	
7507	Elixir	
7508	Tablet	
8559	Injectable, solution	
5283	Tablet, film coated	
5284	Tablet, film coated	
2222	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
9472	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
10815	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
10816	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
2975	Tablet CHOOSE scored	YES
2976	Injectable, concentrate, for solution	
3121	Tablet CHOOSE scored	YES
8368	Injectable, concentrate, for solution	
10826	Injectable, concentrate, for solution	
2871	Injectable, solution	
5213	Injectable, solution	
8590	Injectable, solution	
9366	Injectable, solution	
10114	Injectable, solution	
2640	Injectable, concentrate, for solution	
3546	Injectable, concentrate, for solution	
8566	Injectable, solution	
7787	Injectable, solution	
8906	Injectable, solution	
11026	Injectable, solution	
3532	Injectable, concentrate, for solution	
2096	Injectable, solution	
2097	Injectable, solution	
7809	Injectable, solution	
8963	Injectable, solution	
8964	Injectable, solution	
11025	Injectable, solution	
272	Injectable, solution	
2279	Injectable, solution	
9214	Injectable, solution	
8529	Injectable, concentrate, for solution	
6862	Injectable, concentrate, for solution	
6599	Patch	
8325	Patch	
8326	Patch	
8421	Injectable, solution	
9921	Injectable, concentrate, for solution	
10976	Injectable, concentrate, for solution	
993	Tablet	
4605	Tablet	
3714	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
3715	Tablet	
5420	Tablet CHOOSE scored	YES
5422	Tablet	
7626	Tablet CHOOSE scored	YES
8373	Tablet CHOOSE scored	YES
9462	Tablet CHOOSE scored	YES
9463	Tablet CHOOSE scored	YES
9464	Tablet	
8669	Tablet CHOOSE scored	YES
8670	Tablet CHOOSE scored	YES
9023	Tablet	
9024	Tablet CHOOSE scored	YES
10264	Tablet CHOOSE scored	YES
10265	Tablet CHOOSE scored	YES
449	Injectable, concentrate, for solution	
9836	Injectable, solution	
3838	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
5385	Tablet, film coated	
5386	Tablet, film coated	
10693	Tablet, film coated CHOOSE scored	YES
10694	Tablet, film coated CHOOSE scored	YES
8103	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
8104	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
8105	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
8924	Tablet	
4304	Tablet, coated	
4314	Tablet, coated	
10763	Tablet, film coated	
10764	Tablet, film coated	
10765	Tablet, film coated	
7049	Tablet	
7199	Tablet	
7258	Tablet	
8176	Injectable, solution	
5492	Tablet, film coated	
5493	Tablet, film coated	
8842	Tablet	
8843	Tablet	
9468	Tablet, film coated	
9469	Tablet, film coated	
10713	Tablet, film coated	
10714	Tablet, film coated	
8898	Tablet, film coated	
8002	Tablet, film coated	
8003	Tablet, film coated	
8004	Tablet, film coated	
8005	Tablet, film coated	
8006	Tablet, film coated	
4468	Tablet	
4497	Tablet	
4508	Tablet	
2548	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
9224	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
988	Tablet CHOOSE scored	YES
1664	Tablet CHOOSE scored	YES
2573	Injectable, solution	
4738	Tablet CHOOSE scored	YES
5313	Injectable, solution	
5427	Tablet	
5429	Tablet	
8145	Injectable, solution	
8224	Injectable, solution	
8249	Injectable, solution	
9133	Injectable, solution	
9552	Injectable, solution	
10791	Tablet	
10877	Tablet	
10878	Tablet	
10186	Tablet	
10204	Tablet	
8794	Tablet	
10396	Tablet	
7087	Tablet, coated	
7088	Tablet, coated	
9025	Tablet, coated	
9026	Tablet, coated	
9067	Tablet, coated	
9068	Tablet, coated	
9898	Tablet, coated	
9899	Tablet, coated	
4267	Tablet	
5439	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
5440	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
5739	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
573	Tablet, film coated	
6441	Capsule	
8973	Cream	
7703	Cream	
9781	Suppository	
10297	Suppository	
10298	Ointment	
8596	Ointment	
8597	Suppository	
9120	Ointment	
10236	Gel	
10425	Suppository	
10248	Suppository	
2638	Cream	
2639	Gel	
1169	Gel	
5569	Gel	
9346	Injectable, solution	
9347	Injectable, solution	
9348	Injectable, solution	
8157	Capsule	
8158	Capsule	
3427	Tablet, film coated	
6927	Tablet	
5878	Capsule	
9608	Gel	
2361	Tablet, film coated	
8290	Tablet, film coated	
9438	Tablet, film coated	
8886	Capsule	
3195	Drops, solution	
3196	Tablet, film coated	
4284	Tablet	
8031	Tablet, film coated	
10158	Tablet, sugar coated	
10968	Tablet, coated	
10969	Tablet, coated	
1001	Tablet CHOOSE scored	YES
1002	Tablet CHOOSE scored	YES
1651	Tablet, film coated	
1652	Tablet, film coated	
4874	Tablet	
4875	Tablet	
10132	Tablet CHOOSE scored	YES
10177	Tablet CHOOSE scored	YES
6516	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
7573	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
480	Tablet	
481	Tablet	
978	Tablet	
1610	Tablet	
4249	Tablet	
4260	Tablet	
9925	Tablet, film coated	
9926	Tablet, film coated	
10970	Tablet, coated	
10971	Tablet, coated	
3027	Tablet, film coated CHOOSE scored	YES
11045	Tablet, film coated CHOOSE scored	YES
4078	Tablet, film coated	
4079	Tablet, film coated	
4693	Tablet, film coated	
4694	Tablet, film coated	
4695	Tablet, film coated	
5039	Tablet, film coated	
5041	Tablet, film coated	
5181	Tablet, film coated	
5192	Tablet, film coated	
5506	Tablet	
5507	Tablet	
5951	Tablet	
5957	Tablet, film coated	
6308	Tablet, coated	
6309	Tablet, coated	
7838	Tablet, film coated	
8767	Tablet, film coated	
8768	Tablet, film coated	
3686	Tablet CHOOSE scored	YES
10778	Tablet	
10973	Tablet CHOOSE scored	YES
11030	Tablet	
9901	Injectable, solution	
9465	Tablet, film coated CHOOSE scored	YES
9466	Tablet, film coated CHOOSE scored	YES
9467	Tablet, film coated CHOOSE scored	YES
9853	Tablet CHOOSE scored	YES
9968	Tablet CHOOSE scored	YES
1606	Tablet	
4268	Tablet	
4269	Tablet	
4696	Tablet, film coated	
4697	Tablet, film coated	
5397	Tablet, film coated	
6553	Tablet, film coated	
6715	Tablet	
8769	Tablet, film coated	
10437	Tablet, film coated	
6338	Tablet, film coated	
6339	Tablet, film coated	
4321	Tablet	
5516	Tablet, film coated	
5518	Tablet, film coated	
1858	Capsule	
3531	Capsule	
5074	Tablet	
5266	Capsule	
5585	Capsule	
5586	Capsule	
5695	Capsule	
6407	Tablet	
6471	Tablet	
7243	Tablet	
7273	Capsule	
7274	Capsule	
7330	Tablet	
7331	Tablet	
7347	Tablet	
7570	Tablet	
7746	Tablet	
8570	Tablet	
10779	Tablet CHOOSE scored	YES
10780	Tablet	
10835	Injectable, solution	
6681	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
6682	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
7167	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
10773	Syrup	
2688	Tablet, film coated	
3717	Tablet CHOOSE scored	YES
4311	Tablet, film coated CHOOSE scored	YES
4312	Tablet, film coated CHOOSE scored	YES
5285	Tablet, film coated	
5286	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
10278	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
10279	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
2968	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
2969	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
3045	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
3055	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
3094	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
3631	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
3692	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
4250	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
4251	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
4252	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
4253	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
4254	Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
8364	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release	
3819	Tablet CHOOSE scored	YES
3820	Tablet CHOOSE scored	YES
4275	Tablet CHOOSE scored	YES
4276	Tablet CHOOSE scored	YES
4277	Tablet CHOOSE scored	YES
4578	Tablet CHOOSE scored	YES
5171	Tablet	
5173	Tablet	
6714	Tablet CHOOSE scored	YES
321	Tablet	
322	Tablet	
1642	Tablet	
1643	Tablet	
1644	Tablet	
5229	Tablet, film coated	
5236	Tablet, film coated	
4263	Capsule	
4264	Capsule	
4265	Capsule	
4266	Capsule	
5396	Tablet	
5404	Tablet	
5405	Tablet	
5669	Capsule	
5670	Capsule	
6340	Capsule	
6480	Tablet	
6481	Tablet	
7171	Tablet	
7172	Tablet	
7244	Tablet	
7710	Tablet	
7711	Tablet	
7712	Tablet	
10883	Tablet	
10884	Tablet	
10885	Tablet	
5282	Capsule	
9850	Tablet, film coated	
4278	Tablet CHOOSE scored	YES
1641	Tablet	
3530	Tablet	
5615	Tablet, film coated	
5616	Tablet, film coated	
6262	Tablet, film coated	
5576	Tablet	
5577	Tablet	
7547	Tablet, film coated	
5729	Tablet, film coated	
5730	Tablet, film coated	
5880	Tablet	
5881	Tablet	
5882	Tablet	
5883	Tablet	
6836	Tablet	
10139	Capsule, hard	
10140	Capsule, hard	
10141	Capsule, hard	
10142	Capsule, hard	
8130	Tablet, film coated	
8131	Tablet, film coated	
8132	Tablet, film coated	
8133	Tablet, film coated	
9678	Tablet, film coated CHOOSE scored	YES
9679	Tablet, film coated CHOOSE scored	YES
4745	Tablet	
5244	Tablet	
5329	Tablet, film coated	
6845	Tablet	
6846	Tablet	
7173	Tablet, film coated	
10943	Tablet, coated CHOOSE scored	YES
10944	Tablet, coated	
6477	Tablet	
6855	Tablet	
7045	Tablet, film coated	
7046	Tablet, film coated	
7063	Tablet, film coated	
7064	Tablet, film coated	
7065	Tablet, film coated	
7889	Tablet, film coated	
7890	Tablet, film coated	
7891	Tablet, film coated	
7934	Tablet, film coated	
7972	Tablet, film coated	
8815	Tablet, film coated	
8816	Tablet, film coated	
6222	Tablet, film coated	
6223	Tablet, film coated	
7333	Tablet, film coated	
7337	Tablet, film coated	
7338	Tablet, film coated	
7389	Tablet, film coated	
7390	Tablet, film coated	
7603	Tablet, film coated	
7675	Tablet, film coated	
9070	Tablet	
9071	Tablet	
9265	Tablet, film coated	
9266	Tablet, film coated	
9294	Tablet	
9295	Tablet	
10586	Tablet, film coated	
10587	Tablet, film coated	
10871	Tablet, film coated	
10872	Tablet, film coated	
1381	Tablet	
1382	Tablet	
3388	Tablet	
3392	Tablet	
6822	Tablet	
6823	Tablet	
10109	Tablet CHOOSE scored	YES
10110	Tablet CHOOSE scored	YES
10111	Tablet CHOOSE scored	YES
2265	Tablet	
2308	Tablet	
5077	Tablet	
5078	Tablet	
9589	Tablet	
6576	Tablet, film coated	
6577	Tablet, film coated	
6578	Tablet, film coated	
6764	Tablet, film coated	
6765	Tablet, film coated	
6766	Tablet, film coated	
9794	Tablet, film coated	
9795	Tablet, film coated	
9796	Tablet, film coated	
7841	Tablet	
7842	Tablet	
9567	Tablet	
9568	Tablet	
4645	Tablet	
5475	Tablet	
6847	Tablet	
6848	Tablet	
6849	Tablet, film coated	
7082	Tablet, film coated	
7174	Tablet, film coated	
9286	Tablet, film coated	
9287	Tablet, film coated	
10945	Tablet, coated	
10946	Tablet, coated	
6478	Tablet	
6572	Tablet, film coated	
6573	Tablet, film coated	
6574	Tablet, film coated	
6854	Tablet	
7892	Tablet, film coated	
7893	Tablet, film coated	
7894	Tablet, film coated	
7895	Tablet, film coated	
7896	Tablet, film coated	
7935	Tablet, film coated	
7936	Tablet, film coated	
8353	Tablet, film coated	
8354	Tablet, film coated	
8357	Tablet, film coated	
8817	Tablet, film coated	
8818	Tablet, film coated	
8819	Tablet, film coated	
6224	Tablet, film coated	
6225	Tablet, film coated	
7386	Tablet, film coated	
7387	Tablet, film coated	
7388	Tablet, film coated	
7604	Tablet, film coated	
7674	Tablet, film coated	
7676	Tablet, film coated	
8512	Tablet, film coated	
8513	Tablet, film coated	
8514	Tablet, film coated	
9267	Tablet, film coated	
9268	Tablet, film coated	
9349	Tablet, film coated	
10528	Tablet, film coated	
10529	Tablet, film coated	
10588	Tablet, film coated	
10589	Tablet, film coated	
10590	Tablet, film coated	
10873	Tablet, film coated	
10874	Tablet, film coated	
3385	Tablet	
6017	Tablet	
6018	Tablet	
10112	Tablet	
10113	Tablet	
2326	Tablet	
5812	Tablet	
7411	Tablet, film coated	
7412	Tablet, film coated	
7413	Tablet, film coated	
7414	Tablet, film coated	
9964	Tablet, film coated	
9965	Tablet, film coated	
9966	Tablet, film coated	
9967	Tablet, film coated	
7843	Tablet	
7844	Tablet	
9803	Tablet	
9804	Tablet	
7311	Tablet, film coated	
7314	Tablet, film coated	
8032	Caplet, film coated	
8033	Tablet, film coated	
8584	Tablet, film coated	
9363	Tablet, film coated	
9364	Tablet, film coated	
9801	Tablet, film coated	
10223	Tablet, film coated	
10349	Tablet, film coated	
10350	Tablet, film coated	
7408	Tablet, film coated	
7409	Tablet, film coated	
7410	Tablet, film coated	
9961	Tablet, film coated	
9962	Tablet, film coated	
9963	Tablet, film coated	
6461	Tablet	
6462	Tablet	
7479	Tablet, film coated	
7481	Tablet, film coated	
7482	Tablet, film coated	
6817	Tablet	
6818	Tablet	
10245	Capsule, hard	
10246	Capsule, hard	
10247	Capsule, hard	
7226	Tablet	
7227	Tablet	
8232	Tablet, film coated	
8233	Tablet, film coated	
8234	Tablet, film coated	
8235	Tablet, film coated	
7762	Tablet, film coated	
7763	Tablet, film coated	
7764	Tablet, film coated	
7765	Tablet, film coated	
7766	Tablet, film coated	
8447	Tablet, film coated	
8448	Tablet, film coated	
8449	Tablet, film coated	
3898	Tablet, film coated	
3899	Tablet, film coated	
3900	Tablet, film coated	
4371	Tablet CHOOSE scored	YES
4372	Tablet CHOOSE scored	YES
4373	Tablet CHOOSE scored	YES
4674	Tablet	
4675	Tablet	
4676	Tablet CHOOSE scored	YES
6727	Tablet	
6728	Tablet	
6729	Tablet	
7169	Tablet, film coated	
7170	Tablet, film coated	
3571	Tablet	
3579	Tablet	
4338	Tablet CHOOSE scored	YES
4339	Tablet CHOOSE scored	YES
4340	Tablet CHOOSE scored	YES
9005	Tablet CHOOSE scored	YES
9006	Tablet CHOOSE scored	YES
3563	Tablet, film coated	
3564	Tablet, film coated	
3894	Tablet, coated	
3895	Tablet, coated	
4718	Tablet, film coated	
4719	Tablet, film coated	
4720	Tablet, film coated	
5075	Tablet, film coated	
5076	Tablet, film coated	
5224	Tablet	
5225	Tablet	
5226	Tablet CHOOSE scored	YES
5267	Tablet	
5268	Tablet	
5269	Tablet	
5486	Tablet, film coated	
5487	Tablet, film coated	
5587	Tablet, film coated	
5588	Tablet, film coated	
5863	Tablet, film coated	
5989	Tablet, coated	
6092	Tablet	
6093	Tablet	
6094	Tablet	
6130	Tablet, film coated	
6131	Tablet, film coated	
6132	Tablet, film coated	
6188	Tablet, film coated	
6354	Tablet, film coated	
6355	Tablet, film coated	
6356	Tablet, film coated	
7017	Tablet, film coated	
7018	Tablet, film coated	
7042	Tablet, film coated	
7043	Tablet, film coated	
7044	Tablet, film coated	
7115	Tablet, film coated	
7116	Tablet, film coated	
7177	Caplet, film coated	
7490	Tablet, film coated	
7525	Caplet, film coated	
7526	Caplet, film coated	
7569	Tablet, film coated	
8307	Tablet, film coated	
8485	Tablet, film coated	
8486	Tablet, film coated	
8509	Tablet, film coated	
8510	Tablet, film coated	
8660	Tablet	
9199	Tablet, film coated	
9200	Tablet, film coated	
9234	Tablet, coated	
10174	Tablet, film coated	
10175	Tablet, film coated	
10484	Tablet, coated	
10576	Tablet, film coated	
10577	Tablet, film coated	
10578	Tablet, film coated	
10579	Tablet, film coated	
1711	Tablet, film coated	
1712	Tablet, film coated	
1713	Tablet, film coated	
3990	Tablet, film coated	
4094	Tablet, film coated	
5484	Tablet, film coated	
5485	Tablet, film coated	
5565	Tablet	
5761	Tablet, film coated	
6301	Tablet, film coated	
6302	Tablet, film coated	
6303	Tablet, film coated	
6342	Tablet, film coated	
6343	Tablet, film coated	
7037	Tablet, coated	
7038	Tablet, coated	
7384	Tablet	
7496	Tablet	
7497	Tablet	
7498	Tablet	
7724	Tablet, film coated	
7767	Tablet, film coated	
7768	Tablet, film coated	
7769	Tablet, film coated	
7861	Tablet, film coated	
7862	Tablet, film coated	
8118	Tablet, film coated	
8119	Tablet, film coated	
8462	Tablet	
9609	Tablet, film coated	
9610	Tablet, film coated	
6100	Tablet, film coated	
6101	Tablet, film coated	
9745	Tablet	
10357	Tablet	
5376	Tablet, film coated	
6409	Tablet, film coated	
8403	Tablet, film coated	
3367	Capsule, microionized	
5811	Tablet, film coated	
5856	Capsule	
7184	Capsule	
7727	Tablet	
