MoPHCode	RegistrationNumber	DrugName	Presentation	Form	Agent	Manufacturer	Country	PublicPrice	Stratum
10687	189319/1	BORCADE	1 vial	lyophilised powder for injection	Benta Trading Co s.a.l.	Manufactured by MSN Laboratories Private Ltd, India for Benta SAL	Lebanon	11020381	D
9477	146117/1	BORTEZOMIB ACCORD	1Vial	Powder for solution for injection	Mediterranean Pharmaceutical Company	Accord Healthcare Limited	UK	13007658	C
11619	110122/1	BORTEZOMIB GP PHARM	1Vial	Powder for solution for injection	Mediterranean Pharmaceutical Company	GP-Pharm, SA	Argentine	13007658	C
10598	87420/1	BORTEZOMIB NEAPOLIS	box of 1Vial of 10ml	Lyophilized powder for solution for injection	Medis Pharm Drugstore	Neapolis Pharma	Tunisia	14169600	D
11269	177320/1	BORTEZOMIB SPC	1Vial	Powder for solution for injection	Advanced Healthcare Services SAL	Pharmaline SAL Licensed by Sudair Pharma Company, KSA	Lebanon	15743401	D
9468	179517/1	BOSENTAN ARROW	56	Tablet, film coated	Darapharma S.A.L.	APL Swift Services (Malta) Limited	Malta	51483159	E1
9469	179417/1	BOSENTAN ARROW	56	Tablet, film coated	Darapharma S.A.L.	APL Swift Services (Malta) Limited	Malta	51483159	E1
9910	60519/1	BOSULIF	28	Tablet, film coated	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Deutschland GmbH 	Germany	35663747	D
9911	60619/1	BOSULIF	28	Tablet, film coated	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Deutschland GmbH 	Germany	123564667	E2
9912	60719/1	BOSULIF	28	Tablet, film coated	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Deutschland GmbH 	Germany	154453246	E2
363	405431/00	BOTOX	1Vial	Powder for solution for injection	Mersaco	Allergan Pharmaceuticals (Ireland)	Ireland	18625995	D
11440	137822/1	BOTOX	1Vial	Powder for solution for injection	Mersaco	Allergan Pharmaceuticals (Ireland)	Ireland	18625995	D
12243	173618/1	BRADIREM	56	Tablet, film coated	Droguerie Columbus	Remedica Ltd 	Cyprus	1134203	A2
12244	173518/1	BRADIREM	56	Tablet, film coated	Droguerie Columbus	Remedica Ltd 	Cyprus	1134203	A2
12251	108622/1	BRAFTOVI	28	Capsule, hard	Food & Drug Corporation FDC	Catalent Pharma Solutions, LLC	USA	70084833	E1
12252	108722/1	BRAFTOVI	42	Capsule, hard	Food & Drug Corporation FDC	Catalent Pharma Solutions, LLC	USA	149227143	E2
11714	79620/1	BRAVIGO	56	Tablet, film coated	Nobel Pharm Plus SARL	Genepharm SA	Greece	1237679	A2
11715	79520/1	BRAVIGO	56	Tablet, film coated	Nobel Pharm Plus SARL	Genepharm SA	Greece	1237679	A2
1177	135268	BREXIN	20	Tablet	Sadco	Fine Foods & Pharmaceuticals N.T.M., SpA	Italy	971598	A2
11554	52622/1	BREZTRI AEROSPHERE	1inhaler 120actuations Dessicated flow path (DFP)	Pressurised inhalation suspension	Omnipharma	AstraZeneca Dunkerque Production	France	6705774	B
8155	22615/1	BRIDION	10vialsx2ml	Injectable solution	Droguerie de l'Union	N.V. Organon	The Netherlands	54230830	E1
6517	166754/11	BRILINTA	56	Tablet, film coated	Omnipharma	AstraZeneca AB	Sweden	5544694	B
7153	166968/11	BRIMO 	5ml	Ophtalmic solution	The Lebanese Pharmacists SAL	Jamjoum Pharmaceuticals	Saudi Arabia	658483	A1
8750	185839/13	BRIMOGAN	5ml	Eye Drops Solution	Pharmamedic S.A.R.L.	Cooper SA Pharmaceuticals	Greece	483783	A1
11073	115122/1	BRIMONIDINE BIOGARAN	Flacon de 5ml	Collyre en solution	Commercial and Trading Ressources SAL (CTR)	UAB Santonika	Lithuania	412560	A1
10826	71420/1	BRINAVESS	1Vial	Concentrate for solution for infusion	Droguerie de l'Union	Siegfried Hameln GmbH	Germany	41821582	E1
7996	137714/1	BRINTELLIX	28	Tablet, film coated	Sadco	H. Lundbeck AS	Denmark	6927508	B
7997	137614/1	BRINTELLIX	28	Tablet, film coated	Sadco	H. Lundbeck AS	Denmark	4345987	B
7998	137514/1	BRINTELLIX	28	Tablet, film coated	Sadco	H. Lundbeck AS	Denmark	2592272	B
9846	5119/1	BRIVIACT	56	Tablet, film coated	Sadco	UCB Pharma SA, Chemin Du Foriest	Belgium	9627931	C
9847	5219/1	BRIVIACT	56	Tablet, film coated	Sadco	UCB Pharma SA, Chemin Du Foriest	Belgium	9627931	C
9848	5219/1	BRIVIACT	300ml	Solution	Sadco	Unither Manufacturing LLC	USA	10314804	C
10947	51622/1	BROMAZEPAM BIOGARAN	30	Comprimés quadrsécables	Commercial and Trading Ressources SAL (CTR)	Les Laboratoires Servier Industrie	France	180075	A1
10138	147119/1	BROMEX	120ml	Elixir	Medapharm Healthcare SAL	Mediphar Laboratories	Lebanon	250851	A1
4380	2231/94	BROMHEXINE	90ml	Elixir	Droguerie Cedarspharm S.A.R.L.	Mediphar Laboratories	Lebanon	176619	A1
1655	973395/01	BRONCHOPHANE	125ml	Syrup	United SAL	Eipico	Egypt	115570	A1
6467	96221/11	BRONCHO-VAXOM ADULTS	30	Capsule	UPO S.A.L.	OM Pharma SA	Switzerland	2746814	B
6466	96222/11	BRONCHO-VAXOM CHILDREN	30	Capsule	UPO S.A.L.	OM Pharma SA	Switzerland	1988887	B
5948	218588/10	BROT	30	Tablet, film coated	New Allpharma	Medochemie Ltd	Cyprus	327898	A1
7328	185998/13	BRUFEN	100ml	Syrup	Mersaco	Abbvie SRL	Italy	364181	A1
5734	219572/09	BRUFEN	30	Tablet, film coated	Mersaco	Pharmaline Licensed by Abbott laboratories Ltd, UK	Lebanon	342384	A1
5735	219579/09	BRUFEN	30	Tablet, film coated	Mersaco	Pharmaline Licensed by Abbott laboratories Ltd, UK	Lebanon	423121	A1
5135	208862/03	BRUMIXOL	6	Ovules vaginales	Soins et Santé	Bruschettini SRL	Italy	795555	A2
6674	097668/11	BRUNISTILL	20 unidose  of 0.5ml	eye drops solution	Pharmamedic S.A.R.L.	Pharma Stulln GmbH	Germany	940690	A2
8726	45416/1	BRUXICAM	1 Bottle of 10ml	Eye Drops solution	Pharmamedic S.A.R.L.	Bruschettini SRL	Italy	530818	A1
6217	221174/08	BUDECORT	20	Respules	Droguerie de l'Union	Cipla Ltd	India	1226928	A2
6158	222434/08	BUDECORT 200	200 Metered doses	Inhaler (CFC free)	Droguerie de l'Union	Cipla Ltd	India	808993	A2
10162	104319/1	BUDENA	200puffs (10ml)	Pressurised inhalation suspension	Mediterranean Pharmaceutical Company	Laboratorio Aldo-Union SL	Spain	823775	A2
12215	6125/1	BUDENA	200puffs (10ml)	Pressurised inhalation suspension	Mediterranean Pharmaceutical Company	Laboratorio Aldo-Union SL	Spain	1065667	A2
7160	96731/12	BUDENOFALK	100	Capsule	Meksapharma SARL	Dr Falk Pharma GmbH	Germany	8554692	C
8782	141316/1	BUDESONIDE ARROW	Récipient unidose x20	Suspension pour inhalation par nébuliseur	Darapharma S.A.L.	Arrow Génériques	France	1342499	A2
8800	172516/1	BUDESONIDE ARROW	Récipient unidose x20	Suspension pour inhalation par nébuliseur	Darapharma S.A.L.	Arrow Génériques	France	1342499	A2
9238	98317/1	BUDESONIDE ARROW	Récipient unidose x20	Suspension pour inhalation par nébuliseur	Darapharma S.A.L.	Laboratoire Unither	France	1342499	A2
9239	98217/1	BUDESONIDE ARROW	Récipient unidose x20	Suspension pour inhalation par nébuliseur	Darapharma S.A.L.	Laboratoire Unither	France	1342499	A2
11184	99620/1	BUFOMIX EASYHALER	120doses	Inhalation powder	UPO S.A.L.	Orion Corporation Orion Pharma	Finland	2365163	B
11185	99720/1	BUFOMIX EASYHALER	60doses	Inhalation powder	UPO S.A.L.	Orion Corporation Orion Pharma	Finland	1182581	A2
11186	99520/1	BUFOMIX EASYHALER	60doses	Inhalation powder	UPO S.A.L.	Orion Corporation Orion Pharma	Finland	2365163	B
11406	6422/1	BUPENSAN	7	Sublingual Tablet	Bellapharma S.A.R.L.	GL Pharma GmbH	Austria	1259180	A2
4021	24496/06	BUPIVACAINE AGUETTANT 2.5MG/ML 	10vialsx20ml	solution for injection	Pharmamed	Aguettant	France	2736063	B
4022	24497/06	BUPIVACAINE AGUETTANT 5MG/ML	10vialsx20ml	solution for injection	Pharmamed	Aguettant	France	3078743	B
10755	50021/1	BUPIVACAINE AGUETTANT for spinal anaesthesia	5ampoules x4ml	solution for injection	Pharmamed	Cenexi-Fontenay Sous Bois	France	1554826	B
11120	181920/1	BUPIVACAINE HEAVY PANPHARMA	10Ampoules	Solution for injection	Minapharm Halabi	Panpharma GmbH	Germany	2586897	B
5688	218890/09	BUPRENORPHINE ARROW	7	Tablet, sublingual	Minapharm Halabi	Ethypharm	France	1115389	A2
5689	218892/09	BUPRENORPHINE ARROW	7	Tablet, sublingual	Minapharm Halabi	Ethypharm	France	563070	A1
10186	132719/1	BURINEX	20	Tablet	UPO S.A.L.	Allphamed Pharbil Arzneimittel GmbH	Germany	335961	A1
10204	182019/1	BURINEX	20	Tablet	UPO S.A.L.	Allphamed Pharbil Arzneimittel GmbH	Germany	1054916	A2
9501	43118/1	BUSCOPAN	50	Tablet, sugar coated	Mersaco	Delpharm Reims	France	692079	A1
9502	43018/1	BUSCOPAN 	20	Tablet, sugar coated	Mersaco	Delpharm Reims	France	291614	A1
1383	208332/02	BUTALIN	120ml	Syrup, sugar free	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	122290	A1
1384	208296/03	BUTALIN	200 metered doses	Inhaler (CFC free)	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	145135	A1
9019	108816/1	BUTO-ASMA	200 doses	Inhaler	Mediterranean Pharmaceutical Company	Laboratorio Aldo-Union SL	Spain	237860	A1
6474	168224/10	BUTOSOL	10ml	Aerosol	Mediterranean Pharmaceutical Company	Laboratorio Aldo-Union SL	Spain	548288	A1
10716	58921/1	BUVIDAL	1Prefilled syringe	Prolonged release solution for injection	Mersaco	Rechon Life Science AB	Sweden	8524771	C
10717	59021/1	BUVIDAL	1Prefilled syringe	Prolonged release solution for injection	Mersaco	Rechon Life Science AB	Sweden	8524771	C
10718	59121/1	BUVIDAL	1Prefilled syringe	Prolonged release solution for injection	Mersaco	Rechon Life Science AB	Sweden	8524771	C
10719	59221/1	BUVIDAL	1Prefilled syringe	Prolonged release solution for injection	Mersaco	Rechon Life Science AB	Sweden	8524771	C
10720	59321/1	BUVIDAL	1Prefilled syringe	Prolonged release solution for injection	Mersaco	Rechon Life Science AB	Sweden	34835645	D
10721	59421/1	BUVIDAL	1Prefilled syringe	Prolonged release solution for injection	Mersaco	Rechon Life Science AB	Sweden	34835645	D
10722	59521/1	BUVIDAL	1Prefilled syringe	Prolonged release solution for injection	Mersaco	Rechon Life Science AB	Sweden	34835645	D
11899	67824/1	BYANNLI	1prefilled syringe + 1needle	Prolonged release suspension for IM injection	Mersaco	Janssen Pharmaceutica NV	Belgium	141224257	E2
11900	67724/1	BYANNLI	1prefilled syringe + 1needle	Prolonged release suspension for IM injection	Mersaco	Janssen Pharmaceutica NV	Belgium	96913176	E2
10672	60621/1	CABAZITAXEL EVER PHARMA	Box of 1Vial of 6ml	Concentrate for solution for infusion	Codipha	Ever Pharma Jena GmbH 	Germany	56690955	E1
9629	70718/1	CABOMETYX	30	Tablet, film coated	Droguerie de l'Union	Tjoapack Netherlands BV	The Netherlands	440893501	E2
9630	70818/1	CABOMETYX	30	Tablet, film coated	Droguerie de l'Union	Tjoapack Netherlands BV	The Netherlands	440893501	E2
9631	70918/1	CABOMETYX	30	Tablet, film coated	Droguerie de l'Union	Tjoapack Netherlands BV	The Netherlands	440893501	E2
11020	40122/1	CAELYX	1Vial x 10ml	concentrate for infusion	Abela Frères S.A.L.	Baxter Oncology GmbH, Halle	Germany	34821487	D
4481	22448	CALAMINE PLUS	120ml	Lotion	Mephico S.A.L.	Mephico SAL	Lebanon	177899	A1
4103	2803/94	CALCIUM CHLORIDE	100 x 10ml	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	5436771	
4104	2836/94	CALCIUM GLUCONATE	10 x 10ml	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	763056	
11983	83824/1	CALCIUM GLUCONATE	100 x 10ml	Injectable solution	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	6867500	
7735	45814/1	CALCIUM GLUCONATE S.A.L.F	5Ampoules x 10ml	IV Solution for injection	New Europharm	SALFSpA Laboratorio Farmacologico	Italy	389714	A1
1161	135391	CALCIUM RESONIUM	300g	Powder	Mersaco	Sanofi Winthrop Industrie	France	2053391	B
8503	172515/1	CALCIUMFOLINAT EBEWE	1Vial	Solution for injection	Khalil Fattal & Fils S.A.L.	Salutas Pharma GmbH	Germany	1289872	A2
1385	14247	CAL-C-VITA EFFERVESCENT	15	Tablet	New Nouvelle Pharm Drugstore	Delpharm Gaillard	France	494534	A1
7221	185810/13	CALIVIDA	200ml bottle	Oral solution	Raymond Georges Abou Adal & Co	Medana Pharma SA, Sieradz- Poland for Arwan Pharmaceutical Industries Lebanon	Lebanon	1158264	A2
7222	185811/13	CALIVIDA	28	Tablet, film coated	Raymond Georges Abou Adal & Co	Adamed Pharma S.A. Ksawerow, Poland  for Arwan Pharmaceutical Industries Lebanon SAL 	Lebanon	447948	A1
2248	78728/97	CALPEROS	60	Tablet	Droguerie de l'Union	Bouchara Recordati	France	630262	A1
2249	78727/97	CALPEROS D3 A SUCER	60	Tablet	Droguerie de l'Union	Bouchara Recordati	France	667890	A1
10917	110620/1	CALQUENCE	60	Tablet, film coated	Omnipharma	AstraZeneca AB	Sweden	650653454	E2
10895	65421/1	CALTRATE 600	60	Tablet	Sadco	Pf Consumer Healthcare Canada ULC	Canada	618168	A1
4576	19273	CAL-VIT	100ml	Syrup	Pharmadex	Pharmadex	Lebanon	163821	A1
4577	19264	CAL-VIT	30	Tablet	Pharmadex	Pharmadex	Lebanon	142063	A1
11329	130922/1	CAL-VIT	1000	Tablet	Pharmadex	Pharmadex	Lebanon	4025128	B
4351	20606	CAMPHO-PNEUMINE AMINOPHYLLINE ADULTES	8	Suppository	Pharmamedic S.A.R.L.	Chaoul Pharmaceuticals (Cha-Pha) SAL	Lebanon	326362	A1
11357	19423/1	CAMPHO-PNEUMINE AMINOPHYLLINE ADULTES	12	Suppository	Pharmamedic S.A.R.L.	Chaoul Pharmaceuticals (Cha-Pha) SAL	Lebanon	490183	A1
4350	20607	CAMPHO-PNEUMINE AMINOPHYLLINE ENFANTS	8	Suppository	Pharmamedic S.A.R.L.	Chaoul Pharmaceuticals (Cha-Pha) SAL	Lebanon	284127	A1
11359	19523/1	CAMPHO-PNEUMINE AMINOPHYLLINE ENFANTS	12	Suppository	Pharmamedic S.A.R.L.	Chaoul Pharmaceuticals (Cha-Pha) SAL	Lebanon	426190	A1
7235	221853/08	CANAGYN	6	Vaginal Tablets	Atrissi SARL	Jordan River Pharmaceutical Industries LLC	Jordan	229797	A1
10852	185518/1	CANAGYN	1	Vaginal tablet	Atrissi SARL	Jordan River Pharmaceutical Industries LLC	Jordan	302365	A1
6965	96393/11	CANCIDAS	1Vial	Powder for concentrate for solution for infusion	Droguerie de l'Union	Fareva Mirabel	France	31611335	D
6966	96392/11	CANCIDAS	1Vial	Powder for concentrate for solution for infusion	Droguerie de l'Union	Fareva Mirabel	France	25799521	D
10245	135119/1	CANDAM	30	Capsule, hard	Algenericon Med	Adamed Pharma S.A.	Poland	1376095	A2
10246	135019/1	CANDAM	30	Capsule, hard	Algenericon Med	Adamed Pharma S.A.	Poland	1376095	A2
10247	134919/1	CANDAM	30	Capsule, hard	Algenericon Med	Adamed Pharma S.A.	Poland	1376095	A2
10112	83418/1	CANDESARTAN / HYDROCHLOROTHIAZIDE BIOGARAN	30	Comprimés	Commercial and Trading Ressources SAL (CTR)	Bluepharma Industria Farmaceutica SA	Portugal	327898	A1
10113	83318/1	CANDESARTAN / HYDROCHLOROTHIAZIDE BIOGARAN	30	Comprimés	Commercial and Trading Ressources SAL (CTR)	Bluepharma Industria Farmaceutica SA	Portugal	327898	A1
10109	83218/1	CANDESARTAN BIOGARAN	30	Comprimés sécables	Commercial and Trading Ressources SAL (CTR)	Bluepharma Industria Farmaceutica SA	Portugal	434061	A1
10110	83118/1	CANDESARTAN BIOGARAN	30	Comprimés sécables	Commercial and Trading Ressources SAL (CTR)	Bluepharma Industria Farmaceutica SA	Portugal	434061	A1
10111	83018/1	CANDESARTAN BIOGARAN	30	Comprimés sécables	Commercial and Trading Ressources SAL (CTR)	Bluepharma Industria Farmaceutica SA	Portugal	434061	A1
11313	67222/1	CANDIGARD	1Vial	Powder for concentrate for solution for infusion	Abela Frères S.A.L.	Hikma Italia SpA	Italy	22127179	D
11314	67322/1	CANDIGARD	1Vial	Powder for concentrate for solution for infusion	Abela Frères S.A.L.	Hikma Italia SpA	Italy	22127179	D
8613	185815/13	CANDIZOL	2	Capsule	Pharmamedic S.A.R.L.	Mediphar Laboratories	Lebanon	385235	A1
7729	78214/1	CANESTEN	20ml	Solution	New Nouvelle Pharm Drugstore	Kvp Pharma+ Veterinar Produkte GmbH	Germany	368213	A1
7869	108014/1	CANESTEN	20g	Cream	New Nouvelle Pharm Drugstore	GP Grenzach Produktions GmbH	Germany	344024	A1
8098	154814/1	CANESTEN 	6	Vaginal Tablets	New Nouvelle Pharm Drugstore	GP Grenzach Produktions GmbH	Germany	408528	A1
5187	24726/07	CAPD/DPCA 17Solution for peritoneal dialysis sleep safe	5000ml		Fresenius Medical Care Lebanon	Fresenius medical Care  Deutschland	Germany	744140	A2
5186	24725/07	CAPD/DPCA 17Solution for peritoneal dialysis stay safe	2000ml		Fresenius Medical Care Lebanon	Fresenius medical Care  Deutschland	Germany	629916	A1
5189	24693/07	CAPD/DPCA 19Solution for peritoneal dialysis sleep safe	5000ml		Fresenius Medical Care Lebanon	Fresenius medical Care  Deutschland	Germany	744140	A2
5188	24724/07	CAPD/DPCA 19Solution for peritoneal dialysis stay safe	2000ml		Fresenius Medical Care Lebanon	Fresenius medical Care  Deutschland	Germany	769337	A2
5190	24691/07	CAPD/DPCA 2Solution for peritoneal dialysis stay safe	2000ml		Fresenius Medical Care Lebanon	Fresenius medical Care  Deutschland	Germany	735741	A2
5191	24692/07	CAPD/DPCA 3Solution for peritoneal dialysis	2000ml		Fresenius Medical Care Lebanon	Fresenius medical Care  Deutschland	Germany	769337	A2
8479	133715/1	CAPECITABINE ACCORD	120	Tablet, film coated	Mediterranean Pharmaceutical Company	Accord Healthcare Limited	UK	10908012	C
9326	112917/1	CAPECITABINE BIOGARAN	120	Comprimés pelliculés	Commercial and Trading Ressources SAL (CTR)	Remedica Ltd 	Cyprus	12123049	C
11620	112722/1	CAPECITABINE GP PHARM	120	Tablet, film coated	Mediterranean Pharmaceutical Company	GP-Pharm, SA	Argentine	8869508	C
11152	124521/1	CAPECITABINE NEAPOLIS	120	Tablet, film coated	Medis Pharm Drugstore	Neapolis Pharma	Tunisia	11222829	C
11266	8121/1	CAPECITABINE SPC	120	Tablet, film coated	Advanced Healthcare Services SAL	Pharmaline SAL Licensed by Sudair Pharma Company, KSA	Lebanon	12665771	C
11267	6321/1	CAPECITABINE SPC	60	Tablet, film coated	Advanced Healthcare Services SAL	Pharmaline SAL Licensed by Sudair Pharma Company, KSA	Lebanon	4094240	B
5766	218753/09	CAPEDA	60	Tablet, film coated	Benta Trading Co s.a.l.	Benta SAL	Lebanon	4927423	B
4275	78968/98	CAPTACE	30	Tablet, scored	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	486343	A1
4276	78969/98	CAPTACE	30	Tablet, scored	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	652724	A1
4278	78966/98	CAPTACE PLUS	30	Tablet, scored	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	1028487	B
10294	36320/1	CAPTAIN	30	Capsule, soft gelatin	Raymond Georges Abou Adal & Co	Phil Interpharma Co. Ltd., Vietnam for Arwan Pharmaceutical Industries Lebanon	Lebanon	383955	A1
10295	42420/1	CAPTAIN	1glass bottle of 110ml	Oral suspension	Raymond Georges Abou Adal & Co	Lifepharma Fze, United Arab Emirates for Arwan Pharmaceutical Industries Lebanon	Lebanon	335321	A1
11450	133721/1	CAPTAIN FORTE	20	Lqui soft gel capsules	Raymond Georges Abou Adal & Co	Phil Interpharma Co. Ltd., Vietnam for Arwan Pharmaceutical Industries Lebanon	Lebanon	508740	A1
4578	46	CAPTOPRIL	1000	Tablet, scored	Pharmadex	Pharmadex	Lebanon	4453878	B
6714	167735/11	CAPTOPRIL	30	Tablet, scored	Pharmadex	Pharmadex	Lebanon	355798	A1
10749	98720/1	CARBETOCINA GP-PHARM	5Prefilled syringes	Injectable solution	Mediterranean Pharmaceutical Company	GP-Pharm, SA	Spain	9041227	C
6405	218692/10	CARBOPLATIN VIANEX	1 vial	Injectable solution for infusion	Droguerie Solupharm SAL	Vianex SA- Plant C	Greece	1277994	A2
2250	78977	CARBOPLATINE EBEWE	1 x 15ml	Vial	Khalil Fattal & Fils S.A.L.	Fareva Unterach GmbH	Austria	2691717	B
6469	219212/09	CARBOPLATINE VIATRIS 10MG/ML	1 Vial x 15ml	Injectable solution for IV infusion	Benta Trading Co s.a.l.	Benta SAL under license from Viatris Santé, France	Lebanon	2981283	B
6903	97958/12	CARBOPLATINE VIATRIS 10MG/ML	1Vial x 5ml	Injectable solution for IV infusion	Benta Trading Co s.a.l.	Benta SAL under license from Viatris Santé, France	Lebanon	941930	A2
2251	236347	CARBOSYLANE	60	Gélule	Pharmamedic S.A.R.L.	Grimberg	France	585915	A1
9836	165116/1	CARDESINE	1Vial	Solution for IV injection	Bellapharma S.A.R.L.	MS Pharma	Jordan	563070	A1
6309	24676/07	CARDIOSAFE 10	30	Tablet, coated	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan	610104	A1
6308	23639/06	CARDIOSAFE 5	30	Tablet, coated	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan	330585	A1
8924	129615/1	CARDIOVITEX	30	Tablet	PMD (Pharmacist's medical drugstore)	Vitex Pharmaceuticals PTY Ltd	Australia	2822069	B
7258	185912/13	CARDULAR	20	Tablet	Mectapharm S.A.L.	Pfizer Manufacturing Deutschland GmbH 	Germany	755239	A2
12135	142523/1	CARIBAN	24	Capsule, hard, modified release	Droguerie Phenicia	Italfarmaco SpA	Italy	1701305	B
10788	144720/1	CARLEVO	100	Tablet	Pharmaline S.A.L.	Pharmaline SAL	Lebanon	2431715	B
10789	144820/1	CARLEVO	20	Tablet	Pharmaline S.A.L.	Pharmaline SAL	Lebanon	796067	A2
11226	92420/1	CARMETADIN	60	modified release film coated tablet	Multipharm	World Medicine Ilac San. ve Tic. AS	Turkey	631606	A1
11921	98422/1	CARPLATU		Solution for IV infusion	Germanos Health Care Supplies SARL	Onko Ilac Sanayi Ve Tic AS	Turkey	1277994	A2
9465	162117/1	CARVEDILOL ARROW	28	Tablet, film coated, scored	Darapharma S.A.L.	APL Swift Services (Malta) Limited	Malta	364181	A1
9466	162217/1	CARVEDILOL ARROW	28	Tablet, film coated, scored	Darapharma S.A.L.	APL Swift Services (Malta) Limited	Malta	425998	A1
9467	162017/1	CARVEDILOL ARROW	28	Tablet, film coated, scored	Darapharma S.A.L.	APL Swift Services (Malta) Limited	Malta	364181	A1
11511	92121/1	CASODEX	28	Tablet, film coated	Omnipharma	Corden Pharma GmbH	Germany	3777541	B
11512	92321/1	CASODEX	28	Tablet	Omnipharma	Corden Pharma GmbH	Germany	10863782	C
11296	157222/1	CASPOFUNGINE STRAGEN	1Flacon	Poudre pour solution à diluer pour perfusion	Karout pharmacy	Pharmathen SA	Greece	18712833	D
11297	11718/1	CASPOFUNGINE STRAGEN	1Flacon	Poudre pour solution à diluer pour perfusion	Karout pharmacy	Pharmathen SA	Greece	22928852	D
11647	138623	CATAFLAM	20	Tablet, sugar coated	Khalil Fattal & Fils S.A.L.	Novartis Urunleri, Istanbul	Turkey	262049	A1
10855	16318/1	CEBROTONIN	30	Tablet, film coated	Levant Alie Houses S.A.L.	Artesan Pharma GmbH & Co. KG	Germany	577852	A1
6529	166827/11	CECLOR	60ml	Powder for suspension	Droguerie de l'Union	Pharmaline Licensed by Phadisco Ltd, Cyprus	Lebanon	851100	A2
6530	166826/11	CECLOR	60ml	Powder for suspension	Droguerie de l'Union	Pharmaline Licensed by Phadisco Ltd, Cyprus	Lebanon	487623	A1
6604	166829/11	CECLOR MR	10	Tablet, film coated, modified release	Droguerie de l'Union	Pharmaline Licensed by Phadisco Ltd, Cyprus	Lebanon	1555018	B
6605	166828/11	CECLOR MR	10	Tablet, film coated, modified release	Droguerie de l'Union	Pharmaline Licensed by Phadisco Ltd, Cyprus	Lebanon	1226096	A2
1658	405929/00	CEFADRIL	12	Capsule	Premium Serve Drugstore Co. P.S.D. SAL	RAM Pharmaceutical Industries Co Ltd	Jordan	450187	A1
1659	405927/00	CEFADRIL	60ml	Suspension	Premium Serve Drugstore Co. P.S.D. SAL	RAM Pharmaceutical Industries Co Ltd	Jordan	268769	A1
11583	66822/1	CEFAXONE	4ml	Powder for IM injection +amp of solvent	PMD (Pharmacist's medical drugstore)	Unimed Laboratories	Tunisia	403153	A1
11835	69724/1	CEFAXONE IM/IV	10Vials (without solvent)	Powder for injectable preparation	PMD (Pharmacist's medical drugstore)	Unimed Laboratories	Tunisia	3628375	B
11836	69524/1	CEFAXONE IV	1Vial (with solvent dist. water)	Powder for injectable preparation	PMD (Pharmacist's medical drugstore)	Unimed Laboratories	Tunisia	403153	A1
11843	32124/1	CEFAZOL IM/IV	25Vials	Powder for injection	PMD (Pharmacist's medical drugstore)	Unimed Laboratories	Tunisia	5375370	B
2263	B0341/91	CEFAZOLIN PANPHARMA	25	Vial	Minapharm Halabi	Panpharma	France	5521849	B
3943	195255/04	CEFAZOLINA	Box of 100Vials	IV	Medi drug International SAL (MDI)	Laboratorio Reig Jofre SA	Spain	18574396	D
11860	77122/1	CEFDIA	5	Tablet, film coated	BroadMed SAL	Nobel Ilac San. Ve Tic AS	Turkey	806306	A2
11318	147422/2	CEFEPIME LDP LABORATORIOS TORLAN	10Vials	Injectable powder for solution IM/IV	Minapharm Halabi	LDP Laboratorios Torlan, SA	Spain	5933065	B
8090	9415/1	CEFEPIME PANPHARMA	10Vials	Injectable powder for solution IM/IV	Minapharm Halabi	LDP Laboratorios Torlan, SA	Spain	5933065	B
5277	222419/08	CEFIPEX 1000 BENTA	1vial+ 10ml water for injection	IM/IV	Benta Trading Co s.a.l.	Benta SAL	Lebanon	703918	A1
5659	219730/09	CEFIPEX 1000 BENTA	1vial	IM,IV	Benta Trading Co s.a.l.	Benta SAL	Lebanon	703918	A1
5658	219729/09	CEFIPEX 500 BENTA	1vial	IM,IV	Benta Trading Co s.a.l.	Benta SAL	Lebanon	545216	A1
753	148316/03	CEFIX	30ml	Suspension	Picomed SARL	Pharma International Co	Jordan	349399	A1
754	148317/03	CEFIX	60ml	Suspension	Picomed SARL	Pharma International Co	Jordan	700142	A1
6853	219210/09	CEFIX	5	Capsule	Picomed SARL	Pharma International Co	Jordan	791523	A2
6512	221349/08	CEFIXIME NEOCEF	120ml	Oral suspension	Pharmamedic S.A.R.L.	Laboratorios Atral SA	Portugal	692079	A1
8876	67616/1	CEFIZOX	1Vial	Injectable	Abela Frères S.A.L.	Hikma Farmaceutica under license of Astellas Pharma Inc. Japan	Portugal	788836	A2
9916	104916/1	CEFLOXINE	1Bag	Solution for IV intravenous infusion	Bellapharma S.A.R.L.	MS Pharma	Jordan	1134203	A2
