Code	SystemChar	Anesthetic	Name	LOS	FirstSurgeon	FirstAnesthetist	FirstConsultant	FirstHospital1	FirstHospital2	FirstHospital3	FirstCategory1	FirstCategory2	FirstCategory3	SecondSurgeon	SecondAnesthetist	SecondHospital1	SecondHospital2	SecondHospital3	SecondCategory1	SecondCategory2	SecondCategory3
M0680G	M	G	Removal of implant: deep (eg, buried wire, pin, screw, metal band ,rod, nail or plate)	1	13,500,000	6,300,000	4,500,000	34,100,000	30,690,000	27,280,000	58,400,000	54,990,000	51,580,000	8,100,000	3,780,000	20,460,000	18,414,000	16,368,000	32,340,000	30,294,000	28,248,000
M2326G	M	G	Open treatment of vertebral fracture and/or dislocation: cervical, thoracic or lumbar, each	5	54,000,000	17,100,000	4,500,000	121,500,000	109,350,000	97,200,000	197,100,000	184,950,000	172,800,000	32,400,000	10,260,000	72,900,000	65,610,000	58,320,000	115,560,000	108,270,000	100,980,000
M2842G1	M	G1	Spinal instrumentation, posterior: segmental fixation (eg, pedicle fixation, dual rods with multiple hooks and sublaminal wires). One level, 4 scews.	5	63,000,000	20,700,000	4,500,000	121,500,000	109,350,000	97,200,000	209,700,000	197,550,000	185,400,000	37,800,000	12,420,000	72,900,000	65,610,000	58,320,000	123,120,000	115,830,000	108,540,000
M3330G	M	G	Removal of foreign body, shoulder: subcutaneous	1	9,000,000	5,850,000	4,500,000	22,000,000	19,800,000	17,600,000	41,350,000	39,150,000	36,950,000	5,400,000	3,510,000	13,200,000	11,880,000	10,560,000	22,110,000	20,790,000	19,470,000
M3331G	M	G	Removal of foreign body, shoulder: deep (eg, Neer prosthesis removal)	1	18,000,000	6,750,000	4,500,000	29,000,000	26,100,000	23,200,000	58,250,000	55,350,000	52,450,000	10,800,000	4,050,000	17,400,000	15,660,000	13,920,000	32,250,000	30,510,000	28,770,000
M3515G	M	G	Open treatment of clavicular fracture, with or without internal or external skeletal fixation	1	18,000,000	6,750,000	4,500,000	44,100,000	39,690,000	35,280,000	73,350,000	68,940,000	64,530,000	10,800,000	4,050,000	26,460,000	23,814,000	21,168,000	41,310,000	38,664,000	36,018,000
M3615G	M	G	Open treatment of proximal humeral (surgical or anatomical neck) fracture, with or without internal or external fixation, with or without repair of tuberosity(ies)	2	24,750,000	8,100,000	4,500,000	91,700,000	82,530,000	73,360,000	129,050,000	119,880,000	110,710,000	14,850,000	4,860,000	55,020,000	49,518,000	44,016,000	74,730,000	69,228,000	63,726,000
M3650G	M	G	Closed treatment of shoulder dislocation, with manipulation	1	9,000,000	5,850,000	4,500,000	31,500,000	28,350,000	25,200,000	50,850,000	47,700,000	44,550,000	5,400,000	3,510,000	18,900,000	17,010,000	15,120,000	27,810,000	25,920,000	24,030,000
M4200W	M	W	Removal of foreign body, upper arm or elbow area: subcutaneous	1	6,750,000	0	4,500,000	17,000,000	15,300,000	13,600,000	28,250,000	26,550,000	24,850,000	4,050,000	0	10,200,000	9,180,000	8,160,000	14,250,000	13,230,000	12,210,000
M4201G	M	G	Removal of foreign body, upper arm or elbow area: deep	1	15,750,000	6,300,000	4,500,000	29,000,000	26,100,000	23,200,000	55,550,000	52,650,000	49,750,000	9,450,000	3,780,000	17,400,000	15,660,000	13,920,000	30,630,000	28,890,000	27,150,000
M4516G	M	G	Open treatment of humeral shaft fracture, with insertion of intramedullary implant, with or without cerclage and/or locking screws	2	31,500,000	10,800,000	4,500,000	91,700,000	82,530,000	73,360,000	138,500,000	129,330,000	120,160,000	18,900,000	6,480,000	55,020,000	49,518,000	44,016,000	80,400,000	74,898,000	69,396,000
M4545G	M	G	Open treatment of humeral supracondylar or transcondylar fracture, with or without internal or external fixation: without intercondylar extension	1	31,500,000	10,800,000	4,500,000	56,700,000	51,030,000	45,360,000	103,500,000	97,830,000	92,160,000	18,900,000	6,480,000	34,020,000	30,618,000	27,216,000	59,400,000	55,998,000	52,596,000
M4546G	M	G	Open treatment of humeral supracondylar or transcondylar fracture, with or without internal fixation: with intercondylar extension	1	45,000,000	15,300,000	4,500,000	56,700,000	51,030,000	45,360,000	121,500,000	115,830,000	110,160,000	27,000,000	9,180,000	34,020,000	30,618,000	27,216,000	70,200,000	66,798,000	63,396,000
M5260G	M	G	Repair, tendon or muscle, flexor, forearm and/or wrist: primary or secondary, single, each tendon or muscle	1	15,750,000	6,300,000	4,500,000	32,900,000	29,610,000	26,320,000	59,450,000	56,160,000	52,870,000	9,450,000	3,780,000	19,740,000	17,766,000	15,792,000	32,970,000	30,996,000	29,022,000
M5526G	M	G	Open treatment of radial shaft fracture, with internal and/or external fixation, with or without internal or external fixation of distal radioulnar joint, includes repair of triangular cartilage, with or without percutaneous skeletal fixation	1	31,500,000	10,800,000	4,500,000	89,100,000	80,190,000	71,280,000	135,900,000	126,990,000	118,080,000	18,900,000	6,480,000	53,460,000	48,114,000	42,768,000	78,840,000	73,494,000	68,148,000
M5575G	M	G	Open treatment of radial and ulnar shaft fractures, with internal or external fixation: of radius and ulna	2	27,000,000	9,000,000	4,500,000	68,800,000	61,920,000	55,040,000	109,300,000	102,420,000	95,540,000	16,200,000	5,400,000	41,280,000	37,152,000	33,024,000	62,880,000	58,752,000	54,624,000
M5605G	M	G	Closed treatment of distal radial fracture (eg, Colles or Smith type) or epiphyseal separation, with or without fracture of ulnar styloid: with manipulation	1	15,750,000	6,300,000	4,500,000	40,500,000	36,450,000	32,400,000	67,050,000	63,000,000	58,950,000	9,450,000	3,780,000	24,300,000	21,870,000	19,440,000	37,530,000	35,100,000	32,670,000
M5611G	M	G	Percutaneous skeletal fixation of distal radial fracture or epiphyseal separation, with or without fracture of ulnar styloid,requiring manipulation, with or without external fixation	1	15,750,000	6,300,000	4,500,000	40,500,000	36,450,000	32,400,000	67,050,000	63,000,000	58,950,000	9,450,000	3,780,000	24,300,000	21,870,000	19,440,000	37,530,000	35,100,000	32,670,000
M5620G	M	G	Open treatment of distal radial fracture, or epiphyseal separation, with or without fracture of ulnar styloid, with or without internal or external fixation	2	27,000,000	9,000,000	4,500,000	56,700,000	51,030,000	45,360,000	97,200,000	91,530,000	85,860,000	16,200,000	5,400,000	34,020,000	30,618,000	27,216,000	55,620,000	52,218,000	48,816,000
M6615G	M	G	Open treatment of metacarpal fracture, with or without internal or external fixation, each bone	1	18,000,000	6,750,000	4,500,000	42,300,000	38,070,000	33,840,000	71,550,000	67,320,000	63,090,000	10,800,000	4,050,000	25,380,000	22,842,000	20,304,000	40,230,000	37,692,000	35,154,000
M6735G	M	G	Open treatment of phalangeal shaft fracture, proximal or middle phalanx, finger or thumb, with or without internal or external fixation, each	1	18,000,000	6,750,000	4,500,000	46,200,000	41,580,000	36,960,000	75,450,000	70,830,000	66,210,000	10,800,000	4,050,000	27,720,000	24,948,000	22,176,000	42,570,000	39,798,000	37,026,000
M6910G	M	G	Amputation, metacarpal, with finger or thumb (ray amputation), single, with or without interosseous transfer	1	18,000,000	6,750,000	4,500,000	37,000,000	33,300,000	29,600,000	66,250,000	62,550,000	58,850,000	10,800,000	4,050,000	22,200,000	19,980,000	17,760,000	37,050,000	34,830,000	32,610,000
M6951G	M	G	Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies: with direct closure	1	11,250,000	6,300,000	4,500,000	27,000,000	24,300,000	21,600,000	49,050,000	46,350,000	43,650,000	6,750,000	3,780,000	16,200,000	14,580,000	12,960,000	26,730,000	25,110,000	23,490,000
M6952G	M	G	Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies: with local advancement flaps (V-Y, hood)	1	18,000,000	6,750,000	4,500,000	49,000,000	44,100,000	39,200,000	78,250,000	73,350,000	68,450,000	10,800,000	4,050,000	29,400,000	26,460,000	23,520,000	44,250,000	41,310,000	38,370,000
M7125G1	M	G1	EXCLUSIVELY FOR HIP FRACTURE, Partial hip replacement, prosthesis (eg, femoral stem prosthesis, bipolar arthroplasty),	4	47,250,000	15,750,000	4,500,000	106,070,000	95,463,000	84,856,000	173,570,000	162,963,000	152,356,000	28,350,000	9,450,000	63,642,000	57,277,000	50,913,000	101,442,000	95,077,000	88,713,000
M7130G1	M	G1	 EXCLUSIVELY FOR HIP FRACTURE, Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip replacement), with or without autograft or allograft.	4	65,250,000	21,600,000	4,500,000	135,511,000	121,959,000	108,408,000	226,861,000	213,309,000	199,758,000	39,150,000	12,960,000	81,306,000	73,175,000	65,044,000	133,416,000	125,285,000	117,154,000
M7244G	M	G	Open treatment of intertrochanteric, pertrochanteric, or subtrochanteric femoral fracture: with plate/screw type imolant, with or without cerclage	4	42,750,000	14,850,000	4,500,000	121,500,000	109,350,000	97,200,000	183,600,000	171,450,000	159,300,000	25,650,000	8,910,000	72,900,000	65,610,000	58,320,000	107,460,000	100,170,000	92,880,000
M7245G	M	G	Open treatment of intertrochanteric, pertrochanteric or subtrochanteric femoral fracture: with intramedullary implant, with or without interlocking screws and/or cerclage	1	33,750,000	11,700,000	4,500,000	56,700,000	51,030,000	45,360,000	106,650,000	100,980,000	95,310,000	20,250,000	7,020,000	34,020,000	30,618,000	27,216,000	61,290,000	57,888,000	54,486,000
M7506G	M	G	Open treatment of femoral shaft fracture, with or without external fixation, with insertion of intramedullary implant, with or without cerclage and/or locking screws, with or without plate/screws, with or without cerclage	4	42,750,000	14,850,000	4,500,000	121,500,000	109,350,000	97,200,000	183,600,000	171,450,000	159,300,000	25,650,000	8,910,000	72,900,000	65,610,000	58,320,000	107,460,000	100,170,000	92,880,000
M7524G	M	G	Open treatment of patellar fracture, with internal fixation and/or partial or complete patellectomy and soft tissue repair	3	27,000,000	9,000,000	4,500,000	68,800,000	61,920,000	55,040,000	109,300,000	102,420,000	95,540,000	16,200,000	5,400,000	41,280,000	37,152,000	33,024,000	62,880,000	58,752,000	54,624,000
M7536G	M	G	Open treatment of tibial fracture, proximal (plateau), unicondylar, with or without internal or external fixation	4	27,000,000	9,000,000	4,500,000	113,400,000	102,060,000	90,720,000	153,900,000	142,560,000	131,220,000	16,200,000	5,400,000	68,040,000	61,236,000	54,432,000	89,640,000	82,836,000	76,032,000
M7758G	M	G	Open treatment of tibial shaft fracture (with or without fibular fracture), with plate/screws, with or without cerclage	4	27,000,000	9,000,000	4,500,000	105,300,000	94,770,000	84,240,000	145,800,000	135,270,000	124,740,000	16,200,000	5,400,000	63,180,000	56,862,000	50,544,000	84,780,000	78,462,000	72,144,000
M7759G	M	G	Open treatment of tibial shaft fracture, (with or without fibular fracture) by intramedullary implant, with or without interlocking screws and/or cerclage	4	33,750,000	11,700,000	4,500,000	113,400,000	102,060,000	90,720,000	163,350,000	152,010,000	140,670,000	20,250,000	7,020,000	68,040,000	61,236,000	54,432,000	95,310,000	88,506,000	81,702,000
M7784G	M	G	Open treatment of proximal or distal fibula or shaft  fracture, with or without internal or external fixation	4	18,000,000	6,750,000	4,500,000	81,000,000	72,900,000	64,800,000	110,250,000	102,150,000	94,050,000	10,800,000	4,050,000	48,600,000	43,740,000	38,880,000	63,450,000	58,590,000	53,730,000
M7822G	M	G	Open treatment of bimalleolar or trimalleolar ankle fracture, with internal or external fixation, medial and/or lateral malleolus: without fixation of posterior lip	4	27,000,000	9,000,000	4,500,000	110,800,000	99,720,000	88,640,000	151,300,000	140,220,000	129,140,000	16,200,000	5,400,000	66,480,000	59,832,000	53,184,000	88,080,000	81,432,000	74,784,000
M7823G	M	G	Open treatment of trimalleolar ankle fracture, with internal or external fixation, medial and/or lateral malleolus: with fixation of posterior lip	4	33,750,000	11,700,000	4,500,000	105,300,000	94,770,000	84,240,000	155,250,000	144,720,000	134,190,000	20,250,000	7,020,000	63,180,000	56,862,000	50,544,000	90,450,000	84,132,000	77,814,000
M7881G	M	G	Amputation leg, through tibia and fibula: with or without immediate fitting technique including application of first cast	4	27,000,000	9,000,000	4,500,000	81,000,000	72,900,000	64,800,000	121,500,000	113,400,000	105,300,000	16,200,000	5,400,000	48,600,000	43,740,000	38,880,000	70,200,000	65,340,000	60,480,000
M7884G	M	G	Amputation leg: secondary closure or scar revision	5	18,000,000	6,750,000	4,500,000	75,000,000	67,500,000	60,000,000	104,250,000	96,750,000	89,250,000	10,800,000	4,050,000	45,000,000	40,500,000	36,000,000	59,850,000	55,350,000	50,850,000
M7888G	M	G	Amputation ankle, through malleoli of tbia and fibula (Syme, Pirogoff type procedures), with plastic closure and resection of nerves	5	27,000,000	9,000,000	4,500,000	86,000,000	77,400,000	68,800,000	126,500,000	117,900,000	109,300,000	16,200,000	5,400,000	51,600,000	46,440,000	41,280,000	73,200,000	68,040,000	62,880,000
M8005G	M	G	Incision, deep, with opening of bone cortex (eg, for osteomyelitis or bone abscess), foot	1	15,750,000	6,300,000	4,500,000	32,200,000	28,980,000	25,760,000	58,750,000	55,530,000	52,310,000	9,450,000	3,780,000	19,320,000	17,388,000	15,456,000	32,550,000	30,618,000	28,686,000
M8192G	M	G	Removal of foreign body, foot: deep	1	15,750,000	6,300,000	4,500,000	31,000,000	27,900,000	24,800,000	57,550,000	54,450,000	51,350,000	9,450,000	3,780,000	18,600,000	16,740,000	14,880,000	31,830,000	29,970,000	28,110,000
M8485G	M	G	Open treatment of metatarsal fracture, with or without internal or external fixation	1	15,750,000	6,300,000	4,500,000	40,500,000	36,450,000	32,400,000	67,050,000	63,000,000	58,950,000	9,450,000	3,780,000	24,300,000	21,870,000	19,440,000	37,530,000	35,100,000	32,670,000
M8800G	M	G	Amputation, foot: midtarsal or transmetatarsal	3	22,500,000	7,200,000	4,500,000	32,400,000	29,160,000	25,920,000	66,600,000	63,360,000	60,120,000	13,500,000	4,320,000	19,440,000	17,496,000	15,552,000	37,260,000	35,316,000	33,372,000
M8810G	M	G	Amputation, metatarsal, with toe, single	5	18,000,000	6,750,000	4,500,000	75,000,000	67,500,000	60,000,000	104,250,000	96,750,000	89,250,000	10,800,000	4,050,000	45,000,000	40,500,000	36,000,000	59,850,000	55,350,000	50,850,000
M8820G	M	G	Amputation, toe: metatarsophalangeal joint	5	11,250,000	6,300,000	4,500,000	66,000,000	59,400,000	52,800,000	88,050,000	81,450,000	74,850,000	6,750,000	3,780,000	39,600,000	35,640,000	31,680,000	50,130,000	46,170,000	42,210,000
N1312G	N	G	Craniectomy or craniotomy for evacuation of hematoma or drainage of intracranial absess	3	58,500,000	18,900,000	4,500,000	288,000,000	259,200,000	230,400,000	369,900,000	341,100,000	312,300,000	35,100,000	11,340,000	172,800,000	155,520,000	138,240,000	219,240,000	201,960,000	184,680,000
N1510G	N	G	Craniectomy, trephination, bone flap craniotomy: for excision of brain tumor, supratentorial 	5	67,500,000	22,500,000	4,500,000	297,300,000	267,570,000	237,840,000	391,800,000	362,070,000	332,340,000	40,500,000	13,500,000	178,380,000	160,542,000	142,704,000	232,380,000	214,542,000	196,704,000
N2223G	N	G	Creation of shunt: ventriculo-peritoneal, -pleural, other terminus	2	45,000,000	15,300,000	4,500,000	143,000,000	128,700,000	114,400,000	207,800,000	193,500,000	179,200,000	27,000,000	9,180,000	85,800,000	77,220,000	68,640,000	121,980,000	113,400,000	104,820,000
N2258G	N	G	Removal of complete CSF shunt system: with replacement by similar or other shunt at same operation	10	45,000,000	15,300,000	4,500,000	143,000,000	128,700,000	114,400,000	207,800,000	193,500,000	179,200,000	27,000,000	9,180,000	85,800,000	77,220,000	68,640,000	121,980,000	113,400,000	104,820,000
N3015G	N	G	Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or diskectomy, one or more  vertebral segments: cervical, thoracic or lumbar	4	54,000,000	17,100,000	4,500,000	162,000,000	145,800,000	129,600,000	237,600,000	221,400,000	205,200,000	32,400,000	10,260,000	97,200,000	87,480,000	77,760,000	139,860,000	130,140,000	120,420,000
N3075G	N	G	Diskectomy, anterior, with decompression of spinal cord and/or nerve root(s), including osteophytectomy: cervical or thoracic , single	4	56,250,000	18,000,000	4,500,000	178,200,000	160,380,000	142,560,000	256,950,000	239,130,000	221,310,000	33,750,000	10,800,000	106,920,000	96,228,000	85,536,000	151,470,000	140,778,000	130,086,000
N3700G	N	G	Repair of meningocele or myelomeningocele	5	58,500,000	18,900,000	4,500,000	199,000,000	179,100,000	159,200,000	280,900,000	261,000,000	241,100,000	35,100,000	11,340,000	119,400,000	107,460,000	95,520,000	165,840,000	153,900,000	141,960,000
N4722G	N	G	Decompression of nerve	1	18,000,000	6,750,000	4,500,000	34,400,000	30,960,000	27,520,000	63,650,000	60,210,000	56,770,000	10,800,000	4,050,000	20,640,000	18,576,000	16,512,000	35,490,000	33,426,000	31,362,000
R1600G	R	G	Tracheostomy, (separate procedure)	2	13,500,000	6,300,000	4,500,000	36,400,000	32,760,000	29,120,000	60,700,000	57,060,000	53,420,000	8,100,000	3,780,000	21,840,000	19,656,000	17,472,000	33,720,000	31,536,000	29,352,000
R2020L	R	L	Tube thoracostomy with or without water seal (separate procedure)	1	6,750,000	0	4,500,000	14,200,000	12,780,000	11,360,000	25,450,000	24,030,000	22,610,000	4,050,000	0	8,520,000	7,668,000	6,816,000	12,570,000	11,718,000	10,866,000
R2220G	R	G	Decortication, pulmonary, (separate procedure): total	7	45,000,000	15,300,000	4,500,000	160,000,000	144,000,000	128,000,000	224,800,000	208,800,000	192,800,000	27,000,000	9,180,000	96,000,000	86,400,000	76,800,000	132,180,000	122,580,000	112,980,000
R2485G	R	G	Lobectomy, total or segmental, with or without bronchoplasty or decortication	7	54,000,000	17,100,000	4,500,000	171,000,000	153,900,000	136,800,000	246,600,000	229,500,000	212,400,000	32,400,000	10,260,000	102,600,000	92,340,000	82,080,000	145,260,000	135,000,000	124,740,000
U0040G	U	G	Nephrostomy, nephrotomy with drainage	3	33,750,000	11,700,000	4,500,000	64,800,000	58,320,000	51,840,000	114,750,000	108,270,000	101,790,000	20,250,000	7,020,000	38,880,000	34,992,000	31,104,000	66,150,000	62,262,000	58,374,000
U0060G	U	G	Nephrolithotomy	4	33,750,000	11,700,000	4,500,000	108,000,000	97,200,000	86,400,000	157,950,000	147,150,000	136,350,000	20,250,000	7,020,000	64,800,000	58,320,000	51,840,000	92,070,000	85,590,000	79,110,000
U0080G	U	G	Percutaneous nephrostolithotomy or pyelostolithotomy, with or without dilation, endoscopy, lithotripsy, stenting or basket extraction	1	40,500,000	13,950,000	4,500,000	114,000,000	102,600,000	91,200,000	172,950,000	161,550,000	150,150,000	24,300,000	8,370,000	68,400,000	61,560,000	54,720,000	101,070,000	94,230,000	87,390,000
U0220G	U	G	Nephrectomy, including partial ureterectomy, any approach including rib resection	6	40,500,000	13,950,000	4,500,000	139,000,000	125,100,000	111,200,000	197,950,000	184,050,000	170,150,000	24,300,000	8,370,000	83,400,000	75,060,000	66,720,000	116,070,000	107,730,000	99,390,000
U0240G	U	G	Nephrectomy, partial	6	40,500,000	13,950,000	4,500,000	139,000,000	125,100,000	111,200,000	197,950,000	184,050,000	170,150,000	24,300,000	8,370,000	83,400,000	75,060,000	66,720,000	116,070,000	107,730,000	99,390,000
U0590L	U	L	Lithotripsy, extracorporeal shock wave	1	29,250,000	0	4,500,000	37,600,000	33,840,000	30,080,000	71,350,000	67,590,000	63,830,000	17,550,000	0	22,560,000	20,304,000	18,048,000	40,110,000	37,854,000	35,598,000
U1550G	U	G	Cystectomy, partial	6	31,500,000	10,800,000	4,500,000	118,000,000	106,200,000	94,400,000	164,800,000	153,000,000	141,200,000	18,900,000	6,480,000	70,800,000	63,720,000	56,640,000	96,180,000	89,100,000	82,020,000
U1595G	U	G	Cystectomy, complete, with ureteoileal  conduit or sigmoid bladder, including bowel anastomosis: with bilateral pelvic lymphadenectomy, including external iliac, hypogastric and obturator nodes	12	90,000,000	29,700,000	4,500,000	386,000,000	347,400,000	308,800,000	510,200,000	471,600,000	433,000,000	54,000,000	17,820,000	231,600,000	208,440,000	185,280,000	303,420,000	280,260,000	257,100,000
U1860G	U	G	Cystorrhaphy, suture of bladder wound, injury or rupture	4	31,500,000	10,800,000	4,500,000	81,000,000	72,900,000	64,800,000	127,800,000	119,700,000	111,600,000	18,900,000	6,480,000	48,600,000	43,740,000	38,880,000	73,980,000	69,120,000	64,260,000
U2000G	U	G	Cystourethroscopy diagnostic or therapeutic	1	11,250,000	6,300,000	4,500,000	28,700,000	25,830,000	22,960,000	50,750,000	47,880,000	45,010,000	6,750,000	3,780,000	17,220,000	15,498,000	13,776,000	27,750,000	26,028,000	24,306,000
U2000L	U	L	Cystourethroscopy diagnostic or therapeutic	1	11,250,000	0	4,500,000	28,700,000	25,830,000	22,960,000	44,450,000	41,580,000	38,710,000	6,750,000	0	17,220,000	15,498,000	13,776,000	23,970,000	22,248,000	20,526,000
U2235G	U	G	Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) and/or resection of  bladder tumor(s) 	2	18,000,000	6,750,000	4,500,000	47,400,000	42,660,000	37,920,000	76,650,000	71,910,000	67,170,000	10,800,000	4,050,000	28,440,000	25,596,000	22,752,000	43,290,000	40,446,000	37,602,000
U2317G	U	G	Litholapaxy: crushing or fragmentation of calculus by any means in bladder and removal of fragments 	1	18,000,000	6,750,000	4,500,000	37,000,000	33,300,000	29,600,000	66,250,000	62,550,000	58,850,000	10,800,000	4,050,000	22,200,000	19,980,000	17,760,000	37,050,000	34,830,000	32,610,000
U2336G	U	G	Cystourethroscopy, with ureteroscopy and/or pyeloscopy (includes dilation of the ureter by any method): with removal of calculus (ureteral catheterization is included)	1	18,000,000	6,750,000	4,500,000	32,400,000	29,160,000	25,920,000	61,650,000	58,410,000	55,170,000	10,800,000	4,050,000	19,440,000	17,496,000	15,552,000	34,290,000	32,346,000	30,402,000
U2601G	U	G	Transurethral resection of prostate including complete vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, internal urethrotomy	4	40,500,000	13,950,000	4,500,000	101,500,000	91,350,000	81,200,000	160,450,000	150,300,000	140,150,000	24,300,000	8,370,000	60,900,000	54,810,000	48,720,000	93,570,000	87,480,000	81,390,000
X2981L	X	L	Percutaneous transluminal angioplasty: PEDIATRIC	1	45,000,000	22,500,000	0	310,911,000	0	0	378,411,000	67,500,000	67,500,000	0	0	0	0	0	0	0	0
X2982L1	X	L1	Percutaneous transluminal angioplasty (other than coronary): single vessel with or without stent	2	45,000,000	0	0	162,000,000	145,800,000	129,600,000	207,000,000	190,800,000	174,600,000	27,000,000	0	97,200,000	87,480,000	77,760,000	124,200,000	114,480,000	104,760,000
X2983L1	X	L1	Percutaneous transluminal coronary angioplasty: with or without stent	2	45,000,000	0	0	165,000,000	148,500,000	132,000,000	210,000,000	193,500,000	177,000,000	27,000,000	0	99,000,000	89,100,000	79,200,000	126,000,000	116,100,000	106,200,000
X2986L1	X	L1	Percutaneous transluminal coronary angioplasty: with stent; each additional vessel	2	45,000,000	0	0	165,000,000	148,500,000	132,000,000	210,000,000	193,500,000	177,000,000	27,000,000	0	99,000,000	89,100,000	79,200,000	126,000,000	116,100,000	106,200,000
X3548L	X	L	Combined left heart catheterization, selective coronary angiography, one or more coronary erteries, selective left ventriculography, with aortic root aortography	1	22,500,000	0	0	36,400,000	32,760,000	29,120,000	58,900,000	55,260,000	51,620,000	13,500,000	0	21,840,000	19,656,000	17,472,000	35,340,000	33,156,000	30,972,000
X3549L	X	L	Combined right and left heart catheterization, selective coronary angiography, one or more coronary arteries, and selective left ventricular angiography	1	27,000,000	0	0	40,500,000	36,450,000	32,400,000	67,500,000	63,450,000	59,400,000	16,200,000	0	24,300,000	21,870,000	19,440,000	40,500,000	38,070,000	35,640,000
