MoPHCode	FormRaw	RouteRaw
4767		Infusion 
4769		Infusion 
4770		Infusion 
9710	Injectable solution	Infusion 
9713	Injectable solution	Infusion 
10076		Infusion 
10078		Infusion 
10077		Infusion 
10131		Infusion 
10612		Infusion 
11144		Infusion 
4142	Injectable solution	Infusion 
4144	Injectable solution	Infusion 
9372	Injectable solution	Infusion 
9373	Injectable solution	Infusion 
4764		Infusion 
4765		Infusion 
4766		Infusion 
9370	Injectable solution	Infusion 
9371	Injectable solution	Infusion 
9483		Infusion 
9484		Infusion 
9562		Infusion 
9563		Infusion 
10611		Infusion 
11143		Infusion 
4157	Injectable solution	Infusion 
4159	Injectable solution	Infusion 
11652	Injectable solution	Infusion 
4754		Infusion 
4755		Infusion 
4756		Infusion 
4777		Infusion 
4772		Infusion 
4165	Injectable solution	Infusion 
4773	Injectable solution	Infusion 
4174	Injectable solution	Infusion 
4778		Infusion 
4163	Injectable solution	Infusion 
4133	Injectable solution	Infusion 
4147	Injectable solution	Infusion 
4155	Injectable solution	Infusion 
4149	Injectable solution	Infusion 
4151	Injectable solution	Infusion 
4153	Injectable solution	Infusion 
4177	Injectable solution	Infusion 
4179	Injectable solution	Infusion 
9587	Injectable solution	Infusion 
10936		Infusion 
11150		Infusion 
4782		Infusion 
4783		Infusion 
9555	Injectable solution	Infusion 
9883		Infusion 
9785		Infusion 
4187	Injectable solution	Infusion 
4189	Injectable solution	Infusion 
4780		Infusion 
4781		Infusion 
4110	Injectable solution	Infusion 
2596	Ampoule	Infusion 
10614		Infusion 
10615		Infusion 
10616		Infusion 
11140		Infusion 
11141		Infusion 
11142		Infusion 
4115	Injectable solution	Infusion 
4117	Injectable solution	Infusion 
4119	Injectable solution	Infusion 
9379	Injectable solution	Infusion 
11651	Injectable solution	Infusion 
11653	Injectable solution	Infusion 
11654	Injectable solution	Infusion 
4749	Injectable solution	Infusion 
4750	Injectable solution	Infusion 
4751	Injectable solution	Infusion 
4114	Injectable solution	Infusion 
4752		Infusion 
4753		Infusion 
10566		Infusion 
10567		Infusion 
10568		Infusion 
10569		Infusion 
11146		Infusion 
11147		Infusion 
11148		Infusion 
11149		Infusion 
9772	Injectable solution	Infusion 
9790	Injectable solution	Infusion 
9791	Injectable solution	Infusion 
9792	Injectable solution	Infusion 
9793	Injectable solution	Infusion 
4122	Injectable solution	Infusion 
4124	Injectable solution	Infusion 
4126	Injectable solution	Infusion 
4128	Injectable solution	Infusion 
4130	Injectable solution	Infusion 
9558	Injectable solution	Infusion 
9559	Injectable solution	Infusion 
9586	Injectable solution	Infusion 
9708	Injectable solution	Infusion 
9773	Injectable solution	Infusion 
4808		Infusion 
4809		Infusion 
4779		Infusion 
4790		Infusion 
4801		Infusion 
5198	Injectable solution	Infusion 
9955		Infusion 
9958		Infusion 
9957		Infusion 
9999		Infusion 
9954		Infusion 
9956		Infusion 
9959		Infusion 
9998		Infusion 
4748		Infusion 
4810		Infusion 
4747		Infusion 
2595	Ampoule	Infusion 
4113	Injectable solution	Infusion 
4112	Injectable solution	Infusion 
4111	Injectable solution	Infusion 
4191	Solution	Peritoneal Dialysis
4192	Solution	Peritoneal Dialysis
5186		Peritoneal Dialysis
5188		Peritoneal Dialysis
5190		Peritoneal Dialysis
5191		Peritoneal Dialysis
5187		Peritoneal Dialysis
5189		Peritoneal Dialysis
3599	Solution	Peritoneal Dialysis
3600	Solution	Peritoneal Dialysis
9869	Solution	Peritoneal Dialysis
9867	Solution	Peritoneal Dialysis
9865	Solution	Peritoneal Dialysis
9864	Solution	Peritoneal Dialysis
9861	Solution	Peritoneal Dialysis
9863	Solution	Peritoneal Dialysis
6695	Injectable concentrated solution for infusion	Infusion
285	Solution a diluer pour perfusion	Infusion 
2282	Sol à diluer p perf	Infusion 
4199	Injectable solution	Infusion 
4200	Injectable solution	Infusion 
2283	Sol à diluer p perf	Infusion 
4198	Injectable solution	Infusion 
4196	Injectable solution	Infusion 
4197	Injectable solution	Infusion 
4202	Injectable solution	Infusion 
4201	Injectable solution	Infusion 
4203	Injectable solution	Infusion 
10570		Infusion 
10571		Infusion 
10572		Infusion 
10573		Infusion 
10575		Infusion 
11136		Infusion 
11137		Infusion 
11138		Infusion 
11139		Infusion 
2285	Sol inj	Infusion 
291	Solution injectable	Infusion 
292	Solution injectable	Infusion 
9189	Injectable solution	Infusion 
9190	Injectable solution	Infusion 
9892	Injectable solution	Infusion 
9895	Injectable solution	Infusion 
9896	Injectable solution	Infusion 
9788		Infusion 
9881		Infusion 
9560		Infusion 
9561		Infusion 
9786		Infusion 
4207	Injectable solution	Infusion 
4208	Injectable solution	Infusion 
4209	Injectable solution	Infusion 
4211	Injectable solution	Infusion 
4212	Injectable solution	Infusion 
4215	Injectable solution	Infusion 
4217	Injectable solution	Infusion 
4219	Injectable solution	Infusion 
4221	Injectable solution	Infusion 
9374	Injectable solution	Infusion 
9375	Injectable solution	Infusion 
9380	Injectable solution	Infusion 
9556	Injectable solution	Infusion 
9557	Injectable solution	Infusion 
9709	Injectable solution	Infusion 
4795		Infusion 
4796		Infusion 
4792		Infusion 
4793		Infusion 
4794		Infusion 
11414	Solution for injection	Parenteral
11415	Solution for injection	Parenteral
11416	Solution for injection	Parenteral
9789		Infusion 
9882		Infusion 
9564		Infusion 
9565		Infusion 
9787		Infusion 
10574		Infusion 
11135		Infusion 
9893	Injectable solution	Infusion 
9894	Injectable solution	Infusion 
4223	Injectable solution	Infusion 
4224	Injectable solution	Infusion 
4225	Injectable solution	Infusion 
9774	Injectable solution	Infusion 
9775	Injectable solution	Infusion 
4787		Infusion 
4788		Infusion 
4789		Infusion 
4206	Injectable solution	Infusion 
4857	Injectable solution	Infusion 
4204	Injectable solution	Infusion 
4205	Injectable solution	Infusion 
8758	Injectable solution	Infusion/IV
3504	Injectable solution IV	Infusion/IV
2771	Sol inj (I.V.)	Infusion/IV
4175	Injectable solution	Infusion/IV
4176	Injectable solution	Infusion/IV
4103	Injectable solution	Infusion 
8826	Solution a diluer pour perfusion IV	IV
10707	Concentrate for solution for infusion	Infusion
3922	Injectable concentrated solution for Infusion 	Infusion 
4105	Solution	Haemodialysis
4106	Solution	Haemodialysis
4107	Solution	Haemodialysis
4108	Solution	Haemodialysis
4109	Solution	Haemodialysis
4800	Solution	Haemodialysis
4802	Solution	Haemodialysis
4803	Solution	Haemodialysis
4804	Solution	Haemodialysis
4805	Solution	Haemodialysis
4806	Solution	Haemodialysis
4858	Solution	Haemodialysis
4859	Solution	Haemodialysis
4860	Solution	Haemodialysis
10626	Solution for injection	SC
11718	Tablet	Oral
11719	Tablet	Oral
7507	Elixir	Oral
7508	Tablet	Oral
5283	Tablet, film coated	Oral
5284	Tablet, film coated	Oral
2222	Tablet	Oral
9472	Tablet, scored	Oral
10815	Gélules a libération prolongée	Oral
10816	Gélules a libération prolongée	Oral
2975	Tablet, scored	Oral
11398	Comprimés sécables	Oral
2976	Ampoule Injectable	Infusion 
10826	Concentrate for solution for infusion	Infusion
8590	Injection	Infusion
5213	concentrate for solution for infusion	Infusion 
11513	concentrate for solution for infusion	Infusion 
2871	Injectable solution (IV) Sans conservateur	Infusion 
11662	Injectable solution	Infusion 
10114	Concentrate for solution for infusion	Infusion 
2640	Concentrate for solution for infusion	Infusion 
3546	Solution for perfusion	Infusion 
7787	Injection USP	Infusion/IV/IM/SC
8906	Injectable solution	IV
11026	Solution for injection	IV
3532	Solution à diluer pour perfusion	Infusion 
4861	Injectable solution	
2097	Ampoule	IV/SC
7809	Injectable solution	IV/SC
11025	Solution for injection, sulfite free	IV
272	Solution injectable	Infusion/IV
2279	Injectable solution	Infusion/IV
11500	Solution for injection	Infusion/IV
8529	Concentrate for solution for infusion 	Infusion
6599	Patch	Transdermal
9921	Concentrate for solution for intravenous infusion	Infusion
8421		Infusion
11114	Concentrate for solution for infusion	Infusion
11503	Tablet	Oral
4605	Tablet	Oral
3714	Capsule, hard, prolonged release	Oral
3715	Tablet	Oral
5420	Tablet, scored	Oral
5421	Tablet, scored	Oral
9462	Comprimés sécables	Oral
9463	Comprimés sécables	Oral
5422	Tablet	Oral
9464	Comprimés 	Oral
9024	Comprimes secables	Oral
11388	Comprimes secables	Oral
9023	Comprimes	Oral
11389	Comprimes	Oral
449	Sterile solution	Infusion/intraarteriel 
9836	Solution for IV injection	IV
3838	Tablet, film coated, modified release	Oral
11226	modified release film coated tablet	Oral
5385	Tablet, film coated	Oral
11715	Tablet, film coated	Oral
10693	Tablet, film coated, scored	Oral
5386	Tablet, film coated	Oral
11714	Tablet, film coated	Oral
10694	Tablet, film coated, scored	Oral
8105	Tablet, prolonged release	Oral
8103	Tablet, prolonged release	Oral
8104	Tablet, prolonged release	Oral
8924	Tablet	Oral
4304	Tablet, coated	Oral
4314	Tablet, coated	Oral
10763	Tablet, film coated	Oral
10764	Tablet, film coated	Oral
10765	Tablet, film coated	Oral
7258	Tablet	Oral
7049	Tablet	Oral
11658	Tablet	Oral
8176	Injectable solution IV	IV
5492	Tablet, film coated	Oral
11193	Tablet, film coated	Oral
9469	Tablet, film coated	Oral
8842	Tablet	Oral
10713	Tablet, film coated	Oral
5493	Tablet, film coated	Oral
11194	Tablet, film coated	Oral
9468	Tablet, film coated	Oral
8843	Tablet	Oral
10714	Tablet, film coated	Oral
8898	Tablet, film coated	Oral
4468	Tablet	Oral
4497	Tablet	Oral
4508	Tablet	Oral
2548	Comprimé pelliculé à libération prolongée	Oral
9224	Tablet, prolonged release	Oral
10878	Tablet	Oral
988	Tablet	Oral
11501	Tablet	Oral
1664	Tablet	Oral
10791	Tablet	Oral
4738	Tablet, scored	Oral
8224	Injection	IV/IM
8249	Injectable solution	IV/IM
2573	Injectable solution	IV/IM
8145	Injectable solution	IV/IM
9133	Injectable solution	IV/IM
5313	solution injectable 	Infusion/IV
9552	Solution for infusion	Infusion
10877	Tablet	Oral
10186	Tablet	Oral
10204	Tablet	Oral
10396	Tablet	Oral
8794	Tablet	Oral
9067	Comprimes pellicules	Oral
9899	Comprimes pellicules	Oral
11459	Comprimes pellicules	Oral
9025	Comprimes pellicules	Oral
7087	Tablet, coated	Oral
9068	Comprimes pellicules	Oral
9898	Comprimes pellicules	Oral
11460	Comprimes pellicules	Oral
9026	Comprimes pellicules	Oral
7088	Tablet, coated	Oral
4267	Tablet	Oral
11495	Tablet, sustained release	Oral
6441	Gélules	Oral
11594	Tablet, film coated	Oral
7703	Topical Cream	Rectal
9781	Rectal suppositories	Rectal
10297	Rectal suppository	Rectal
10298	Rectal ointment	Rectal
9120	Ointment	Rectal
10236	Topical gel	Topical
10425	Suppositories for adults	Rectal
10248	Suppository	Rectal
10199	Cream	Rectal
1169	Gel	Topical
5569	Gel	Topical
9347	Injection solution	Varicose vein
9348	Injection solution	Varicose vein
9346	Injection solution	Varicose vein
8157	Capsule	Oral
8158	Capsule	Oral
7080	Ointment	Topical
7081	Ointment	Topical
3427	Comprimé	Oral
6927	Tablet	Oral
5878	Capsule	Oral
9608	Gel	Topical
2361	Comprimés pelliculés	Oral
8290	Tablet, film coated	Oral
9438	Tablet, film coated	Oral
8886	Gélule	Oral
3196	Comprimé Enrobé	Oral
8031	Comprimé Enrobé	Oral
10968	Comprimés pelliculés	Oral
10969	Comprimés pelliculés	Oral
10158	Dragée	Oral
1001	Tablet	Oral
1651	Tablet, film coated	Oral
4874	Tablet	Oral
1002	Tablet	Oral
1652	Tablet, film coated	Oral
4875	Tablet	Oral
10132	Comprimés sécables	Oral
10177	Comprimés sécables	Oral
6516	Tablet, controlled release	Oral
11755	Tablet, film coated, controlled release	Oral
7573	Tablet, controlled release	Oral
11756	Tablet, film coated, controlled release	Oral
11441	Tablet, film coated	Oral
978	Tablet	Oral
11080	Comprimés  sécables	Oral
4249	Tablet	Oral
480	Tablet	Oral
11442	Tablet, film coated	Oral
4260	Tablet	Oral
481	Tablet	Oral
10970	Comprimés pelliculés	Oral
10971	Comprimés pelliculés	Oral
11045	Tablet, film coated, scored	Oral
4694	Tablet, film coated	Oral
5951	Tablet	Oral
5039	Tablet, film coated	Oral
5506	Tablet	Oral
5192	Tablet, film coated	Oral
11444	Tablet, film coated	Oral
4078	Tablet, film coated	Oral
11384	Comprimés pelliculés sécables	Oral
6308	Tablet, coated	Oral
8768	Tablet, film coated	Oral
11561	Tablet, film coated	Oral
4695	Tablet, film coated	Oral
5041	Tablet, film coated	Oral
5507	Tablet	Oral
5181	Tablet, film coated	Oral
4079	Tablet, film coated	Oral
11385	Comprimés pelliculés sécables	Oral
6309	Tablet, coated	Oral
8767	Tablet, film coated	Oral
4693	Tablet, film coated	Oral
5957	Tablet, film coated	Oral
11445	Tablet, film coated	Oral
7838	Tablet, film coated	Oral
11251	Comprimés pelliculés sécables	Oral
11383	Comprimés pelliculés sécables	Oral
11252	Comprimés pelliculés sécables	Oral
11253	Comprimés pelliculés sécables	Oral
3686	Tablet	Oral
11030	Tablet	Oral
10973	Comprimés quadrisecables 	Oral
10778	Tablet	Oral
9901		Infusion/IV
9853	Tablet	Oral
9467	Tablet, film coated, scored	Oral
9465	Tablet, film coated, scored	Oral
9968	Tablet	Oral
9466	Tablet, film coated, scored	Oral
4268	Tablet	Oral
11443	Tablet, film coated	Oral
4269	Tablet	Oral
4696	Tablet, film coated	Oral
6715	Tablet	Oral
5397	Tablet, film coated	Oral
8769	Tablet, film coated	Oral
4697	Tablet, film coated	Oral
6338	Tablet, film coated	Oral
6339	Tablet, film coated	Oral
4321	Tablet	Oral
5516	Tablet, film coated	Oral
5518	Tablet, film coated	Oral
3531	Capsule	Oral
10779	Tablet, scored	Oral
7746	Tablet	Oral
5074	Tablet	Oral
5585	Capsule	Oral
7274	Capsule	Oral
11767	Gélule	Oral
5266	Capsule, hard gelatin	Oral
6471	Tablet	Oral
6256	Capsule	Oral
3950	Capsule	Oral
5695	Capsule	Oral
1858	Capsule	Oral
7243	Tablet	Oral
7330	Tablet	Oral
10780	Tablet	Oral
7347	Tablet	Oral
5586	Capsule	Oral
7273	Capsule	Oral
11766	Gélule	Oral
8570	Tablet	Oral
6407	Tablet	Oral
7331	Tablet	Oral
10835	Solution injectable	Infusion
7167	Tablet, sustained release	Oral
6681	Tablet, prolonged release	Oral
6682	Tablet, prolonged release	Oral
10773	Oral solution	Oral
2688	Tablet	Oral
3717	Tablet, scored	Oral
4311	Tablet, film coated	Oral
4312	Tablet, film coated	Oral
5285	Tablet, film coated	Oral
5286	Tablet, film coated, prolonged release	Oral
10278	Tablet, bilayer	Oral
10279	Tablet, modified release 	Oral
3822	Tablet	Oral
4250	Tablet, scored	Oral
4252	Capsule, controlled release	Oral
4251	Capsule, controlled relese	Oral
3055	Gélule	Oral
3045	Gélule	Oral
4253	Capsule, controlled relese	Oral
3819	Tablet	Oral
4275	Tablet, scored	Oral
4578	Tablet, scored	Oral
6714	Tablet, scored	Oral
5171	Tablet	Oral
3820	Tablet	Oral
4276	Tablet, scored	Oral
5173	Tablet	Oral
322	Tablet	Oral
11349	Tablet	Oral
3213	Tablet	Oral
11350	Tablet	Oral
11351	Tablet	Oral
3212	Tablet	Oral
5229	Tablet, film coated	Oral
5236	Tablet, film coated	Oral
4263	Capsule	Oral
10883	Tablet	Oral
6481	Tablet	Oral
6340	Capsule	Oral
7710	Tablet	Oral
4264	Capsule	Oral
10884	Tablet	Oral
6480	Tablet	Oral
5669	Capsule	Oral
7711	Tablet	Oral
7172	Tablet	Oral
4265	Capsule	Oral
10885	Tablet	Oral
7244	Tablet	Oral
5670	Capsule	Oral
7712	Tablet	Oral
7171	Tablet	Oral
4266	Capsule	Oral
4278	Tablet, scored	Oral
11352	Tablet	Oral
3530	Tablet	Oral
5615	Tablet, film coated	Oral
5616	Tablet, film coated	Oral
6262	Tablet, film coated	Oral
5577	Tablet	Oral
5576	Tablet	Oral
5729	Tablet, film coated	Oral
5730	Tablet, film coated	Oral
5880	Tablet	Oral
11504	Tablet	Oral
5881	Tablet	Oral
11505	Tablet	Oral
5883	Tablet	Oral
11507	Tablet	Oral
6836	Tablet	Oral
10140	Capsule, hard	Oral
10139	Capsule, hard	Oral
10141	Capsule, hard	Oral
10142	Capsule, hard	Oral
8130	Tablet, film coated	Oral
8132	Tablet, film coated	Oral
8133	Tablet, film coated	Oral
9678	Tablet, film coated, scored	Oral
9679	Tablet, film coated, scored	Oral
6845	Tablet	Oral
5329	Tablet, film coated	Oral
4745	Tablet	Oral
10943	Comprimés pelliculés sécables	Oral
7173	Tablet, film coated	Oral
6846	Tablet	Oral
5244	Tablet	Oral
10944	Comprimés pelliculés 	Oral
11772	Tablet, film coated	Oral
7045	Tablet, film coated	Oral
6477	Tablet	Oral
7063	Tablet, film coated	Oral
11814	Tablet, film coated	Oral
8618	Tablet, film coated, breakable	Oral
7889	Tablet, film coated	Oral
11773	Tablet, film coated	Oral
7046	Tablet, film coated	Oral
6855	Tablet	Oral
7065	Tablet, film coated	Oral
11815	Tablet, film coated	Oral
8619	Tablet, film coated, breakable	Oral
7934	Tablet, film coated	Oral
7890	Tablet, film coated	Oral
7891	Tablet, film coated	Oral
7972	Tablet, film coated	Oral
10871	Tablet, film coated	Oral
7390	Tablet, film coated	Oral
9295	Tablet	Oral
7675	Tablet, film coated	Oral
7333	Tablet, film coated	Oral
10586	Tablet, film coated	Oral
9070	Comprimes	Oral
6222	Tablet, film coated	Oral
10872	Tablet, film coated	Oral
7389	Tablet, film coated	Oral
9294	Tablet	Oral
7603	Tablet, film coated	Oral
7338	Tablet, film coated	Oral
10587	Tablet, film coated	Oral
9071	Comprimes	Oral
6223	Tablet, film coated	Oral
11219	Tablet	Oral
1381	Tablet	Oral
6823	Tablet	Oral
11274	Tablet	Oral
10111	Comprimés sécables	Oral
11220	Tablet	Oral
1382	Tablet	Oral
6822	Tablet	Oral
11275	Tablet	Oral
10110	Comprimés sécables	Oral
10109	Comprimés sécables	Oral
2265	Tablet	Oral
5077	Tablet	Oral
11466	Tablet	Oral
2308	Tablet	Oral
9589	Tablet	Oral
5078	Tablet	Oral
11467	Tablet	Oral
9796	Tablet, film coated	Oral
6576	Tablet, film coated	Oral
6766	Tablet, film coated	Oral
11246	Tablet, film coated	Oral
9795	Tablet, film coated	Oral
6577	Tablet, film coated	Oral
6764	Tablet, film coated	Oral
11247	Tablet, film coated	Oral
9794	Tablet, film coated	Oral
6578	Tablet, film coated	Oral
6765	Tablet, film coated	Oral
11248	Tablet, film coated	Oral
11163	Tablet	Oral
11895	Tablet	Oral
6847	Tablet	Oral
4645	Tablet	Oral
9286	Tablet, film coated	Oral
10945	Comprimés pelliculés 	Oral
7174	Tablet, film coated	Oral
6848	Tablet	Oral
5475	Tablet	Oral
9287	Tablet, film coated	Oral
10946	Comprimés pelliculés 	Oral
11774	Tablet, film coated	Oral
7892	Tablet, film coated	Oral
11775	Tablet, film coated	Oral
6478	Tablet	Oral
6574	Tablet, film coated	Oral
8354	Tablet, film coated	Oral
7935	Tablet, film coated	Oral
7893	Tablet, film coated	Oral
11776	Tablet, film coated	Oral
6854	Tablet	Oral
7894	Tablet, film coated	Oral
7896	Tablet, film coated	Oral
7895	Tablet, film coated	Oral
10874	Tablet, film coated	Oral
7388	Tablet, film coated	Oral
10528	Tablet, film coated	Oral
7674	Tablet, film coated	Oral
8512	Tablet, film coated	Oral
10588	Tablet, film coated	Oral
6224	Tablet, film coated	Oral
10873	Tablet, film coated	Oral
7386	Tablet, film coated	Oral
10529	Tablet, film coated	Oral
7676	Tablet, film coated	Oral
8513	Tablet, film coated	Oral
10589	Tablet, film coated	Oral
6225	Tablet, film coated	Oral
7387	Tablet, film coated	Oral
7604	Tablet, film coated	Oral
8514	Tablet, film coated	Oral
10590	Tablet, film coated	Oral
11221	Tablet	Oral
6018	Tablet	Oral
11277	Tablet	Oral
10112	Comprimés	Oral
6017	Tablet	Oral
10113	Comprimés	Oral
2326	Tablet	Oral
5812	Tablets	Oral
7411	Tablet, film coated	Oral
11516	Tablet, film coated	Oral
7412	Tablet, film coated	Oral
11517	Tablet, film coated	Oral
7413	Tablet, film coated	Oral
11515	Tablet, film coated	Oral
7414	Tablet, film coated	Oral
11514	Tablet, film coated	Oral
11645	Tablet, film coated	Oral
11700	Tablet, film coated	Oral
11777	Tablet, film coated	Oral
11872	Comprimés pelliculés	Oral
8033	Caplet, film coated	Oral
7311	Tablet, film coated	Oral
9801	Tablet, film coated	Oral
10350	Tablet, film coated	Oral
11778	Tablet, film coated	Oral
11873	Comprimés pelliculés	Oral
10223	Tablet, film coated	Oral
8032	Caplet, film coated	Oral
7314	Tablet, film coated	Oral
8584	Tablet, film coated	Oral
10349	Tablet, film coated	Oral
11871	Comprimés pelliculés	Oral
9963	Tablet, film coated	Oral
7408	Tablet, film coated	Oral
11249	Tablet, film coated	Oral
9961	Tablet, film coated	Oral
7409	Tablet, film coated	Oral
11250	Tablet, film coated	Oral
9962	Tablet, film coated	Oral
7410	Tablet, film coated	Oral
6461	Tablet	Oral
11179	Tablet	Oral
6462	Tablet	Oral
11178	Tablet	Oral
6817	Tablet	Oral
6818	Tablet	Oral
10246	Capsule, hard	Oral
10247	Capsule, hard	Oral
10245	Capsule, hard	Oral
7226	Tablet	Oral
7227	Tablet	Oral
11779	Tablet, film coated	Oral
11337	Tablet, film coated	Oral
11782	Tablet, film coated	Oral
11255	Tablet, film coated	Oral
11338	Tablet, film coated	Oral
11780	Tablet, film coated	Oral
11339	Tablet, film coated	Oral
11781	Tablet, film coated	Oral
11115	Tablet	Oral
11257	Tablet, film coated	Oral
11336	Tablet, film coated	Oral
11374	Tablet, film coated	Oral
11340	Tablet, film coated	Oral
7762	Tablet, film coated	Oral
11390	Tablet, film coated	Oral
7763	Tablet, film coated	Oral
11391	Tablet, film coated	Oral
7764	Tablet, film coated	Oral
11394	Tablet, film coated	Oral
7765	Tablet, film coated	Oral
11393	Tablet, film coated	Oral
7766	Tablet, film coated	Oral
11392	Tablet, film coated	Oral
8447	Tablet, film coated	Oral
8448	Tablet, film coated	Oral
8449	Tablet, film coated	Oral
6727	Tablet	Oral
3898	Tablet, film coated	Oral
4674	Tablet	Oral
4371	Tablet, scored	Oral
6728	Tablet	Oral
3900	Tablet, film coated	Oral
7169	Tablet, film coated	Oral
4675	Tablet	Oral
4372	Tablet, scored	Oral
6729	Tablet	Oral
3899	Tablet, film coated	Oral
7170	Tablet, film coated	Oral
4676	Tablet, scored	Oral
4373	Tablet, scored	Oral
3355	Tablet	Oral
3571	Tablet	Oral
9005	Tablet, breakable	Oral
4340	Tablet, scored	Oral
3579	Tablet	Oral
9006	Tablet, breakable	Oral
4339	Tablet, scored	Oral
4338	Tablet, scored	Oral
6092	Tablet	Oral
5226	Tablet	Oral
5075	Tablet, film coated	Oral
9199	Tablet, film coated	Oral
11795	Tablet	Oral
11355	Comprimes pellicules	Oral
7525	Caplet, film coated	Oral
5587	Tablet, film coated	Oral
3564	Tablet, coated	Oral
6355	Tablet, film coated	Oral
5268	Tablet	Oral
11701	Tablet, film coated	Oral
5486	Tablet	Oral
10576	Tablet, film coated	Oral
4718	Tablet, film coated	Oral
3895	Tablet, coated	Oral
7116	Tablet, film coated	Oral
6130	Tablet, film coated	Oral
8510	Tablet, film coated	Oral
6093	Tablet	Oral
5224	Tablet	Oral
5076	Tablet, film coated	Oral
7569	Tablet, film coated	Oral
11794	Tablet	Oral
8660	Tablet	Oral
11356	Comprimes pellicules	Oral
8486	Tablet, film coated	Oral
7177	Caplet, film coated	Oral
5588	Tablet, film coated	Oral
3563	Tablet, coated	Oral
6354	Tablet, film coated	Oral
5267	Tablet	Oral
10175	Tablet, film coated	Oral
5487	Tablet	Oral
10577	Tablet, film coated	Oral
4719	Tablet, film coated	Oral
3894	Tablet, coated	Oral
7115	Tablet, film coated	Oral
6131	Tablet, film coated	Oral
8509	Tablet, film coated	Oral
6094	Tablet	Oral
5225	Tablet	Oral
7490	Tablet, film coated	Oral
9200	Tablet, film coated	Oral
10484	Comprimés pelliculés	Oral
11617	Comprimés pelliculés	Oral
8485	Tablet, film coated	Oral
7526	Caplet, film coated	Oral
5863	Tablet, film coated	Oral
6188	Tablet, coated	Oral
6356	Tablet, film coated	Oral
5269	Tablet	Oral
10174	Tablet, film coated	Oral
10578	Tablet, film coated	Oral
4720	Tablet, film coated	Oral
5989	Tablet, coated	Oral
8307	Tablet, film coated	Oral
6132	Tablet, film coated	Oral
9234	Comprimes pellicules	Oral
11616	Comprimes pellicules	Oral
10579	Tablet, film coated	Oral
1711	Tablet	Oral
7496	Tablet	Oral
11896	Tablet	Oral
7861	Tablet, film coated	Oral
6342	Tablet, film coated	Oral
9609	Tablet, film coated	Oral
8873	Tablet	Oral
8118	Tablet, film coated	Oral
6302	Tablet, film coated	Oral
11346	Tablet, film coated	Oral
5484	Tablet	Oral
8462	Tablet	Oral
7769	Tablet, film coated	Oral
3990	Tablet, coated	Oral
7038	Comprimés pelliculés	Oral
1712	Tablet	Oral
7497	Tablet	Oral
11897	Tablet	Oral
7862	Tablet, film coated	Oral
6343	Tablet, film coated	Oral
9610	Tablet, film coated	Oral
8874	Tablet	Oral
8119	Tablet, film coated	Oral
6303	Tablet, film coated	Oral
11347	Tablet, film coated	Oral
5485	Tablet	Oral
7384	Tablet	Oral
7768	Tablet, film coated	Oral
4094	Tablet, coated	Oral
7037	Comprimés pelliculés	Oral
1713	Tablet	Oral
7498	Tablet	Oral
6301	Tablet, film coated	Oral
11348	Tablet, film coated	Oral
7767	Tablet, film coated	Oral
5565	Tablet	Oral
7724	Tablet, film coated	Oral
11345	Tablet, film coated	Oral
5761	Tablet, coated	Oral
6100	Tablet, film coated	Oral
10357	Tablet	Oral
6101	Tablet, film coated	Oral
9745	Tablet	Oral
8403	Tablet, film coated	Oral
5376	Tablet	Oral
5811	Tablet, film coated	Oral
10547	Tablet, film coated	Oral
7727	Tablet	Oral
5856	Gélule	Oral
7601	Tablet, film coated	Oral
7184	Capsule	Oral
10580	Capsule	Oral
3367	Gélule	Oral
8444	Powder for oral suspension	Oral
9353	Capsule	Oral
9063	Tablet 	Oral
10814	Comprimés	Oral
5278	Tablet	Oral
5252	Tablet	Oral
8542	Solution for injection	SC
9065	Tablet 	Oral
9064	Tablet 	Oral
7510	Capsule, hard	Oral
9160	Tablet, film coated	Oral
9161	Tablet, film coated	Oral
10191	Tablet, film coated	Oral
8312	Tablet	Oral
7947	Tablet, film coated	Oral
11322	Tablet, film coated	Oral
10192	Tablet, film coated	Oral
8313	Tablet	Oral
11748	Tablet, film coated	Oral
10190	Tablet, film coated	Oral
11747	Tablet, film coated	Oral
10635	Capsule, hard	Oral
11188	Tablet, film coated	Oral
10636	Capsule, hard	Oral
11189	Tablet, film coated	Oral
11190	Tablet, film coated	Oral
8035	Caplet, film coated	Oral
8034	Caplet, film coated	Oral
8721	Capsule, hard	Oral
8722	Capsule, hard	Oral
8723	Capsule, hard	Oral
7729	Solution	Topical
7869	Cream	Topical
11797	Cream	Topical
4646	Topical gel	Topical
7332	Cream	Topical
9496	Gel	Topical
4313	Cream	Topical
2886	Cream	Topical
3902	Film forming solution for topical application	Topical
11788	Film forming solution for topical application	Topical
4067	Cream	Topical
10122	Cream	Topical
7156	Cream	Topical
4714	Cream	Topical
4362	Cream	Topical
10202	Spray	Topical
6385	Spray	Topical
3903	Solution filmagene pour application locale	Topical
9157	Vernis a ongle medicamenteux	Topical
2748	Cream	Topical
11088	Solution	Topical
4423	Tablet, scored	Oral
856	Tablet	Oral
5589	Tablet	Oral
8341	Tablet	Oral
7155	Tablet	Oral
4715	Tablet	Oral
4361	Tablet, scored	Oral
4568	Ointment	Topical
4641	Ointment	Topical
4610	Ointment	Topical
4621	Ointment	Topical
7558	Solution pour application locale	Topical
10168	Gel	Topical
259	Emulsion	Topical
4499	Liquid 	Topical
