MoPHCode	RegistrationNumber	ResponsibleParty	ResponsiblePartyCountry	CargoShippingTerms
9133	186115/13	Swiss Parenterals Ltd	India	CIF
5313	23601/06	Renaudin 	France	CIF
9552	34018/1	SALFSpA Laboratorio Farmacologico	Italy	CIF
10877	28222/1	Sanofi Belgium	Belgium	CIF
10186	132719/1	Karo Pharma AB	Sweden	CIF
10204	182019/1	Karo Pharma AB	Sweden	CIF
10396	197819/1	Pfizer Ltd	UK	CIF
8794	110115/1	Pfizer Ltd	UK	CIF
9067	8017/1	Arrow Génériques	France	CIF
9899	169418/1	Arrow Génériques	France	CIF
11459	93222/1	Arrow Génériques	France	CIF
9025	156916/1	Laboratoires Biogaran	France	CIF
7087	186473/12	Gador SA	Argentine	CIF
9068	7917/1	Arrow Génériques	France	CIF
9898	169518/1	Arrow Génériques	France	CIF
11460	93422/1	Arrow Génériques	France	CIF
9026	157016/1	Laboratoires Biogaran	France	CIF
7088	186474/12	Gador SA	Argentine	CIF
4267	25486			FOB
11495	54123/1	AA Pharma Inc.	Canada	CIF
6441	219226/09	Therabel Lucien Pharma 	France	CIF
11594	115123/1			FOB
7703	187434/13	Medical Union Pharmaceuticals (MUP)	Egypt	CIF
9781	160515/1	Medical Union Pharmaceuticals (MUP)	Egypt	CIF
10297	152419/1	Aburaihan Pharmaceutical Company	Iran	CIF
10298	172219/1	Aburaihan Pharmaceutical Company	Iran	CIF
9120	28517/1	Care Pharmaceuticals PTY Ltd	Australia	CIF
10236	77018/1	Sobhan Darou Company	Iran	CIF
10425	76220/1			FOB
10248	144619/1	GSK Consumer Healthcare Schweiz AG 	Switzerland	CIF
10199	144519/1	Haleon Schweiz AG	Switzerland	CIF
1169	22857/74	Merz Pharmaceuticals GmbH	Germany	CIF
5569	218155/09	Merz Pharmaceuticals GmbH	Germany	CIF
9347	416/1	Chemische Fabrik Kreussler & Co GmbH	Germany	CIF
9348	316/1	Chemische Fabrik Kreussler & Co GmbH	Germany	CIF
9346	216/1	Chemische Fabrik Kreussler & Co GmbH	Germany	CIF
8157	59315/1	OM Pharma SA	Switzerland	CIF
8158	59215/1	OM Pharma SA	Switzerland	CIF
7080	24718/79			CIF
7081	24717/79			CIF
3427	135258/97			CIF
6927	96687/12	Innothera Chouzy	France	CIF
5878	23726/06	Faes Farma SA	Spain	CIF
9608	45018/1	Faes Farma SA	Spain	CIF
2361	27883	Les Laboratoires Servier	France	CIF
8290	11815/1	Les Laboratoires Servier Industrie	France	CIF
9438	40918/1	Les Laboratoires Servier	France	CIF
8886	115216/1	Laboratoires Tonipharm	France	CIF
3196	38920/97	Ipsen Consumer Healthcare	France	CIF
8031	136515/1	Ipsen Consumer Healthcare	France	CIF
10968	94221/1	Laboratoires Biogaran	France	CIF
10969	94321/1	Laboratoires Biogaran	France	CIF
10158	97819/1	Meda Pharma GmbH & Co KG	Germany	CIF
1001	MP VA 581/91	Apotex Inc	Canada	CIF
1651	25799			CIF
4874	27591/94			FOB
1002	MP VB 581/91	Apotex Inc	Canada	CIF
1652	25800			CIF
4875	27592/94			FOB
10132	143419/1	Laboratoires Biogaran	France	CIF
10177	143519/1	Laboratoires Biogaran	France	CIF
6516	167169/10	AstraZeneca AB	Sweden	CIF
11755	77022/1	Ilko Ilac Sanayi ve Tic. A.S	Turkey	CIF
7573	185823/13	AstraZeneca AB	Sweden	CIF
11756	77222/1	Ilko Ilac Sanayi ve Tic. A.S	Turkey	CIF
11441	69022/1	Atnahs Pharma UK Limited	UK	CIF
978	261444/97	Apotex Inc	Canada	CIF
11080	115222/1	Laboratoires Biogaran	France	CIF
4249	974227/01			FOB
480	27945/95	Almirall SA	Spain	CIF
11442	68822/1	Atnahs Pharma UK Limited	UK	CIF
4260	974230/01			FOB
481	27946/95	Almirall SA	Spain	CIF
10970	102221/1	Laboratoires Biogaran	France	CIF
10971	102121/1	Laboratoires Biogaran	France	CIF
11045	78521/1	Cheplapharm Arzneimittel GmbH	Germany	CIF
4694	23650/06			FOB
5951	221990/09	Apotex Inc	Canada	CIF
5039	194106/05			CIF
5506	24945/07			FOB
5192	24714/07			FOB
11444	35123/1			FOB
4078	23881/07	Normon SA	Spain	CIF
11384	72422/1	Laboratoires Biogaran	France	CIF
6308	23639/06	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan	CIF
8768	34316/1			FOB
11561	81723/1	Algorithm S.A.L., Zouk Mosbeh	Lebanon	FOB
4695	23701/06			FOB
5041	194101/05			CIF
5507	24944/07			FOB
5181	24718/07			FOB
4079	23882/07	Normon SA	Spain	CIF
11385	72322/1	Laboratoires Biogaran	France	CIF
6309	24676/07	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan	CIF
8767	34416/1			FOB
4693	23649/06			FOB
5957	219480/10	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
11445	35223/1			FOB
7838	66314/1	Normon SA	Spain	CIF
11251	121720/1	Arrow Génériques	France	CIF
11383	72222/1	Laboratoires Biogaran	France	CIF
11252	121820/1	Arrow Génériques	France	CIF
11253	121920/1	Arrow Génériques	France	CIF
3686	236734	Berlin Chemie AG	Germany	CIF
11030	114621/1	Algorithm S.A.L.	Lebanon	FOB
10973	51122/1	Laboratoires Biogaran	France	CIF
10778	85821/1			FOB
9901	6319/1	Omega Laboratories Ltd	Canada	CIF
9853	15919/1	Cheplapharm Arzneimittel GmbH	Germany	CIF
9467	162017/1	Arrow Génériques	France	CIF
9465	162117/1	Arrow Génériques	France	CIF
9968	16019/1	Cheplapharm Arzneimittel GmbH	Germany	CIF
9466	162217/1	Arrow Génériques	France	CIF
4268	974228/01			FOB
11443	68922/1	Atnahs Pharma UK Limited	UK	CIF
4269	974229/01			FOB
4696	23702/06			FOB
6715	166532/11			FOB
5397	222455/08			FOB
8769	34516/1			FOB
4697	23703/06			FOB
6338	96410/11	Menarini International Operations Luxembourg SA	Luxembourg	CIF
6339	96411/11	Menarini International Operations Luxembourg SA	Luxembourg	CIF
4321	25483			FOB
5516	221711/08			FOB
5518	221712/08			FOB
3531	195452/04			CIF
10779	154820/1			FOB
7746	97698/11	Tad Pharma GmbH	Germany	CIF
5074	24384/06			FOB
5585	221156/08			CIF
7274	186365/13	Arrow Génériques	France	CIF
11767	69421/1	Laboratoires Biogaran	France	CIF
5266	222226/07			CIF
6471	167490/10	Remedica Ltd 	Cyprus	CIF
6256	167177/10	SAJA- Saudi Arabia Japanese Pharmaceutical Co	Saudi Arabia	CIF
3950	148393/04			CIF
5695	23648/06	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
1858	974224/01			CIF
7243	219270/09	Bluepharma Industria Farmaceutica SA	Portugal	CIF
7330	96881/12			FOB
10780	154920/1			FOB
7347	97882/12			FOB
5586	221157/08			CIF
7273	186364/13	Arrow Génériques	France	CIF
11766	69321/1	Laboratoires Biogaran	France	CIF
8570	1615/1	Industria Quimica Farmaceutica Vir SA	Spain	CIF
6407	167489/10	Remedica Ltd 	Cyprus	CIF
7331	96880/12			FOB
10835	149520/1	Arrow Génériques	France	CIF
7167	96655/12	Remedica Ltd 	Cyprus	CIF
6681	167745/11	Remedica Ltd 	Cyprus	CIF
6682	167744/11			CIF
10773	6821/1	Laboratorio Reig Jofre SA	Spain	CIF
2688	261012	Bayer AG	Germany	CIF
3717	27873	Istituto Lusofarmaco d'Italia SpA	Italy	CIF
4311	236308/98			FOB
4312	195142/04			FOB
5285	221420/08			FOB
5286	221419/08			FOB
10278	95019/1	Abbott Laboratories GmbH	Germany	CIF
10279	95319/1	Abbott Laboratories GmbH	Germany	CIF
3822	27355	Apotex Inc	Canada	CIF
4250	236261/98			FOB
4252	236264/98			FOB
4251	236263/98			FOB
3055	135276			CIF
3045	27057			CIF
4253	236265/98			FOB
3819	27352	Apotex Inc	Canada	CIF
4275	78968/98			FOB
4578	46			FOB
6714	167735/11			FOB
5171	23620/06			FOB
3820	27353	Apotex Inc	Canada	CIF
4276	78969/98			FOB
5173	23621/06			FOB
322	208363/97	N.V. Organon	The Netherlands	CIF
11349	67922/1	Atnahs Pharma UK Limited	UK	CIF
3213	405682/00	Pharminicio SL	Spain	CIF
11350	68722/1	Atnahs Pharma UK Limited	UK	CIF
11351	68622/1	Atnahs Pharma UK Limited	UK	CIF
3212	405681/00	Pharminicio SL	Spain	CIF
5229	24979/07	Les Laboratoires Servier	France	CIF
5236	24978/07	Les Laboratoires Servier	France	CIF
4263	194926/05			FOB
10883	27122/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
6481	168202/10	Bluepharma Industria Farmaceutica SA	Portugal	CIF
6340	96388/11	Apotex Inc	Canada	CIF
7710	186056/13	Normon SA	Spain	CIF
4264	194927/05			FOB
10884	27022/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
6480	168203/10	Bluepharma Industria Farmaceutica SA	Portugal	CIF
5669	221713/08	Apotex Inc	Canada	CIF
7711	186057/13	Normon SA	Spain	CIF
7172	97478/12	Remedica Ltd 	Cyprus	CIF
4265	194925/05			FOB
10885	26822/1	Sanofi Aventis Deutschland GmbH	Germany	CIF
7244	96648/12	Bluepharma Industria Farmaceutica SA	Portugal	CIF
5670	221714/08	Apotex Inc	Canada	CIF
7712	186058/13	Normon SA	Spain	CIF
7171	97479/12	Remedica Ltd 	Cyprus	CIF
4266	194928/05			FOB
4278	78966/98			FOB
11352	69122/1	Atnahs Pharma UK Limited	UK	CIF
3530	148386/04	Pharminicio SL	Spain	CIF
5615	221706/08	Les Laboratoires Servier	France	CIF
5616	221705/08	Les Laboratoires Servier	France	CIF
6262	166647/11	Les Laboratoires Servier	France	CIF
5577	221880/08			FOB
5576	221672/08			FOB
5729	218136/09			FOB
5730	218135/09			FOB
5880	218001/09	Les Laboratoires Servier	France	CIF
11504	30921/1	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
5881	218002/09	Les Laboratoires Servier	France	CIF
11505	31021/1	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
5883	218011/09	Les Laboratoires Servier	France	CIF
11507	31121/1	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
6836	167605/10	Ferrer Internacional SA	Spain	CIF
10140	113019/1	Genericon Pharma GmbH	Austria	CIF
10139	113119/1	Genericon Pharma GmbH	Austria	CIF
10141	113219/1	Genericon Pharma GmbH	Austria	CIF
10142	113319/1	Genericon Pharma GmbH	Austria	CIF
8130	27015/1	Les Laboratoires Servier	France	CIF
8132	26915/1	Les Laboratoires Servier	France	CIF
8133	26715/1	Les Laboratoires Servier	France	CIF
9678	99818/1	Les Laboratoires Servier	France	CIF
9679	99918/1	Les Laboratoires Servier	France	CIF
6845	97841/11			FOB
5329	194127/05			CIF
4745	195018/04			FOB
10943	154420/1	Laboratoires Biogaran	France	CIF
7173	97241/12	Remedica Ltd 	Cyprus	CIF
6846	97842/11			FOB
5244	222208/07			FOB
10944	154320/1	Laboratoires Biogaran	France	CIF
11772	137623/1	Novartis Pharma AG	Switzerland	CIF
7045	167488/10	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
6477	168101/10			CIF
7063	96571/12	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
11814	41322/1			FOB
8618	44416/1	Arrow Génériques	France	CIF
7889	96582/12			FOB
11773	137723/1	Novartis Pharma AG	Switzerland	CIF
7046	167487/10	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
6855	168103/10	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
7065	96572/12	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
11815	41222/1			FOB
8619	44316/1	Arrow Génériques	France	CIF
7934	101714/1	Tecnimede Espana Industria Farmaceutica SA	Spain	CIF
7890	96583/12			FOB
7891	96584/12			FOB
7972	96581/12			FOB
10871	27422/1	Sanofi Aventis Groupe	France	CIF
7390	185959/13			FOB
9295	102816/1	Medochemie Ltd	Cyprus	CIF
7675	30614/1	Dar Al Dawa Development & Investment Co Ltd	Jordan	CIF
7333	97360/12			FOB
10586	17921/1			FOB
9070	23717/1	Arrow Génériques	France	CIF
6222	167545/10			FOB
10872	26722/1	Sanofi Aventis Groupe	France	CIF
7389	185958/13			FOB
9294	102716/1	Medochemie Ltd	Cyprus	CIF
7603	185812/13	Dar Al Dawa Development & Investment Co Ltd	Jordan	CIF
7338	97361/12	Benta SAL	Lebanon	FOB
10587	17821/1			FOB
9071	23817/1	Arrow Génériques	France	CIF
6223	167479/10			FOB
11219	87421/1	AstraZeneca AG	Switzerland	CIF
1381	405698/00			CIF
6823	218834/09	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan	CIF
11274	129222/1			FOB
10111	83018/1	Laboratoires Biogaran	France	CIF
11220	87321/1	AstraZeneca AG	Switzerland	CIF
1382	974041/02			CIF
6822	218835/09	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan	CIF
11275	129422/1			FOB
10110	83118/1	Laboratoires Biogaran	France	CIF
10109	83218/1	Laboratoires Biogaran	France	CIF
2265	974489/00	Boehringer Ingelheim International GmbH 	Germany	CIF
5077	24461/06			FOB
11466	121218/1	KrKa, dd, Novo Mesto	Slovenia	CIF
2308	974488/00	Boehringer Ingelheim International GmbH 	Germany	CIF
9589	33818/1	Qualigen SL	Spain	CIF
5078	24460/06			FOB
11467	121118/1	KrKa, dd, Novo Mesto	Slovenia	CIF
9796	108518/1	Daiichi Sankyo Europe GmbH	Germany	CIF
6576	96412/11	Menarini International Operations Luxembourg SA	Luxembourg	CIF
6766	97047/12	Menarini International Operations Luxembourg SA	Luxembourg	CIF
11246	3321/1	Normon SA	Spain	CIF
9795	108618/1	Daiichi Sankyo Europe GmbH	Germany	CIF
6577	96413/11	Menarini International Operations Luxembourg SA	Luxembourg	CIF
6764	97048/12	Menarini International Operations Luxembourg SA	Luxembourg	CIF
11247	3221/1	Normon SA	Spain	CIF
9794	108718/1	Daiichi Sankyo Europe GmbH	Germany	CIF
6578	96414/11	Menarini International Operations Luxembourg SA	Luxembourg	CIF
6765	97049/12	Menarini International Operations Luxembourg SA	Luxembourg	CIF
11248	3121/1	Normon SA	Spain	CIF
11163	150820/1	The Arab Pharmaceutical Manufacturing PSC, Sult	Jordan	CIF
11895	151120/1	The Arab Pharmaceutical Manufacturing PSC, Sult	Jordan	CIF
6847	97888/12			FOB
4645	195019/04			FOB
9286	101017/1	Arrow Génériques	France	CIF
10945	154220/1	Laboratoires Biogaran	France	CIF
7174	97396/12	Remedica Ltd 	Cyprus	CIF
6848	97889/12			FOB
5475	222489/08			FOB
9287	101117/1	Arrow Génériques	France	CIF
10946	154120/1	Laboratoires Biogaran	France	CIF
11774	137323/1	Novartis Pharma AG	Switzerland	CIF
7892	186255/13			FOB
11775	137423/1	Novartis Pharma AG	Switzerland	CIF
6478	168104/10			CIF
6574	218776/09	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
8354	096851/12	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
7935	101814/1	Tecnimede Espana Industria Farmaceutica SA	Spain	CIF
7893	186256/13			FOB
11776	137523/1	Novartis Pharma AG	Switzerland	CIF
6854	168105/10	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
7894	186257/13			FOB
7896	186259/13			FOB
7895	186258/13			FOB
10874	27222/1	Sanofi Aventis Groupe	France	CIF
7388	185987/13			FOB
10528	130517/1	Medochemie Ltd	Cyprus	CIF
7674	30514/1	Dar Al Dawa Development & Investment Co Ltd	Jordan	CIF
8512	185801/13			FOB
10588	17721/1			FOB
6224	167546/10			FOB
10873	27322/1	Sanofi Aventis Groupe	France	CIF
7386	185988/13			FOB
10529	130417/1	Medochemie Ltd	Cyprus	CIF
7676	30714/1	Dar Al Dawa Development & Investment Co Ltd	Jordan	CIF
8513	185802/13			FOB
10589	17621/1			FOB
6225	167547/10			FOB
7387	185989/13			FOB
7604	185813/13	Dar Al Dawa Development & Investment Co Ltd	Jordan	CIF
8514	185803/13			FOB
10590	17521/1			FOB
11221	78221/1	AstraZeneca AG	Switzerland	CIF
6018	23609/06			CIF
11277	150322/1			FOB
10112	83418/1	Laboratoires Biogaran	France	CIF
6017	24537/07			CIF
10113	83318/1	Laboratoires Biogaran	France	CIF
2326	974085/02	Boehringer Ingelheim International GmbH 	Germany	CIF
5812	222495/08			FOB
7411	187439/13	Menarini International Operations Luxembourg SA under license of Daiichi Sankyo Europe GmbH	Luxembourg	CIF
11516	159920/1	Normon SA	Spain	CIF
7412	187441/13	Menarini International Operations Luxembourg SA under license of Daiichi Sankyo Europe GmbH	Luxembourg	CIF
11517	159820/1	Normon SA	Spain	CIF
7413	187443/13	Menarini International Operations Luxembourg SA under license of Daiichi Sankyo Europe GmbH	Luxembourg	CIF
11515	159720/1	Normon SA	Spain	CIF
7414	187442/13	Menarini International Operations Luxembourg SA under license of Daiichi Sankyo Europe GmbH	Luxembourg	CIF
11514	159620/1	Normon SA	Spain	CIF
11645	36122/1	The Arab Pharmaceutical Manufacturing PSC, Sult	Jordan	CIF
11700	36022/1	The Arab Pharmaceutical Manufacturing PSC, Sult	Jordan	CIF
11777	137823/1	Novartis Pharma AG	Switzerland	CIF
11872	150921/1	Arrow Génériques	France	CIF
8033	24814/1	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
7311	186372/13	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
9801	116416/1	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
10350	166818/1			FOB
11778	137923/1	Novartis Pharma AG	Switzerland	CIF
11873	151021/1	Arrow Génériques	France	CIF
10223	83617/1	Dar Al Dawa Development & Investment Co Ltd	Jordan	CIF
8032	24914/1	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
7314	186370/13	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
8584	109014/1	The United Pharmaceutical Manufacturing Co Ltd	Jordan	CIF
10349	166918/1			FOB
11871	150821/1	Arrow Génériques	France	CIF
9963	123618/1	Daiichi Sankyo Europe GmbH	Germany	CIF
7408	187498/13	Menarini International Operations Luxembourg SA	Luxembourg	CIF
11249	17321/1	Normon SA	Spain	CIF
9961	123718/1	Daiichi Sankyo Europe GmbH	Germany	CIF
7409	187497/13	Menarini International Operations Luxembourg SA	Luxembourg	CIF
11250	17421/1	Normon SA	Spain	CIF
9962	123818/1	Daiichi Sankyo Europe GmbH	Germany	CIF
7410	187496/13	Menarini International Operations Luxembourg SA	Luxembourg	CIF
6461	166980/11	Boehringer Ingelheim International GmbH 	Germany	CIF
11179	84822/1			FOB
6462	166979/11	Boehringer Ingelheim International GmbH 	Germany	CIF
11178	84722/1			FOB
6817	167728/10			FOB
6818	167729/10			FOB
10246	135019/1	Genericon Pharma GmbH	Austria	CIF
10247	134919/1	Genericon Pharma GmbH	Austria	CIF
10245	135119/1	Genericon Pharma GmbH	Austria	CIF
7226	97236/12			FOB
7227	97237/12			FOB
11779	138123/1	Novartis Pharma AG	Switzerland	CIF
11337	9922/1			FOB
11782	138223/1	Novartis Pharma AG	Switzerland	CIF
11255	6220/1	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
11338	10322/1			FOB
11780	138323/1	Novartis Pharma AG	Switzerland	CIF
11339	10022/1			FOB
11781	138023/1	Novartis Pharma AG	Switzerland	CIF
11115	160016/1	Joswe Medical	Jordan	CIF
11257	6120/1	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
11336	10122/1			FOB
11374	1181/1	Dar Al Dawa Development & Investment Co Ltd	Jordan	CIF
11340	10222/1			FOB
7762	60614/1	Menarini International Operations Luxembourg SA	Luxembourg	CIF
11390	154921/1	Normon SA	Spain	CIF
7763	60514/1	Menarini International Operations Luxembourg SA	Luxembourg	CIF
11391	154721/1	Normon SA	Spain	CIF
7764	60214/1	Menarini International Operations Luxembourg SA	Luxembourg	CIF
11394	154521/1	Normon SA	Spain	CIF
7765	60414/1	Menarini International Operations Luxembourg SA	Luxembourg	CIF
11393	154821/1	Normon SA	Spain	CIF
7766	60314/1	Menarini International Operations Luxembourg SA	Luxembourg	CIF
11392	154621/1	Normon SA	Spain	CIF
8447	164215/1	Novartis Pharma AG	Switzerland	CIF
8448	164315/1	Novartis Pharma AG	Switzerland	CIF
8449	164415/1	Novartis Pharma AG	Switzerland	CIF
6727	97664/11			FOB
3898	194917/05			CIF
4674	974220/01			FOB
4371	405487/00			FOB
6728	97662/11			FOB
3900	194916/05			CIF
7169	97041/12	Remedica Ltd 	Cyprus	CIF
4675	974219/01			FOB
4372	405488/00			FOB
6729	97663/11			FOB
3899	194915/05			CIF
7170	97040/12	Remedica Ltd 	Cyprus	CIF
4676	195017/04			FOB
4373	195307/04			FOB
3355	974055/02	Pharminicio SL	Spain	CIF
3571	208659/03	Apotex Inc	Canada	CIF
9005	146916/1	Arrow Génériques	France	CIF
4340	194903/05			FOB
3579	208658/03	Apotex Inc	Canada	CIF
9006	147016/1	Arrow Génériques	France	CIF
4339	194904/05			FOB
4338	194905/05			FOB
6092	167503/10	Apotex Inc	Canada	CIF
5226	24467			FOB
5075	24457/06			FOB
9199	30617/1	Tad Pharma GmbH	Germany	CIF
11795	133622/1	Pharminicio SL	Spain	CIF
11355	97621/1	Arrow Génériques	France	CIF
7525	186173/13	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
5587	222385/08			CIF
3564	194013/05			CIF
6355	221901/08	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
5268	24942/07			FOB
11701	40021/1	Maddox Pharma Swiss BV	The Netherlands	CIF
5486	194304/05	Sun Pharmaceuticals Industries Ltd	India	CIF
10576	8920/1			FOB
4718	194919/05			FOB
3895	148348/04	The Jordanian Pharmaceutical Manufacturing Company (JPM)	Jordan	CIF
7116	097486/12			FOB
6130	221674/08	Spimaco 	Saudi Arabia	CIF
8510	174915/1	Sandoz Pharmaceuticals AG	Switzerland	CIF
6093	167502/10	Apotex Inc	Canada	CIF
5224	24468			FOB
5076	24459/06			FOB
7569	186393/13	Tad Pharma GmbH	Germany	CIF
11794	133522/1	Pharminicio SL	Spain	CIF
8660	186840/14	Pharmadex	Lebanon	FOB
11356	97721/1	Arrow Génériques	France	CIF
8486	186455/12	Globalpharma Co Llc	United Arab Emirates	CIF
7177	166831/11	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
5588	222386/08			CIF
3563	194014/05			CIF
6354	221902/08	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
5267	24941/07			FOB
10175	75315/1	Maddox Pharma Swiss BV	The Netherlands	CIF
5487	195316/04	Sun Pharmaceuticals Industries Ltd	India	CIF
10577	9020/1			FOB
4719	194920/05			FOB
3894	148349/04	The Jordanian Pharmaceutical Manufacturing Company (JPM)	Jordan	CIF
7115	097485/12			FOB
6131	221675/08	Spimaco 	Saudi Arabia	CIF
8509	174815/1	Sandoz Pharmaceuticals AG	Switzerland	CIF
6094	167501/10	Apotex Inc	Canada	CIF
5225	24469			FOB
7490	97883/12			FOB
9200	30717/1	Tad Pharma GmbH	Germany	CIF
10484	145021/1	Arrow Génériques	France	CIF
11617	38423/1	Arrow Génériques	France	CIF
8485	186456/12	Globalpharma Co Llc	United Arab Emirates	CIF
7526	186174/13	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	CIF
5863	218882/09	Dar Al Dawa	Jordan	CIF
6188	168223/10	Dr Lazar y.Cia. S.A.Q.eI	Argentine	CIF
6356	221903/08	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
5269	24943/07			FOB
10174	75215/1	Maddox Pharma Swiss BV	The Netherlands	CIF
10578	9120/1			FOB
4720	194921/05			FOB
5989	218653/10	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan	CIF
8307	76415/1			FOB
6132	221676/08	Spimaco 	Saudi Arabia	CIF
9234	79617/1	Arrow Génériques	France	CIF
11616	38323/1	Arrow Génériques	France	CIF
10579	9220/1			FOB
1711	195490/04			CIF
7496	186099/13	Apotex Inc	Canada	CIF
11896	21422/1	Emcure Pharmaceuticals Ltd	India	CIF
7861	186191/13	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
6342	168138/10			FOB
9609	87318/1			FOB
8873	186622/13	Pharmascience Inc	Canada	CIF
8118	36915/1			FOB
6302	167996/11			FOB
11346	FE15223/1			FOB
5484	195052/04	Sun Pharmaceuticals Industries Ltd	India	CIF
8462	56614/1			FOB
7769	186812/14	Lek Pharmaceuticals dd, Slovenia (raw material)		FOB
3990	24356/06	Gador SA	Argentine	CIF
7038	96883/12	Ibn Al Baytar	Tunisia	CIF
1712	195491/04			CIF
7497	186100/13	Apotex Inc	Canada	CIF
11897	195051/04	Emcure Pharmaceuticals Ltd	India	CIF
7862	186192/13	Tabuk Pharmaceutical Manufacturing Company 	Saudi Arabia	CIF
6343	168139/10			FOB
9610	87418/1			FOB
8874	186624/13	Pharmascience Inc	Canada	CIF
8119	36815/1			FOB
6303	167997/11			FOB
11347	FE15323/1			FOB
5485	195051/04	Sun Pharmaceuticals Industries Ltd	India	CIF
7384	167709/10			FOB
7768	186813/14	Lek Pharmaceuticals dd, Slovenia (raw material)		FOB
4094	24357/06	Gador SA	Argentine	CIF
7037	96884/12	Ibn Al Baytar	Tunisia	CIF
1713	195492/04			CIF
7498	186101/13	Apotex Inc	Canada	CIF
6301	167998/11			FOB
11348	FE15023/1			FOB
7767	186811/14	Lek Pharmaceuticals dd, Slovenia (raw material)		FOB
5565	23863/07	AstraZeneca UK Ltd	UK	CIF
7724	186814/14			FOB
11345	FE15123/1			FOB
5761	218154/09	Gador SA	Argentine	CIF
6100	168117/10			FOB
10357	81720/1			FOB
6101	168118/10			FOB
9745	147914/1			FOB
8403	63115/1	Pfizer Pharma PFE GmbH	Germany	CIF
5376	194483/05			CIF
5811	218025/09			FOB
10547	1921/1			FOB
7727	186994/14	Arrow Génériques	France	CIF
5856	218806/09	SMB SA	Belgium	CIF
7601	222913/10			FOB
7184	186478/12			FOB
10580	42221/1			FOB
3367	974210/01			CIF
8444	106015/1	Laboratorios Rubio SA.	Spain	CIF
9353	111817/1	Amarin Pharma Inc	USA	CIF
9063	163316/1			FOB
10814	62020/1	Laboratoires Biogaran	France	CIF
5278	222422/08			FOB
5252	24932/07			FOB
8542	174615/1	Amgen Europe BV	The Netherlands	CIF
9065	163116/1			FOB
9064	163216/1			FOB
7510	186452/12	SMB SA	Belgium	CIF
9160	30817/1	Abbott Laboratories	UK	CIF
9161	30917/1	Abbott Laboratories	UK	CIF
10191	16920/1	N.V. Organon	The Netherlands	CIF
8312	78814/1	Dr Lazar Y CIa SA.Q.e.I 	Argentine	CIF
7947	97001/12	Marcyrl Pharmaceuticals Industries (MPI)	Egypt	CIF
11322	24523/1	Marcyrl Pharmaceuticals Industries (MPI)	Egypt	CIF
10192	16720/1	N.V. Organon	The Netherlands	CIF
8313	78914/1	Dr Lazar Y CIa SA.Q.e.I 	Argentine	CIF
11748	47124/1	Marcyrl Pharmaceuticals Industries (MPI)		CIF
10190	16820/1	N.V. Organon	The Netherlands	CIF
11747	47224/1	Marcyrl Pharmaceuticals Industries (MPI)	Egypt	CIF
10635	92520/1	Les Laboratoires Servier	France	CIF
11188	182720/1	Sanofi Aventis Ireland Ltd. T/A Sanofi	Ireland	CIF
10636	92620/1	Les Laboratoires Servier	France	CIF
11189	182820/1	Sanofi Aventis Ireland Ltd. T/A Sanofi	Ireland	CIF
11190	182820/1	Sanofi Aventis Ireland Ltd. T/A Sanofi	Ireland	CIF
