MoPHCode	RegistrationNumber	DrugName	Presentation	Agent	Manufacturer	Country	Public Price LL	Pharmacist Margin	Stratum	public price Decision 119/1 20230126	Responsible Party Name	Responsible Party Country	Exch_Dates
10857	165320/1	ASPRIVIT	20	Mediterranean Pharmaceutical Company	Pharmex Advanced Laboratories SL	Spain	186,794	23.08	A1	2.09	Pharmex Advanced Laboratories SL	Spain	2/4/2025
9480	107114/1	ASPROTHIN	30	Pharmadex	Pharmadex	Lebanon	148,463	23.08	A1	1.66			2/4/2025
10896	195719/1	ASTEFOR	30	Macromed S.A.R.L.	Farmasierra Manufacturing SL	Spain	935,314	23.08	A2	10.45	Farmasierra Laboratorios SL	Spain	2/4/2025
5949	24985/07	ASTHALIN	20 x 2.5ml	Droguerie de l'Union	Cipla Ltd	India	325,210	23.08	A1	3.63	Cipla Ltd	India	2/4/2025
11219	87421/1	ATACAND	28	Omnipharma	AstraZeneca AB	Sweden	807,649	23.08	A2	9.02	AstraZeneca AG	Switzerland	2/4/2025
11220	87321/1	ATACAND	28	Omnipharma	AstraZeneca AB	Sweden	1,077,762	23.08	A2	12.04	AstraZeneca AG	Switzerland	2/4/2025
11221	78221/1	ATACAND PLUS	28	Omnipharma	AstraZeneca AB	Sweden	1,162,424	23.08	A2	12.99	AstraZeneca AG	Switzerland	2/4/2025
11080	115222/1	ATENOLOL BIOGARAN	30	Commercial and Trading Ressources SAL (CTR)	Anpharm Przedsiebiorstwo Farmaceutyczne SA	Poland	295,645	23.08	A1	3.30	Laboratoires Biogaran	France	2/4/2025
3355	974055/02	ATERKEY	28	Mediterranean Pharmaceutical Company	Pharminicio SL	Spain	1,053,573	23.08	A2	11.77	Pharminicio SL	Spain	2/4/2025
4249	974227/01	ATONIUM	30	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	239,588	23.08	A1	2.68			2/4/2025
4260	974230/01	ATONIUM	30	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	461,207	23.08	A2	5.15			2/4/2025
4268	974228/01	ATONIUM PLUS	30	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	738,473	23.08	A2	8.25			2/4/2025
4269	974229/01	ATONIUM PLUS	30	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	738,473	23.08	A2	8.25			2/4/2025
5075	24457/06	ATORLIP 10	30	Benta Trading Co s.a.l.	Manufactured by Benta SAL Trademark owner Abbott HealthCare Products BV	Lebanon	1,052,037	23.08	B	11.75			2/4/2025
5076	24459/06	ATORLIP 20	30	Benta Trading Co s.a.l.	Manufactured by Benta SAL Trademark owner Abbott HealthCare Products BV	Lebanon	1,279,850	23.08	A2	14.30			2/4/2025
7490	97883/12	ATORLIP 40	30	Benta Trading Co s.a.l.	Manufactured by Benta SAL Trademark owner Abbott HealthCare Products BV	Lebanon	1,484,626	23.08	B	16.59			2/4/2025
7569	186393/13	ATORVA TAD	30	Pharmamedic S.A.R.L.	Kr Ka, d.d, Novo Mesto	Slovenia	1,087,169	23.08	A2	12.15	Tad Pharma GmbH	Germany	2/4/2025
9199	30617/1	ATORVA TAD	30	Pharmamedic S.A.R.L.	Kr Ka, d.d, Novo Mesto	Slovenia	677,297	23.08	A1	7.57	Tad Pharma GmbH	Germany	2/4/2025
9200	30717/1	ATORVA TAD	30	Pharmamedic S.A.R.L.	Kr Ka, d.d, Novo Mesto	Slovenia	1,405,659	23.08	A2	15.71	Tad Pharma GmbH	Germany	2/4/2025
11795	133622/1	ATORVAKEY-10	30	Mediterranean Pharmaceutical Company	Emcure Pharmaceuticals Ltd	India	362,837	23.08	A1	4.05	Pharminicio SL	Spain	2/4/2025
11794	133522/1	ATORVAKEY-20	30	Mediterranean Pharmaceutical Company	Emcure Pharmaceuticals Ltd	India	362,837	23.08	A1	4.05	Pharminicio SL	Spain	2/4/2025
8660	186840/14	ATORVASTATIN PHARMADEX	30	Pharmadex	Pharmadex	Lebanon	769,190	23.08	A2	8.59	Pharmadex	Lebanon	2/4/2025
9234	79617/1	ATORVASTATINE ARROW GENERIQUES	30	Darapharma S.A.L.	APL Swift Services (Malta) Limited	Malta	564,414	23.08	A1	6.31	Arrow Génériques	France	2/4/2025
11355	97621/1	ATORVASTATINE ARROW GENERIQUES	30	Darapharma S.A.L.	APL Swift Services (Malta) Limited	Malta	567,102	23.08	A1	6.34	Arrow Génériques	France	2/4/2025
11356	97721/1	ATORVASTATINE ARROW GENERIQUES	30	Darapharma S.A.L.	APL Swift Services (Malta) Limited	Malta	567,102	23.08	A1	6.34	Arrow Génériques	France	2/4/2025
11616	38323/1	ATORVASTATINE ARROW GENERIQUES	30	Darapharma S.A.L.	Generis Farmaceutica SA	Portugal	564,414	23.08	A1	6.31	Arrow Génériques	France	2/4/2025
11935	8324/1	ATORVASTATINE ARROW GENERIQUES	30	Darapharma S.A.L.	Generis Farmaceutica SA	Portugal	567,102	23.08	A1	6.34	Arrow Génériques	France	2/4/2025
11936	10124/1	ATORVASTATINE ARROW GENERIQUES	30	Darapharma S.A.L.	Generis Farmaceutica SA	Portugal	567,102	23.08	A1	6.34	Arrow Génériques	France	2/4/2025
10484	145021/1	ATORVASTATINE ARROW GENERQUES	30	Darapharma S.A.L.	APL Swift Services (Malta) Limited	Malta	564,414	23.08	A1	6.31	Arrow Génériques	France	2/4/2025
11617	38423/1	ATORVASTATINE ARROW GENERQUES	30	Darapharma S.A.L.	Generis Farmaceutica SA	Portugal	564,414	23.08	A1	6.31	Arrow Génériques	France	2/4/2025
10190	16820/1	ATOZET 	30	Droguerie de l'Union	Merck Sharp & Dohme BV	The Netherlands	4,632,225	23.08	B	51.76	N.V. Organon	The Netherlands	2/4/2025
10191	16920/1	ATOZET 	30	Droguerie de l'Union	Merck Sharp & Dohme BV	The Netherlands	4,632,225	23.08	B	51.76	N.V. Organon	The Netherlands	2/4/2025
10192	16720/1	ATOZET 	30	Droguerie de l'Union	Merck Sharp & Dohme BV	The Netherlands	4,632,225	23.08	B	51.76	N.V. Organon	The Netherlands	2/4/2025
4214	19/95	ATROPINE	10 x 1ml	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	702,149	16.67		7.85			2/4/2025
4236	20/95	ATROPINE	10 x 1ml	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	680,315	16.67		7.60			2/4/2025
4864	21/95	ATROPINE I.V.  0.25 MG.	100 x 1ml	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	2,412,129	16.67		26.95			2/4/2025
2177	261487/97	ATROPINE SULFATE RENAUDIN	10x1ml	Minapharm Halabi	Renaudin 	France	397,777	23.08	A1	4.44	Renaudin 		2/4/2025
2179	D0744/92	ATROPINE SULFATE RENAUDIN	10 x 1ml	Minapharm Halabi	Renaudin 	France	385,683	23.08	A1	4.31	Renaudin 		2/4/2025
11027	83421/1	ATROPINE SULFATEAGUETTANT	10Prefilled Syringes	Pharmamed	Aguettant	France	7,805,376	21.26	C	87.21	Aguettant	France	2/4/2025
1878	208478	ATROVENT	20	Mersaco	Laboratoire Unither	France	544,256	23.08	A1	6.08	Boehringer Ingelheim International GmbH 	Germany	2/4/2025
1879	135386	ATROVENT	20	Mersaco	Laboratoire Unither	France	713,580	23.08	A1	7.97	Boehringer Ingelheim International GmbH 	Germany	2/4/2025
2227	38682	ATROVENT COMP. HFA	10ml	Mersaco	Boehringer Ingelheim Pharma GmbH & Co KG	Germany	847,965	23.08	A2	9.47	Boehringer Ingelheim International GmbH 	Germany	2/4/2025
2226	208689/03	ATROVENT N	10ml/ 200 metered doses	Mersaco	Boehringer Ingelheim Pharma GmbH & Co KG	Germany	428,686	23.08	A1	4.79			2/4/2025
11639	38416/1	ATYPRAL	28	Mediterranean Pharmaceutical Company	Pharminicio SL	Spain	712,237	23.08	A1	7.96	Pharminicio SL	Spain	2/4/2025
11640	38316/1	ATYPRAL	28	Mediterranean Pharmaceutical Company	Pharminicio SL	Spain	712,237	23.08	A1	7.96	Pharminicio SL	Spain	2/4/2025
7849	186999/14	AUBAGIO	28	Mersaco	Opella Healthcare International SAS	France	38,773,533	19.35	D	433.22	Sanofi Aventis Groupe	France	2/4/2025
11947	116423/1	AUBAGIO	28	Mersaco	Opella Healthcare International SAS	France	38,773,533	19.35	D	433.22	Sanofi Winthrop Industrie	France	2/4/2025
730	26737	AUGMENTIN	20	Abela Frères S.A.L.	SmithKline Beecham Ltd	UK	490,503	23.08	A1	5.48	SmithKline Beecham Ltd	UK	2/4/2025
10271	142319/1	AUGMENTIN	100ml	Abela Frères S.A.L.	GlaxoWellcome Production	France	302,365	23.08	A1	3.38	Beecham Group PLC	UK	2/4/2025
10272	142419/1	AUGMENTIN	100ml	Abela Frères S.A.L.	GlaxoWellcome Production	France	542,912	23.08	A1	6.07	Beecham Group PLC	UK	2/4/2025
10280	155919/1	AUGMENTIN	70ml	Abela Frères S.A.L.	GlaxoWellcome Production	France	524,099	23.08	A1	5.86	GlaxoSmithKline AG	Switzerland	2/4/2025
9849	179118/1	AUGMENTIN	20	Abela Frères S.A.L.	Pharmaline SAL Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon	454,537	23.08	A1	5.08			2/4/2025
8919	174916/1	AUGMENTIN 	14	Abela Frères S.A.L.	Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon	609,206	23.08	A1	6.81			2/4/2025
6251	166503/11	AUGMENTIN ES	100ml	Abela Frères S.A.L.	GlaxoWellcome Production	France	846,621	23.08	A2	9.46	GlaxoSmithKline Produtos Farmaceuticos Lda	Portugal	2/4/2025
8528	167115/1	AURICULARUM	1x1	Pharmamedic S.A.R.L.	Laboratoires Grimberg SA	France	755,239	23.08	A2	8.44	Laboratoires Grimberg SA	France	2/4/2025
4270	18540	AURIMEL	100ml	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	319,963	23.08	A1	3.58			2/4/2025
8807	222927/14	AVALON AVOBAN 	15g	C. Catafago & Co	Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma	Saudi Arabia	460,938	23.08	A1	5.15	Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma	Saudi Arabia	2/4/2025
2198	973411/01	AVALOX	5	Droguerie R. Pharaon & Fils S.A.L.	Bayer HealthCare Manufacturing SRL	Italy	1,087,169	23.08	A2	12.15	Bayer AG	Germany	2/4/2025
2199	973412/01	AVALOX	7	Droguerie R. Pharaon & Fils S.A.L.	Bayer HealthCare Manufacturing SRL	Italy	1,521,230	23.08	B	17.00	Bayer AG	Germany	2/4/2025
5222	208571/03	AVALOX	5x250ml	Droguerie R. Pharaon & Fils S.A.L.	Fresenius Kabi Italia SRL, Italy	Italy	9,052,935	21.26	C	101.15	Bayer AG	Germany	2/4/2025
5980	218766/09	AVAMYS	120 doses	Abela Frères S.A.L.	Glaxo Operations UK Ltd	UK	722,987	23.08	A2	8.08	Glaxo Operations UK Ltd	UK	2/4/2025
11160	76221/1	AVAMYS	120 doses	Abela Frères S.A.L.	Glaxo Wellcome SA	Spain	722,987	23.08	A2	8.08	GlaxoSmithKline Australia Pty Ltd	Australia	2/4/2025
5554	221325/08	AVASTIN	1Vial x 4ml	Omnipharma	F. Hoffmann La Roche Manufacturing Site Kaiseraugst	Switzerland	24,533,456	19.35	D	274.12	F. Hoffmann La Roche Ltd	Switzerland	2/4/2025
5555	221326/08	AVASTIN	1Vial x 16ml	Omnipharma	F. Hoffmann La Roche Manufacturing Site Kaiseraugst	Switzerland	75,875,312	2.44	E2	847.77			2/4/2025
6109	167512/10	AVASTIN	1Vial x 4ml	Omnipharma	Roche Diagnostics  GmbH 	Germany	24,533,456	19.35	D	274.12	F. Hoffmann La Roche Ltd	Switzerland	2/4/2025
6110	167517/10	AVASTIN	1Vial x 16ml	Omnipharma	Roche Diagnostics  GmbH 	Germany	75,875,312	2.44	E2	847.77	F. Hoffmann La Roche Ltd	Switzerland	2/4/2025
5673	218859/09	AVAXIM PEDIATRIQUE (vaccin inactivé de l'hépatite A adsorbé)	Seringue préremplie= 1dose	Mersaco	Sanofi Pasteur 	France	1,531,980	23.08	B	17.12	Sanofi Pasteur 	France	2/4/2025
10711	49519/1	AVIRAVIR	30	BroadMed SAL	Pharmactive Ilac San. ve Tic. AS	Turkey	32,224,230	19.35	D	360.05	Pharmactive Ilac San. ve Tic. AS	Turkey	2/4/2025
10712	49419/1	AVIRAVIR	30	BroadMed SAL	Pharmactive Ilac San. ve Tic. AS	Turkey	31,285,380	19.35	D	349.56	Pharmactive Ilac San. ve Tic. AS		2/4/2025
11941	52821/1	AVITAR 400	7	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan	913,813	23.08	A2	10.21	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan	2/4/2025
11942	52721/1	AVITAR 400	5	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan	651,764	23.08	A1	7.28	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan	2/4/2025
10550	45720/1	AVIXAN	60	Droguerie de l'Union	Algorithm S.A.L. (Packager and final batch releaser), Macleods Pharmaceuticals Limited, India (Bulk mamufacturer)	Lebanon	2,777,275	23.08	B	31.03			2/4/2025
10551	45620/1	AVIXAN	60	Droguerie de l'Union	Algorithm S.A.L. (Packager and final batch releaser), Macleods Pharmaceuticals Limited, India (Bulk mamufacturer)	Lebanon	2,777,275	23.08	B	31.03			2/4/2025
7742	186351/13	AVOCAINE	50ml	C. Catafago & Co	Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma	Saudi Arabia	620,855	23.08	A1	6.94	Middle East Pharmaceutical Industries- Avalon Pharma	Saudi Arabia	2/4/2025
7806	186265/13	AVOCOM	120 metered sprays	C. Catafago & Co	Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma	Saudi Arabia	419,279	23.08	A1	4.68	Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma	Saudi Arabia	2/4/2025
10181	168319/1	AVODART	30	Abela Frères S.A.L.	Pharmaline Licensed by Glaxo SmithKline Export Ltd , UK	Lebanon	2,454,186	23.08	B	27.42			2/4/2025
11543	81221/1	AVONEX	4 prefilled pens +4 needles	Mersaco	Fujifilm Diosynth Biotechnologies Denmark ApS	Denmark	70,488,764	10.71	E1	787.58	Biogen Netherlands BV	The Netherlands	2/4/2025
11861	181820/1	AVOQUIN	50g	C. Catafago & Co	Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma	Saudi Arabia	916,501	23.08	A2	10.24	Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma	Saudi Arabia	2/4/2025
11611	165220/1	AVOTIN-A	30g	C. Catafago & Co	Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma	Saudi Arabia	440,780	23.08	A1	4.92	Middle East Pharmaceutical Industries Co Ltd - Avalon Pharma	Saudi Arabia	2/4/2025
9632	79316/1	AXETINE	10Vials	New Allpharma	Medochemie Ltd	Cyprus	1,193,332	23.08	A2	13.33	Medochemie Ltd	Cyprus	2/4/2025
9633	79416/1	AXETINE	10Vials	New Allpharma	Medochemie Ltd	Cyprus	2,273,782	23.08	B	25.41	Medochemie Ltd	Cyprus	2/4/2025
4272	974221/01	AXIPRON	14	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	373,358	23.08	A1	4.17			2/4/2025
755	208619/03	AXONE	10	Picomed SARL	Pharma International Co	Jordan	4,053,029	23.08	B	45.29			2/4/2025
9696	67018/1	AXONE 1G IM	1Vial+1Ampoules of lidocaine 1% 5ml	Picomed SARL	Pharma International Co	Jordan	438,093	23.08	A1	4.89	Pharma International Co	Jordan	2/4/2025
9697	67118/1	AXONE 500MG IM	1Vial+1Ampoules of lidocaine 1% 5ml	Picomed SARL	Pharma International Co	Jordan	393,746	23.08	A1	4.40	Pharma International Co	Jordan	2/4/2025
11875	55424/1	AZACITIDINE ARROW	Boite de 1Flacon	Darapharma S.A.L.	APL Swift Services (Malta) Limited	Malta	10,967,854	21.26	C	122.55	Arrow Génériques	France	2/4/2025
11177	151322/1	AZACITIDINE EVER PHARMA		Codipha	Ever Pharma Jena GmbH 	Germany	10,967,854	21.26	C	122.55	Ever Valinject GmbH 	Austria	2/4/2025
10154	99219/1	AZACITIDINE NEAPOLIS	Box of 1Vial	Medis Pharm Drugstore	Neapolis Pharma	Tunisia	9,401,575	21.26	C	105.05	Neapolis Pharma	Tunisia	2/4/2025
11270	177720/1	AZACITIDINE SPC	1Vial	Advanced Healthcare Services SAL	Pharmaline SAL Licensed by Sudair Pharma Company, KSA	Lebanon	10,706,993	21.26	C	119.63			2/4/2025
7358	97545/11	AZICIN 250 BENTA	6	Benta Trading Co s.a.l.	Benta SAL	Lebanon	423,630	23.08	A1	4.73			2/4/2025
7359	97546/11	AZICIN 500 BENTA	3	Benta Trading Co s.a.l.	Benta SAL	Lebanon	573,373	23.08	A1	6.41			2/4/2025
9513	87518/1	AZIFAST 250 	6	Benta Trading Co s.a.l.	Benta SAL	Lebanon	423,630	23.08	A1	4.73			2/4/2025
9514	87618/1	AZIFAST 500 	3	Benta Trading Co s.a.l.	Benta SAL	Lebanon	573,373	23.08	A1	6.41			2/4/2025
9593	110516/1	AZM-500	3	Ecopharm	Bluepharma Industria Farmaceutica SA	Portugal	448,843	23.08	A1	5.02	Bluepharma Genericos-Comercio de Medicamentos, SA	Portugal	2/4/2025
1362	973745/02	AZOMYCIN	15ml	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	365,525	23.08	A1	4.08			2/4/2025
1363	973735/02	AZOMYCIN	6	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	361,494	23.08	A1	4.04			2/4/2025
5590	24744/07	AZOMYCIN	30ml	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	693,423	23.08	A1	7.75			2/4/2025
1720	974059/02	AZOMYNE	6	Macromed S.A.R.L.	Hayat Pharmaceuticals Industries Co PLC	Jordan	385,683	23.08	A1	4.31			2/4/2025
1721	974064/02	AZOMYNE	15ml	Macromed S.A.R.L.	Hayat Pharmaceuticals Industries Co PLC	Jordan	237,860	23.08	A1	2.66			2/4/2025
759	208552/03	AZONIT - D	20g	Picomed SARL	Pharma International Co	Jordan	225,766	23.08	A1	2.52			2/4/2025
9661	94518/1	AZOPT	5ml	Khalil Fattal & Fils S.A.L.	SA Alcon Couvreur NV	Belgium	804,962	23.08	A2	8.99	Novartis Pharma AG	Switzerland	2/4/2025
1835	974043/02	AZOX 250	6	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Company (JPM)	Jordan	346,711	23.08	A1	3.87			2/4/2025
11533	4020/1	AZYTER	6 recipients unidose 	Square One Group Pharma SAL	Laboratoire Unither	France	412,560	23.08	A1	4.61	Laboratoires Thea	France	2/4/2025
10080	84519/1	BACLOCALM	Pack of 50	Levant Alie Houses S.A.L.	Labatec Farmaceutica SA	Portugal	928,595	23.08	A2	10.38	Labatec Pharma SA	Switzerland	2/4/2025
10081	84419/1	BACLOCALM	Pack of 50	Levant Alie Houses S.A.L.	Labatec Farmaceutica SA	Portugal	589,947	23.08	A1	6.59	Labatec Pharma SA	Switzerland	2/4/2025
6307	24111/06	BACTALL 500	10	C. Catafago & Co	The Jordanian Pharmaceutical Manufacturing Co. (JPM)	Jordan	292,958	23.08	A1	3.27	The Jordanian Pharmaceutical Manufacturing & Co Ltd	Jordan	2/4/2025
11509	92822/1	BACTRIM FORTE	10	Omnipharma	Cenexi SAS	France	344,024	23.08	A1	3.84	Eumedica Pharmaceuticals AG	Switzerland	2/4/2025
2747		BANEOCIN	20g	Khalil Fattal & Fils S.A.L.	Merck KGaA & Co	Austria	173,356	23.08	A1	1.94	Sandoz GmbH	Austria	2/4/2025
8907	106716/1	BASAGLAR KWIKPEN	5 prefilled pen	Droguerie de l'Union	Lilly France	France	4,114,846	23.08	B	45.98	Lilly France	France	2/4/2025
10358	179019/1	BAVENCIO	1Vial (10ml)	Food & Drug Corporation FDC	Merck Serono SA	Switzerland	94,771,465	2.44	E2	1,058.90	Merck Serono SA	Switzerland	2/4/2025
11118	181520/1	BAXDELA	20	Droguerie de l'Union	Austarpharma, LLC, USA under licensed from melinta Therapeutics, Inc, Illinois, USA	USA	93,777,847	2.44	E2	1,047.80	Hikma Pharmaceuticals	Jordan	2/4/2025
11119	16321/1	BAXDELA	10Vials	Droguerie de l'Union	Patheon Italia SpA, Italy under licensed from Melinta Therapeutics, Inc, Illinois, USA	Italy	78,349,010	10.71	E1	875.41	Hikma Pharmaceuticals	Jordan	2/4/2025
11081	61022/1	BBDOL-OR	100ml	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	188,138	23.08	A1	2.10	Alfa Laboratoires S.A.L.	Lebanon	2/4/2025
11755	77022/1	B-BLOK SDK	30	BroadMed SAL	Ilko Ilac Sanayi ve Tic. A.S	Turkey	295,645	23.08	A1	3.30	Ilko Ilac Sanayi ve Tic. A.S	Turkey	2/4/2025
11756	77222/1	B-BLOK SDK	30	BroadMed SAL	Ilko Ilac Sanayi ve Tic. A.S	Turkey	282,207	23.08	A1	3.15	Ilko Ilac Sanayi ve Tic. A.S	Turkey	2/4/2025
7276	185844/13	BCG-MEDAC	1Vial	Mersaco	Medac Gesellschaft Fur Klinische Spezialpraparate mbH	Germany	13,873,850	19.35	D	155.02	Medac Gesellschaft Fur Klinische Spezialpraparate mbH	Germany	2/4/2025
5041	194101/05	B-COR 10	30	The Lebanese Pharmacists SAL	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	595,322	23.08	A1	6.65			2/4/2025
5957	219480/10	B-COR 2.5	30	The Lebanese Pharmacists SAL	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	149,167	23.08	A1	1.67	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	2/4/2025
5039	194106/05	B-COR 5	30	The Lebanese Pharmacists SAL	Joswe Medical (Jordan Sweden Medical and Sterilization Co)	Jordan	296,989	23.08	A1	3.32			2/4/2025
6869	219471/09	BEBE-VIT	30ml	Mediterranean Pharmaceutical Company	Medical Union Pharmaceuticals Company	Egypt	287,582	23.08	A1	3.21	Medical Union Pharmaceuticals Company	Egypt	2/4/2025
5211	222235/07	BECAPLEX	15g	Benta Trading Co s.a.l.	Benta SAL	Lebanon	38,029,953	10.71	E1	424.92			2/4/2025
1369	3561	BECOZYM FORTE	20	New Nouvelle Pharm Drugstore	Dragenopharm Apotheker Puschl GmbH	Germany	290,270	23.08	A1	3.24	Bayer Consumer Care Ltd	Switzerland	2/4/2025
8099	154714/1	BECOZYME	12 Ampoules	New Nouvelle Pharm Drugstore	Cenexi SAS	France	662,514	23.08	A1	7.40	Bayer Consumer Care AG	Switzerland	2/4/2025
1651	25799	BEDRANOL	60	Mediterranean Pharmaceutical Company	Lagap SA	Switzerland	247,267	23.08	A1	2.76			2/4/2025
1652	25800	BEDRANOL	60	Mediterranean Pharmaceutical Company	Lagap SA	Switzerland	247,267	23.08	A1	2.76			2/4/2025
11062	10521/1	BENDAFOLIN		Al Fayhaa Al Mina Pharmacy	Solupharm Pharmazeutischie Bendalis GmbH	Germany	3,584,028	23.08	B	40.05	Solupharm Pharmazeutischie Bendalis GmbH	Germany	2/4/2025
8942	151616/1	BENDAMUSTINE HYDROCHLORIDE	5vials x 10ml	Mediterranean Pharmaceutical Company	Accord Healthcare Limited	UK	19,610,153	19.35	D	219.11	Accord Healthcare Limited	UK	2/4/2025
8943	151516/1	BENDAMUSTINE HYDROCHLORIDE	5vials x 50ml	Mediterranean Pharmaceutical Company	Accord Healthcare Limited	UK	78,439,178	2.44	E2	876.42	Accord Healthcare Limited	UK	2/4/2025
11631	113622/1	BENDAMUSTINE HYDROCHLORIDE GP PHARM	5vials x 50ml	Mediterranean Pharmaceutical Company	GP-Pharm, SA	Argentine	78,439,178	2.44	E2	876.42	Pharminicio SL	Spain	2/4/2025
9103	22917/1	BENDAMUSTINE MEDAC	1 vial	Mersaco	Medac Gesellschaft Fur Klinische Spezialpraparate mbH	Germany	16,999,467	19.35	D	189.94	Medac Gesellschaft Fur Klinische Spezialpraparate mbH	Germany	2/4/2025
9104	23017/1	BENDAMUSTINE MEDAC	5 vial	Mersaco	Medac Gesellschaft Fur Klinische Spezialpraparate mbH	Germany	25,099,310	19.35	D	280.44	Medac Gesellschaft Fur Klinische Spezialpraparate mbH	Germany	2/4/2025
9333	100717/1	BENDAVIVAL	1Vial	Abela Frères S.A.L.	Thymoorgan Pharmazie GmbH	Germany	26,072,618	19.35	D	291.31	Hikma Pharmaceuticals	Jordan	2/4/2025
10307	179219/1	BENEFIX	1Vial + 1prefilled syringe + 1injection set	Food & Drug Corporation FDC	Wyeth Pharma SA	Spain	27,390,281	19.35	D	306.04	Pfizer Europe MA EEIG	Belgium	2/4/2025
7309	96730/12	BENTA D 10.000	30	Benta Trading Co s.a.l.	Benta SAL	Lebanon	895,895	23.08	A2	10.01	Benta SAL	Lebanon	2/4/2025
3694	27095	BENZAC AC	60g	Raymond Georges Abou Adal & Co	Galderma	France	388,370	23.08	A1	4.34			2/4/2025
3695	27096	BENZAC AC	60g	Raymond Georges Abou Adal & Co	Galderma	France	416,591	23.08	A1	4.65			2/4/2025
4376	2234/94	BENZHEXOL	100	Pharmapro	Mediphar Laboratories	Lebanon	533,697	23.08	A1	5.96			2/4/2025
10436	81520/1	BEOVU	1pre-filled syringe	Khalil Fattal & Fils S.A.L.	SA Alcon Couvreur NV	Belgium	68,669,378	10.71	E1	767.26	Novartis Europharm Limited	Ireland	2/4/2025
3992	25310	BEPANTHEN PLUS	30g	New Nouvelle Pharm Drugstore	GP Grenzach Produktions GmbH	Germany	319,835	23.08	A1	3.57	Bayer Consumer Care AG	Switzerland	2/4/2025
8986	14817/1	BERIATE 	Dry substance + Solvent	Benta Trading Co s.a.l.	Packed by Benta SAL Lebanon under license from CSL Behring GmbH, Germany	Lebanon	13,270,499	21.26	C	148.27			2/4/2025
8987	14917/1	BERIATE 	Dry substance + Solvent	Benta Trading Co s.a.l.	Packed by Benta SAL Lebanon under license from CSL Behring GmbH, Germany	Lebanon	25,895,605	19.35	D	289.34			2/4/2025
8988	15017/1	BERIATE 	Dry substance + solvent	Benta Trading Co s.a.l.	Packed by Benta SAL Lebanon under license from CSL Behring GmbH, Germany	Lebanon	44,948,602	10.71	E1	502.22			2/4/2025
9688	147918/1	BESPONSA FOR INJECTION	Pack of 1Vial	Droguerie Fattal  S.A.L.	Pharmacia & Upjohn Company LLC	USA	921,176,511	2.44	E2	10,292.47	Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc	USA	2/4/2025
7532	97884/12	BETAFUCIN	15g	Germanos Health Care Supplies SARL	Amman Pharmaceutical Industries Co Ltd	Jordan	210,983	23.08	A1	2.36	Amman Pharmaceutical Industries Co Ltd	Jordan	2/4/2025
11124	81220/1	BETAHISTINE ARROW	45	Darapharma S.A.L.	APL Swift Services (Malta) Limited	Malta	362,837	23.08	A1	4.05	Arrow Génériques	France	2/4/2025
11937	102723/1	BETAHISTINE ARROW GENERIQUES	60	Darapharma S.A.L.	APL Swift Services (Malta) Limited	Germany	749,864	23.08	A2	8.38	Arrow Génériques	France	2/4/2025
6516	167169/10	BETALOC ZOK	30	Omnipharma	AstraZeneca AB	Sweden	491,846	23.08	A1	5.50	AstraZeneca AB	Sweden	2/4/2025
7573	185823/13	BETALOC ZOK	14	Omnipharma	AstraZeneca AB	Sweden	219,046	23.08	A1	2.45	AstraZeneca AB	Sweden	2/4/2025
5504	222378/08	BETA-MICOTER	40g	Pharmamedic S.A.R.L.	Mediphar Laboratories	Lebanon	415,951	23.08	A1	4.65			2/4/2025
